sample	step	task_dir	exitcode	begin	end_log_mtime	n_genes	n_families	n_multi_families	max_family_size	genes_in_families	ksd_families_logged	outputs
Aaosphaeria_pasadenensis_FJI-L9-BK-P1	dmd	work_r3/02/cab43dd8c419f27dcc0e8d14dd96f3	0	2026-08-28 10:54:14	2026-08-28 10:55:15	12244	8259	1184	117	12244		Aaosphaeria_pasadenensis_FJI-L9-BK-P1.cds-transcripts.fa;wgd_dmd
Aaosphaeria_arxii_CBS_175.79	dmd	work_r3/b5/259a3ba347514cbfb730729d2395e3	0	2026-08-28 10:54:14	2026-08-28 10:55:18	13393	9063	1262	123	13393		Aaosphaeria_arxii_CBS_175.79.cds-transcripts.fa;wgd_dmd
Aaosphaeria_pasadenensis_FJI-L9-BK-P1	ksd	work_r3/c2/0db4ae57be293766ba6c3a7758f049	143	2026-08-28 10:55:16	2026-08-28 11:16:17	12244	8259	1184	117	12244	8	Aaosphaeria_pasadenensis_FJI-L9-BK-P1.cds-transcripts.fa;Aaosphaeria_pasadenensis_FJI-L9-BK-P1.cds-transcripts.fa.tsv;wgd_ksd;wgdtmp_07ffafad-d66f-4380-b793-d909e89938bb
Aaosphaeria_arxii_CBS_175.79	ksd	work_r3/ba/fcd1db1363215faa9a9c4009a1d2c3	143	2026-08-28 10:55:19	2026-08-28 11:02:45	13393	9063	1262	123	13393	5	Aaosphaeria_arxii_CBS_175.79.cds-transcripts.fa;Aaosphaeria_arxii_CBS_175.79.cds-transcripts.fa.tsv;wgd_ksd;wgdtmp_554d276e-ad03-41e0-b7da-2b782d5a69e9
Aaosphaeria_pasadenensis_FJI-L9-BK-P1	ksd	work_r3/48/be59ed12788e945ab88a4eba5806aa	0	2026-08-28 11:32:30	2026-08-28 13:07:03	12244	8259	1184	117	12244	1184	Aaosphaeria_pasadenensis_FJI-L9-BK-P1.cds-transcripts.fa;Aaosphaeria_pasadenensis_FJI-L9-BK-P1.cds-transcripts.fa.tsv;wgd_ksd
Aaosphaeria_arxii_CBS_175.79	ksd	work_r3/55/df5f3f3abbee743e02e34474fc5a23	143	2026-08-28 13:07:03	2026-08-28 15:07:57	13393	9063	1262	123	13393	151	Aaosphaeria_arxii_CBS_175.79.cds-transcripts.fa;Aaosphaeria_arxii_CBS_175.79.cds-transcripts.fa.tsv;wgd_ksd;wgdtmp_8fa455b5-ee1d-4001-acfb-946ee3489c27
