sampletag	genes	dmd_min	ksd_min	tot_min	peak_rss_gb	dmd_mb	ksd_mb	art_mb
Penicillium_janthinellum_NRRL_35451	354	0.18333333333333332	23.05	23.233333333333334	5.0	3.868967	1.010263	4.87923
Pichia_sporocuriosa_NRRL_Y-27347	5161	0.17833333333333332	15.95	16.128333333333334	2.2	8.583583	1.628472	10.212055
Saccharomycopsis_amapae_CBS_7872	5652	0.19833333333333333	18.9	19.098333333333336	1.8	9.474079	2.071421	11.5455
Metschnikowia_rubicola_CBS_15344	6235	0.2	8.1	8.3	1.8	9.004905	2.094279	11.099184
Lipomyces_orientalis_NRRL_Y-27927	6996	0.2533333333333333	35.88333333333333	36.13666666666666	2.0	10.728963	5.091948	15.820911
Chrysothrix_sp._TS-e1954_Spribille_s.n._12.05.2019-TS-e1954	7629	0.23166666666666666	61.31666666666667	61.54833333333333	2.3	12.470648	3.654425	16.125073
Arthroderma_sp._MBC_290_MBC_290	8396	0.24166666666666667	12.566666666666666	12.808333333333334	2.1	13.331232	3.128953	16.460185
Beauveria_bassiana_MBC_105	8946	0.26166666666666666	8.433333333333334	8.695	2.0	13.466039	3.812454	17.278493
Camptophora_hylomeconis_CBS_113311	9355	0.26999999999999996	62.93333333333333	63.20333333333333	2.3	15.15832	4.62018	19.7785
Pichia_sp._PH4023_PH4023	9794	0.325	26.666666666666668	26.991666666666667	1.9	16.83991	4.385244	21.225154
Talaromyces_trachyspermus_4014	10170	0.5033333333333333	24.15	24.653333333333332	2.9	13.936132	7.683778	21.61991
Cytospora_piceae_CFCC52841	10515	0.4483333333333333	26.583333333333332	27.03166666666667	2.8	16.164494	5.816717	21.981211
Proliferodiscus_dingleyae_D683	10915	0.48333333333333334	61.81666666666667	62.3	2.7	17.089684	8.322822	25.412506
Neosartorya_sp._G150_14_G150-14	11356	0.525	65.65	66.175	2.3	16.427058	7.635055	24.062113
Talaromyces_liani_FKII-L2-CM-DRAB3	11868	0.5033333333333333	110.6	111.10333333333332	3.1	17.99142	11.825241	29.816661
Schizophyllum_commune_H4-8	11961	0.48833333333333334	26.7	27.188333333333333	2.5	16.599785	7.166199	23.765984
Cercophora_newfieldiana_SMH2532-1	12411	0.515	90.88333333333334	91.39833333333333	3.3	19.437624	12.903838	32.341462
Fusarium_virguliforme_FV201	13403	0.5733333333333334	93.21666666666667	93.78999999999999	2.9	19.347575	11.858771	31.206346
Ogataea_polymorpha_x_Ogataea_parapolymorpha_CBS_1977	14697	0.6966666666666667	49.8	50.49666666666667	2.0	0.333563	13.700142	14.033705
Paramarasmius_palmivorus_GH-12	18307	0.84	82.58333333333333	83.42333333333333	2.7	25.635734	35.860441	61.496175
