hybrid_species_tag,parent_species
Cryptococcus_neoformans_x_Cryptococcus_deneoformans,Cryptococcus deneoformans
Cryptococcus_neoformans_x_Cryptococcus_deneoformans,Cryptococcus neoformans
Fusarium_meridionale_x_Fusarium_asiaticum,Fusarium asiaticum
Fusarium_meridionale_x_Fusarium_asiaticum,Fusarium meridionale
Ogataea_polymorpha_x_Ogataea_parapolymorpha,Ogataea parapolymorpha
Ogataea_polymorpha_x_Ogataea_parapolymorpha,Ogataea polymorpha
Saccharomyces_cerevisiae_x_Saccharomyces_eubayanus,Saccharomyces cerevisiae
Saccharomyces_cerevisiae_x_Saccharomyces_eubayanus,Saccharomyces eubayanus
Saccharomyces_cerevisiae_x_Saccharomyces_eubayanus_x_Saccharomyces_kudriavzevii_x_Saccharomyces_uvarum,Saccharomyces cerevisiae
Saccharomyces_cerevisiae_x_Saccharomyces_eubayanus_x_Saccharomyces_kudriavzevii_x_Saccharomyces_uvarum,Saccharomyces eubayanus
Saccharomyces_cerevisiae_x_Saccharomyces_eubayanus_x_Saccharomyces_kudriavzevii_x_Saccharomyces_uvarum,Saccharomyces kudriavzevii
Saccharomyces_cerevisiae_x_Saccharomyces_eubayanus_x_Saccharomyces_kudriavzevii_x_Saccharomyces_uvarum,Saccharomyces uvarum
Saccharomyces_cerevisiae_x_Saccharomyces_eubayanus_x_Saccharomyces_uvarum,Saccharomyces cerevisiae
Saccharomyces_cerevisiae_x_Saccharomyces_eubayanus_x_Saccharomyces_uvarum,Saccharomyces eubayanus
Saccharomyces_cerevisiae_x_Saccharomyces_eubayanus_x_Saccharomyces_uvarum,Saccharomyces uvarum
Saccharomyces_cerevisiae_x_Saccharomyces_kudriavzevii,Saccharomyces cerevisiae
Saccharomyces_cerevisiae_x_Saccharomyces_kudriavzevii,Saccharomyces kudriavzevii
Saccharomyces_cerevisiae_x_Saccharomyces_kudriavzevii_x_Saccharomyces_eubayanus,Saccharomyces cerevisiae
Saccharomyces_cerevisiae_x_Saccharomyces_kudriavzevii_x_Saccharomyces_eubayanus,Saccharomyces eubayanus
Saccharomyces_cerevisiae_x_Saccharomyces_kudriavzevii_x_Saccharomyces_eubayanus,Saccharomyces kudriavzevii
Saccharomyces_cerevisiae_x_Saccharomyces_kudriavzevii_x_Saccharomyces_uvarum,Saccharomyces cerevisiae
Saccharomyces_cerevisiae_x_Saccharomyces_kudriavzevii_x_Saccharomyces_uvarum,Saccharomyces kudriavzevii
Saccharomyces_cerevisiae_x_Saccharomyces_kudriavzevii_x_Saccharomyces_uvarum,Saccharomyces uvarum
Saccharomyces_cerevisiae_x_Saccharomyces_uvarum,Saccharomyces cerevisiae
Saccharomyces_cerevisiae_x_Saccharomyces_uvarum,Saccharomyces uvarum
Saccharomyces_eubayanus_x_Saccharomyces_uvarum,Saccharomyces eubayanus
Saccharomyces_eubayanus_x_Saccharomyces_uvarum,Saccharomyces uvarum
Saccharomyces_x_bayanus,Saccharomyces cerevisiae
Saccharomyces_x_bayanus,Saccharomyces eubayanus
Saccharomycopsis_fibuligera_x_Saccharomycopsis_cf._fibuligera,Saccharomycopsis cf. fibuligera
Saccharomycopsis_fibuligera_x_Saccharomycopsis_cf._fibuligera,Saccharomycopsis fibuligera
