genome	N	draw	status	n_subset	n_complete_used	n_keepers	n_single_admitted	locus_sn	locus_pr	exon_sn	exon_pr	intron_chain_sn	intron_chain_pr	pred_genes	busco_c	exit_stepA	exit_stepB	runtime_s	node	source
Aspergillus_nidulans_FGSC_A4	500	1	ok	500	412	244	7	55.0	56.3	66.6	73.7	50.2	55.1	4889	98.4	0	0	1489	r32	titration
Aspergillus_nidulans_FGSC_A4	500	2	ok	500	209	254	6	53.9	55.8	64.4	73.5	49.0	54.6	4842	97.8	0	0	1575	r29	titration
Aspergillus_nidulans_FGSC_A4	500	3	ok	500	406	246	5	54.9	56.3	66.1	73.7	50.0	55.5	4882	98.5	0	0	1860	r25	titration
Aspergillus_nidulans_FGSC_A4	500	4	ok	500	412	236	6	54.9	56.1	66.3	73.7	50.0	54.9	4895	98.3	0	0	2166	r23	titration
Aspergillus_nidulans_FGSC_A4	500	5	ok	500	391	250	8	54.6	56.0	66.1	73.6	49.9	54.7	4889	98.3	0	0	1752	r22	titration
Aspergillus_nidulans_FGSC_A4	750	1	ok	750	291	355	11	54.6	55.9	65.6	73.5	49.8	54.7	4892	98.0	0	0	2030	r23	titration
Aspergillus_nidulans_FGSC_A4	750	2	ok	750	294	370	7	54.3	55.6	65.6	73.3	49.5	54.4	4886	98.3	0	0	1581	r21	titration
Aspergillus_nidulans_FGSC_A4	750	3	ok	750	314	380	12	54.8	56.2	65.6	73.7	49.9	55.1	4881	98.0	0	0	2126	r21	titration
Aspergillus_nidulans_FGSC_A4	1000	1	ok	1000	417	499	14	54.8	55.9	66.1	73.6	49.8	54.8	4909	98.3	0	0	1759	r27	titration
Aspergillus_nidulans_FGSC_A4	1000	2	ok	1000	403	474	16	55.1	56.3	66.2	73.6	50.2	55.1	4901	98.5	0	0	1526	r22	titration
Aspergillus_nidulans_FGSC_A4	1000	3	ok	1000	384	479	8	54.7	56.1	65.8	73.5	49.9	54.8	4883	97.9	0	0	1806	r26	titration
Aspergillus_nidulans_FGSC_A4	2000	1	ok	2000	812	987	31	55.5	56.6	66.8	73.7	50.7	55.5	4913	98.4	0	0	1870	r21	titration
Aspergillus_nidulans_FGSC_A4	2000	2	ok	2000	827	1000	25	55.2	56.3	66.9	73.6	50.4	55.2	4911	98.3	0	0	1642	r25	titration
Aspergillus_nidulans_FGSC_A4	2000	3	ok	2000	810	972	26	55.4	56.4	66.7	73.8	50.5	55.3	4918	98.4	0	0	1684	r26	titration
Aspergillus_nidulans_FGSC_A4	busco_code_new	1	ok					54.8	56.8	66.6	73.7	50.1	55.4	4833	98.4					busco.B.fixed
Botrytis_cinerea_B05.10	50	1	ok	50	50	26	8	78.2	81.3	79.6	89.5	69.8	82.8	5391	97.8	0	0	1907	r27	titration
Botrytis_cinerea_B05.10	50	2	ok	50	50	21		77.3	80.1	78.1	88.9	69.0	81.8	5411	97.5	0	0	1754	r27	titration
Botrytis_cinerea_B05.10	50	3	ok	50	50	25		77.2	81.1	78.2	89.5	69.1	82.8	5335	97.4	0	0	1872	r31	titration
Botrytis_cinerea_B05.10	50	4	ok	50	50	24		77.1	80.3	78.3	88.8	69.2	81.7	5388	97.8	0	0	1970	r25	titration
Botrytis_cinerea_B05.10	50	5	ok	50	50	23		77.1	80.3	78.3	89.1	68.7	82.2	5383	97.8	0	0	1499	r22	titration
Botrytis_cinerea_B05.10	100	1	ok	100	100	45		80.1	81.1	81.3	89.1	71.7	82.4	5532	98.2	0	0	1812	r27	titration
Botrytis_cinerea_B05.10	100	2	ok	100	98	38	22	80.5	80.9	81.6	89.3	72.0	82.0	5580	98.5	0	0	1717	r32	titration
Botrytis_cinerea_B05.10	100	3	ok	100	100	59		79.0	81.2	80.8	89.4	71.2	82.5	5450	98.0	0	0	1758	r21	titration
Botrytis_cinerea_B05.10	100	4	ok	100	100	46		79.9	80.8	81.5	89.1	71.8	81.5	5549	98.3	0	0	2105	r23	titration
Botrytis_cinerea_B05.10	100	5	ok	100	100	45		80.3	81.0	82.3	89.0	72.2	82.0	5562	98.2	0	0	1984	r21	titration
Botrytis_cinerea_B05.10	200	1	ok	200	199	94	45	82.3	81.7	83.7	89.4	74.0	82.6	5647	98.4	0	0	1907	r27	titration
Botrytis_cinerea_B05.10	200	2	ok	200	200	84		82.4	81.9	83.7	89.6	74.1	82.8	5638	98.7	0	0	1672	r29	titration
Botrytis_cinerea_B05.10	200	3	ok	200	200	101		82.8	82.1	83.7	89.6	74.3	83.2	5649	99.2	0	0	1868	r26	titration
Botrytis_cinerea_B05.10	200	4	ok	200	199	105		82.3	81.9	83.6	89.5	74.2	83.1	5639	98.8	0	0	1862	r26	titration
Botrytis_cinerea_B05.10	200	5	ok	200	200	93		82.5	81.6	83.8	89.2	74.3	82.8	5672	98.4	0	0	1569	r29	titration
Botrytis_cinerea_B05.10	300	1	ok	300	232	142	3	82.5	81.8	83.9	89.2	74.4	82.8	5651	98.7	0	0	1742	r29	titration
Botrytis_cinerea_B05.10	300	2	ok	300	235	145	1	83.0	82.7	84.3	89.8	75.2	83.8	5631	98.8	0	0	1538	r22	titration
Botrytis_cinerea_B05.10	300	3	ok	300	236	140		81.0	80.6	83.8	88.2	74.8	80.6	5637	98.2	0	0	1921	r27	titration
Botrytis_cinerea_B05.10	300	4	ok	300	238	137		81.5	80.7	84.0	88.4	74.9	80.9	5660	98.5	0	0	1997	r30	titration
Botrytis_cinerea_B05.10	300	5	ok	300	232	166		81.6	80.9	84.0	88.7	75.0	81.1	5654	98.5	0	0	1862	r27	titration
Botrytis_cinerea_B05.10	500	1	ok	500	387	254	1	83.8	82.5	85.1	89.6	75.7	83.4	5691	98.8	0	0	1984	r25	titration
Botrytis_cinerea_B05.10	500	2	ok	500	392	245	1	82.5	81.6	84.8	88.8	76.2	81.9	5664	98.8	0	0	1834	r29	titration
Botrytis_cinerea_B05.10	500	3	ok	500	390	245	2	83.4	82.3	84.9	89.6	75.3	83.4	5682	98.8	0	0	2122	r21	titration
Botrytis_cinerea_B05.10	500	4	ok	500	396	215	1	84.0	82.8	85.2	89.7	75.6	83.7	5687	98.9	0	0	1992	r23	titration
Botrytis_cinerea_B05.10	500	5	ok	500	393	245	1	82.6	81.7	84.9	88.9	76.0	82.1	5668	98.8	0	0	1871	r30	titration
Botrytis_cinerea_B05.10	750	1	ok	750	271	346	5	83.2	82.4	84.4	89.5	75.0	83.3	5660	98.5	0	0	1924	r27	titration
Botrytis_cinerea_B05.10	750	2	ok	750	268	344	1	81.4	81.1	83.9	88.5	75.0	81.3	5628	98.5	0	0	1748	r29	titration
Botrytis_cinerea_B05.10	750	3	ok	750	274	357	2	82.9	82.1	84.3	89.4	75.0	83.2	5664	98.4	0	0	1730	r29	titration
Botrytis_cinerea_B05.10	1000	1	ok	1000	391	487	3	83.2	82.3	84.6	89.3	75.2	83.2	5669	98.8	0	0	1588	r22	titration
Botrytis_cinerea_B05.10	1000	2	ok	1000	397	508	3	83.8	82.7	85.1	89.7	75.7	83.8	5683	99.1	0	0	1822	r26	titration
Botrytis_cinerea_B05.10	1000	3	ok	1000	399	497	2	83.3	82.3	84.6	89.5	75.2	83.4	5670	98.8	0	0	1817	r26	titration
Botrytis_cinerea_B05.10	2000	1	ok	2000	744	986	7	84.6	82.9	85.7	89.8	76.3	84.0	5718	99.1	0	0	1862	r29	titration
Botrytis_cinerea_B05.10	2000	2	ok	2000	751	970	7	84.4	83.2	85.7	89.9	76.4	84.1	5692	99.1	0	0	1927	r27	titration
Botrytis_cinerea_B05.10	2000	3	ok	2000	751	972	6	84.3	83.1	85.5	89.8	76.2	84.1	5689	98.9	0	0	2035	r30	titration
Botrytis_cinerea_B05.10	busco_code_new	1	ok					82.0	82.0	83.9	88.8	74.4	82.8	5609	98.8					busco.B.fixed
Cryptococcus_neoformans_H99	50	1	failed	50	50	24										0	1	347	r27	titration
Cryptococcus_neoformans_H99	50	2	failed	50	50	27										0	1	384	r25	titration
Cryptococcus_neoformans_H99	50	3	failed	50	50	19										0	1	314	r29	titration
Cryptococcus_neoformans_H99	50	4	failed	50	50	24										0	1	313	r27	titration
Cryptococcus_neoformans_H99	50	5	failed	50	50	23										0	1	312	r29	titration
Cryptococcus_neoformans_H99	100	1	failed	100	99	40										0	1	388	r21	titration
Cryptococcus_neoformans_H99	100	2	failed	100	99	49										0	1	382	r25	titration
Cryptococcus_neoformans_H99	100	3	failed	100	99	41										0	1	318	r27	titration
Cryptococcus_neoformans_H99	100	4	failed	100	99	44										0	1	363	r28	titration
Cryptococcus_neoformans_H99	100	5	failed	100	100	44										0	1	380	r23	titration
Cryptococcus_neoformans_H99	200	1	failed	200	198	91										0	1	355	r28	titration
Cryptococcus_neoformans_H99	200	2	failed	200	196	87										0	1	294	r22	titration
Cryptococcus_neoformans_H99	200	3	failed	200	199	94										0	1	355	r28	titration
Cryptococcus_neoformans_H99	200	4	failed	200	199	91										0	1	415	r21	titration
Cryptococcus_neoformans_H99	200	5	failed	200	198	92										0	1	387	r25	titration
Cryptococcus_neoformans_H99	300	1	failed	300	279	143										0	1	319	r27	titration
Cryptococcus_neoformans_H99	300	2	failed	300	273	133										0	1	354	r28	titration
Cryptococcus_neoformans_H99	300	3	failed	300	266	134										0	1	344	r27	titration
Cryptococcus_neoformans_H99	300	4	failed	300	274	143	1									0	1	357	r28	titration
Cryptococcus_neoformans_H99	300	5	failed	300	276	135	1									0	1	360	r28	titration
Cryptococcus_neoformans_H99	500	1	failed	500	211	235										0	1	387	r23	titration
Cryptococcus_neoformans_H99	500	2	failed	500	200	218										0	1	355	r28	titration
Cryptococcus_neoformans_H99	500	3	failed	500	210	233										0	1	342	r26	titration
Cryptococcus_neoformans_H99	500	4	failed	500	204	229										0	1	344	r26	titration
Cryptococcus_neoformans_H99	500	5	failed	500	217	232										0	1	358	r28	titration
Cryptococcus_neoformans_H99	750	1	failed	750	307	333	1									0	1	346	r27	titration
Cryptococcus_neoformans_H99	750	2	failed	750	307	335	2									0	1	439	r21	titration
Cryptococcus_neoformans_H99	750	3	failed	750	337	364	2									0	1	381	r25	titration
Cryptococcus_neoformans_H99	1000	1	failed	1000	435	477	1									0	1	367	r28	titration
Cryptococcus_neoformans_H99	1000	2	failed	1000	402	445	2									0	1	333	r29	titration
Cryptococcus_neoformans_H99	1000	3	failed	1000	428	465	2									0	1	393	r31	titration
Cryptococcus_neoformans_H99	2000	1	failed	2000	834	915	2									0	1	356	r28	titration
Cryptococcus_neoformans_H99	2000	2	failed	2000	840	916	2									0	1	364	r28	titration
Cryptococcus_neoformans_H99	2000	3	failed	2000	829	915	2									0	1	358	r28	titration
Cryptococcus_neoformans_H99	busco_code_new	1	ok					78.1	80.6	89.3	94.2	73.1	82.7	2636	96.2					busco.B.fixed
Neurospora_crassa_OR74A	50	1	ok	50	50	18	5	60.8	71.7	63.8	81.2	57.2	74.4	3292	97.1	0	0	1956	r27	titration
Neurospora_crassa_OR74A	50	2	ok	50	50	18		58.4	71.2	61.7	81.1	54.9	74.6	3185	96.3	0	0	1902	r27	titration
Neurospora_crassa_OR74A	50	3	ok	50	50	29		61.6	72.2	64.1	81.5	57.5	74.8	3312	96.7	0	0	1775	r27	titration
Neurospora_crassa_OR74A	50	4	ok	50	50	23		60.2	71.7	63.2	81.2	56.7	74.4	3257	96.3	0	0	1780	r29	titration
Neurospora_crassa_OR74A	50	5	ok	50	50	23	12	59.2	70.0	62.4	80.1	55.4	72.6	3286	95.9	0	0	1768	r29	titration
Neurospora_crassa_OR74A	100	1	ok	100	100	47	25	62.6	72.6	65.1	81.6	59.1	75.1	3344	96.7	0	0	1743	r29	titration
Neurospora_crassa_OR74A	100	2	ok	100	100	49	24	62.7	73.0	65.3	82.3	59.2	76.2	3335	96.7	0	0	1782	r29	titration
Neurospora_crassa_OR74A	100	3	ok	100	97	43	24	60.8	71.1	64.4	80.5	57.7	73.3	3316	96.6	0	0	2088	r30	titration
Neurospora_crassa_OR74A	100	4	ok	100	100	52	22	63.4	72.6	65.9	82.2	59.8	75.2	3389	96.7	0	0	1920	r30	titration
Neurospora_crassa_OR74A	100	5	ok	100	92	45	23	63.8	73.7	66.0	82.7	59.9	76.3	3362	97.0	0	0	1713	r31	titration
Neurospora_crassa_OR74A	200	1	ok	200	200	90	46	64.0	73.1	66.9	82.0	60.6	75.3	3397	97.1	0	0	1713	r31	titration
Neurospora_crassa_OR74A	200	2	ok	200	195	92	49	63.9	73.4	67.5	82.5	60.7	75.4	3382	97.1	0	0	1875	r31	titration
Neurospora_crassa_OR74A	200	3	ok	200	199	87	45	64.6	73.2	68.0	82.6	61.0	75.3	3422	97.4	0	0	1869	r31	titration
Neurospora_crassa_OR74A	200	4	ok	200	186	102	47	64.3	73.1	67.3	82.2	61.1	75.5	3415	97.2	0	0	1871	r31	titration
Neurospora_crassa_OR74A	200	5	ok	200	200	100	47	65.3	73.8	68.4	82.9	61.7	75.9	3438	97.5	0	0	1927	r27	titration
Neurospora_crassa_OR74A	300	1	ok	300	219	136	3	63.3	72.7	66.8	81.7	60.6	74.5	3379	97.1	0	0	2236	r26	titration
Neurospora_crassa_OR74A	300	2	ok	300	240	150	2	64.7	73.6	68.0	82.0	61.7	75.3	3411	97.5	0	0	1779	r27	titration
Neurospora_crassa_OR74A	300	3	ok	300	229	159	3	63.3	72.7	67.1	81.6	60.3	74.2	3375	96.8	0	0	1683	r31	titration
Neurospora_crassa_OR74A	300	4	ok	300	221	147	7	63.7	72.9	67.4	81.6	60.5	74.3	3392	97.2	0	0	1707	r29	titration
Neurospora_crassa_OR74A	300	5	ok	300	238	127	5	65.6	73.7	68.7	82.3	62.2	75.4	3450	97.4	0	0	2112	r27	titration
Neurospora_crassa_OR74A	500	1	ok	500	379	236	13	64.7	73.4	68.2	81.9	61.7	74.8	3423	97.5	0	0	1777	r29	titration
Neurospora_crassa_OR74A	500	2	ok	500	374	237	10	65.7	74.2	68.8	82.6	62.6	75.9	3436	97.4	0	0	1777	r29	titration
Neurospora_crassa_OR74A	500	3	ok	500	374	227	9	66.2	74.6	69.2	82.7	62.9	76.1	3446	97.6	0	0	1755	r29	titration
Neurospora_crassa_OR74A	500	4	ok	500	382	247	10	64.4	73.2	68.0	82.0	61.3	74.7	3411	96.8	0	0	1756	r31	titration
Neurospora_crassa_OR74A	500	5	ok	500	393	243	10	65.7	74.1	68.9	82.4	62.3	75.5	3442	97.6	0	0	1812	r31	titration
Neurospora_crassa_OR74A	750	1	ok	750	267	344	17	64.1	73.1	67.8	82.0	61.0	74.6	3404	97.2	0	0	1811	r31	titration
Neurospora_crassa_OR74A	750	2	ok	750	266	340	14	65.0	73.5	68.5	82.2	61.9	75.5	3429	97.1	0	0	1936	r27	titration
Neurospora_crassa_OR74A	750	3	ok	750	292	355	11	65.1	73.8	68.6	82.6	62.0	75.5	3424	97.4	0	0	1863	r30	titration
Neurospora_crassa_OR74A	1000	1	ok	1000	392	485	21	66.4	74.6	69.7	83.2	62.9	76.5	3453	97.4	0	0	1954	r27	titration
Neurospora_crassa_OR74A	1000	2	ok	1000	366	474	19	65.6	74.0	69.0	82.8	62.5	75.6	3440	97.2	0	0	2104	r30	titration
Neurospora_crassa_OR74A	1000	3	ok	1000	371	461	17	65.7	74.2	69.1	82.7	62.5	75.8	3439	97.5	0	0	2168	r26	titration
Neurospora_crassa_OR74A	busco_code_new	1	ok					66.0	74.1	69.8	82.3	62.6	75.6	3456	97.5					busco.B.fixed
