genome	N	draw	status	n_subset	n_complete_used	n_keepers	n_single_admitted	locus_sn	locus_pr	exon_sn	exon_pr	intron_chain_sn	intron_chain_pr	pred_genes	busco_c	exit_stepA	exit_stepB	runtime_s	node	source
Aspergillus_nidulans_FGSC_A4	50	1	ok	50	50	26		52.3	55.0	61.5	73.0	47.0	54.5	4758	97.8	0	0	1694	r21	titration
Aspergillus_nidulans_FGSC_A4	50	2	ok	50	50	18		51.5	54.7	60.5	73.0	46.4	54.1	4717	97.4	0	0	1961	r23	titration
Aspergillus_nidulans_FGSC_A4	50	3	ok	50	50	30		51.3	54.9	60.3	73.3	46.2	54.5	4686	97.9	0	0	1808	r25	titration
Aspergillus_nidulans_FGSC_A4	50	4	ok	50	45	20	9	50.8	54.6	59.1	72.8	45.7	54.1	4662	96.8	0	0	1683	r25	titration
Aspergillus_nidulans_FGSC_A4	50	5	ok	50	50	16	9	51.7	55.0	60.2	73.3	46.5	54.5	4713	97.2	0	0	1617	r27	titration
Aspergillus_nidulans_FGSC_A4	100	1	ok	100	100	45	20	53.1	55.0	62.8	73.0	48.0	54.2	4837	98.0	0	0	1657	r29	titration
Aspergillus_nidulans_FGSC_A4	100	2	ok	100	100	46		53.4	55.3	63.5	73.1	48.4	54.2	4838	98.3	0	0	1598	r29	titration
Aspergillus_nidulans_FGSC_A4	100	3	ok	100	99	44	19	52.8	55.6	62.1	73.5	47.9	55.0	4755	97.6	0	0	1536	r29	titration
Aspergillus_nidulans_FGSC_A4	100	4	ok	100	100	61	20	52.9	55.4	62.6	73.4	47.9	54.6	4787	97.8	0	0	1586	r29	titration
Aspergillus_nidulans_FGSC_A4	100	5	ok	100	100	52		53.5	55.6	64.0	73.4	48.5	54.4	4818	98.2	0	0	1681	r22	titration
Aspergillus_nidulans_FGSC_A4	200	1	ok	200	199	94	37	54.0	55.7	64.5	73.6	49.0	54.7	4855	98.0	0	0	1750	r27	titration
Aspergillus_nidulans_FGSC_A4	200	2	ok	200	199	103	36	54.2	55.8	65.0	73.5	49.3	54.8	4856	97.9	0	0	1892	r27	titration
Aspergillus_nidulans_FGSC_A4	200	3	ok	200	199	103	39	54.1	55.6	64.4	73.5	49.1	54.9	4879	98.0	0	0	1676	r21	titration
Aspergillus_nidulans_FGSC_A4	200	4	ok	200	200	97		53.6	55.4	64.3	73.4	48.7	54.5	4847	98.3	0	0	1741	r27	titration
Aspergillus_nidulans_FGSC_A4	200	5	ok	200	199	103	37	53.9	55.5	64.5	73.2	49.0	54.5	4866	98.0	0	0	1956	r26	titration
Aspergillus_nidulans_FGSC_A4	300	1	ok	300	246	160	3	53.9	55.6	65.7	72.9	49.9	53.8	4859	97.8	0	0	1896	r30	titration
Aspergillus_nidulans_FGSC_A4	300	2	ok	300	254	133	1	54.7	56.0	65.6	73.6	49.7	54.9	4895	98.2	0	0	1652	r21	titration
Aspergillus_nidulans_FGSC_A4	300	3	ok	300	242	153	3	54.3	55.9	65.3	73.5	49.5	54.8	4863	98.0	0	0	1632	r25	titration
Aspergillus_nidulans_FGSC_A4	300	4	ok	300	242	134	7	54.7	56.2	65.2	73.8	49.7	55.1	4874	98.2	0	0	1636	r27	titration
Aspergillus_nidulans_FGSC_A4	300	5	ok	300	237	145	4	54.5	56.0	65.6	73.6	49.6	54.9	4873	98.4	0	0	1722	r30	titration
