genome	arm	step	evid	job
Neurospora_crassa_OR74A	tx2	A	-	29107682
Neurospora_crassa_OR74A	tx2	B	fixed	29107683
Neurospora_crassa_OR74A	se	A	-	29107684
Neurospora_crassa_OR74A	se	B	fixed	29107685
Aspergillus_nidulans_FGSC_A4	tx2	A	-	29107686
Aspergillus_nidulans_FGSC_A4	tx2	B	fixed	29107687
Aspergillus_nidulans_FGSC_A4	se	A	-	29107688
Aspergillus_nidulans_FGSC_A4	se	B	fixed	29107689
Botrytis_cinerea_B05.10	tx2	A	-	29107690
Botrytis_cinerea_B05.10	tx2	B	fixed	29107691
Botrytis_cinerea_B05.10	se	A	-	29107692
Botrytis_cinerea_B05.10	se	B	fixed	29107693
Cryptococcus_neoformans_H99	tx2	A	-	29107694
Cryptococcus_neoformans_H99	tx2	B	fixed	29107695
Cryptococcus_neoformans_H99	se	A	-	29107696
Cryptococcus_neoformans_H99	se	B	fixed	29107697
Schizophyllum_commune_H4-8	tx2	A	-	29107698
Schizophyllum_commune_H4-8	tx2	B	fixed	29107699
Schizophyllum_commune_H4-8	se	A	-	29107700
Schizophyllum_commune_H4-8	se	B	fixed	29107701
Cryptococcus_neoformans_H99	tx2	A	-	29107748
Cryptococcus_neoformans_H99	tx2	B	fixed	29107749
Cryptococcus_neoformans_H99	se	A	-	29107750
Cryptococcus_neoformans_H99	se	B	fixed	29107751
Schizophyllum_commune_H4-8	tx2	A	-	29107752
Schizophyllum_commune_H4-8	tx2	B	fixed	29107753
Schizophyllum_commune_H4-8	se	A	-	29107754
Schizophyllum_commune_H4-8	se	B	fixed	29107755
