genome	arm	ref_single_genes	pred_single	single_sn	single_pr	ref_multi_genes	pred_multi	multi_sn	multi_pr
Aspergillus_nidulans_FGSC_A4	tx2	661	804	71.3	58.6	4353	4100	47.7	50.6
Aspergillus_nidulans_FGSC_A4	se	661	933	78.5	55.6	4353	3981	47.4	51.8
Aspergillus_nidulans_FGSC_A4	busco	661	898	76.9	56.6	4353	3935	46.7	51.6
Aspergillus_nidulans_FGSC_A4	old	661	802	70.7	58.2	4353	4104	47.7	50.6
Aspergillus_nidulans_FGSC_A4	tx	661	800	70.8	58.5	4353	4103	47.7	50.6
Botrytis_cinerea_B05.10	tx2	1236	1071	64.2	74.0	4484	4615	79.5	77.2
Botrytis_cinerea_B05.10	se	1236	1213	71.8	73.2	4484	4495	79.2	79.0
Botrytis_cinerea_B05.10	busco	1236	1150	67.0	72.0	4484	4459	76.4	76.9
Botrytis_cinerea_B05.10	old	1236	1069	64.0	74.0	4484	4612	79.5	77.3
Botrytis_cinerea_B05.10	tx	1236	1082	64.8	74.0	4484	4604	79.4	77.3
Cryptococcus_neoformans_H99	tx2	77	113	50.6	34.5	2649	2579	74.2	76.2
Cryptococcus_neoformans_H99	se	77	131	55.8	32.8	2649	2565	74.2	76.6
Cryptococcus_neoformans_H99	busco	77	117	49.4	32.5	2649	2519	71.3	75.0
Cryptococcus_neoformans_H99	old	77	110	48.1	33.6	2649	2582	74.3	76.3
Cryptococcus_neoformans_H99	tx	77	113	50.6	34.5	2649	2579	74.2	76.2
Cryptococcus_neoformans_H99	txR1R2	77	111	48.1	33.3	2649	2580	74.5	76.5
Neurospora_crassa_OR74A	tx2	877	657	49.4	65.9	3035	2779	59.9	65.4
Neurospora_crassa_OR74A	se	877	792	54.7	60.6	3035	2643	59.0	67.8
Neurospora_crassa_OR74A	busco	877	815	57.0	61.3	3035	2641	59.6	68.5
Neurospora_crassa_OR74A	old	877	642	48.0	65.6	3035	2788	59.3	64.5
Neurospora_crassa_OR74A	tx	877	661	50.3	66.7	3035	2774	59.9	65.6
Neurospora_crassa_OR74A	txR1R2	877	658	49.5	66.0	3035	2779	60.6	66.2
Schizophyllum_commune_H4-8	tx2	1237	324	7.6	29.0	5988	4654	23.7	30.5
Schizophyllum_commune_H4-8	se	1237	318	7.3	28.3	5988	4660	23.8	30.6
Schizophyllum_commune_H4-8	busco	1237	256	11.1	53.5	5988	5213	37.2	42.7
Schizophyllum_commune_H4-8	old	1237	96	4.5	58.3	5988	4655	29.0	37.3
Schizophyllum_commune_H4-8	tx	1237	320	7.4	28.4	5988	4658	23.7	30.5
Schizophyllum_commune_H4-8	txR1R2	1237	283	8.5	37.1	5988	4991	27.7	33.2
