genome	arm	step	evid	job
Neurospora_crassa_OR74A	old	A	-	29107543
Neurospora_crassa_OR74A	old	B	fixed	29107544
Neurospora_crassa_OR74A	oldnew	A	-	29107545
Neurospora_crassa_OR74A	oldnew	B	fixed	29107546
Neurospora_crassa_OR74A	tx	A	-	29107547
Neurospora_crassa_OR74A	tx	B	fixed	29107548
Neurospora_crassa_OR74A	tx	B	own	29107549
Neurospora_crassa_OR74A	cdsS	A	-	29107550
Neurospora_crassa_OR74A	cdsS	B	fixed	29107551
Neurospora_crassa_OR74A	cdsS	B	own	29107552
Neurospora_crassa_OR74A	cdsB	A	-	29107553
Neurospora_crassa_OR74A	cdsB	B	fixed	29107554
Neurospora_crassa_OR74A	cdsB	B	own	29107555
Neurospora_crassa_OR74A	busco	A	-	29107556
Neurospora_crassa_OR74A	busco	B	fixed	29107557
Aspergillus_nidulans_FGSC_A4	old	A	-	29107558
Aspergillus_nidulans_FGSC_A4	old	B	fixed	29107559
Aspergillus_nidulans_FGSC_A4	oldnew	A	-	29107560
Aspergillus_nidulans_FGSC_A4	oldnew	B	fixed	29107561
Aspergillus_nidulans_FGSC_A4	tx	A	-	29107562
Aspergillus_nidulans_FGSC_A4	tx	B	fixed	29107563
Aspergillus_nidulans_FGSC_A4	tx	B	own	29107564
Aspergillus_nidulans_FGSC_A4	cdsS	A	-	29107565
Aspergillus_nidulans_FGSC_A4	cdsS	B	fixed	29107566
Aspergillus_nidulans_FGSC_A4	cdsS	B	own	29107567
Aspergillus_nidulans_FGSC_A4	cdsB	A	-	29107568
Aspergillus_nidulans_FGSC_A4	cdsB	B	fixed	29107569
Aspergillus_nidulans_FGSC_A4	cdsB	B	own	29107570
Aspergillus_nidulans_FGSC_A4	busco	A	-	29107571
Aspergillus_nidulans_FGSC_A4	busco	B	fixed	29107572
Botrytis_cinerea_B05.10	old	A	-	29107573
Botrytis_cinerea_B05.10	old	B	fixed	29107574
Botrytis_cinerea_B05.10	oldnew	A	-	29107575
Botrytis_cinerea_B05.10	oldnew	B	fixed	29107576
Botrytis_cinerea_B05.10	tx	A	-	29107577
Botrytis_cinerea_B05.10	tx	B	fixed	29107578
Botrytis_cinerea_B05.10	tx	B	own	29107579
Botrytis_cinerea_B05.10	cdsS	A	-	29107580
Botrytis_cinerea_B05.10	cdsS	B	fixed	29107581
Botrytis_cinerea_B05.10	cdsS	B	own	29107582
Botrytis_cinerea_B05.10	cdsB	A	-	29107583
Botrytis_cinerea_B05.10	cdsB	B	fixed	29107584
Botrytis_cinerea_B05.10	cdsB	B	own	29107585
Botrytis_cinerea_B05.10	busco	A	-	29107586
Botrytis_cinerea_B05.10	busco	B	fixed	29107587
