genome	arm	step	evid	job
Neurospora_crassa_OR74A	txR1	A	-	29107762
Neurospora_crassa_OR74A	txR1	B	fixed	29107763
Neurospora_crassa_OR74A	txR1	B	own	29107764
Neurospora_crassa_OR74A	txR1R2	A	-	29107765
Neurospora_crassa_OR74A	txR1R2	B	fixed	29107766
Neurospora_crassa_OR74A	txR1R2	B	own	29107767
Neurospora_crassa_OR74A	txID90	A	-	29107768
Neurospora_crassa_OR74A	txID90	B	fixed	29107769
Neurospora_crassa_OR74A	txID90	B	own	29107770
Botrytis_cinerea_B05.10	txR1	A	-	29107771
Botrytis_cinerea_B05.10	txR1	B	fixed	29107772
Botrytis_cinerea_B05.10	txR1	B	own	29107773
Neurospora_crassa_OR74A	txG	A	-	29107777
Neurospora_crassa_OR74A	txG	B	fixed	29107778
Neurospora_crassa_OR74A	txG	B	own	29107779
Aspergillus_nidulans_FGSC_A4	txG	A	-	29107780
Aspergillus_nidulans_FGSC_A4	txG	B	fixed	29107781
Aspergillus_nidulans_FGSC_A4	txG	B	own	29107782
Botrytis_cinerea_B05.10	txG	A	-	29107783
Botrytis_cinerea_B05.10	txG	B	fixed	29107784
Botrytis_cinerea_B05.10	txG	B	own	29107785
Neurospora_crassa_OR74A	txRel	A	-	29107875
Neurospora_crassa_OR74A	txRel	B	fixed	29107876
Neurospora_crassa_OR74A	txRel	B	own	29107877
Aspergillus_nidulans_FGSC_A4	txRel	A	-	29107878
Aspergillus_nidulans_FGSC_A4	txRel	B	fixed	29107879
Aspergillus_nidulans_FGSC_A4	txRel	B	own	29107880
Neurospora_crassa_OR74A	seR1R2	A	-	29107913
Neurospora_crassa_OR74A	seR1R2	B	fixed	29107914
Neurospora_crassa_OR74A	seR1R2	B	own	29107915
Neurospora_crassa_OR74A	buscoR1R2	A	-	29107916
Neurospora_crassa_OR74A	buscoR1R2	B	fixed	29107917
Neurospora_crassa_OR74A	buscoR1R2	B	own	29107918
