genome	arm	step	evid	job
Cryptococcus_neoformans_H99	old	A	-	29107718
Cryptococcus_neoformans_H99	old	B	fixed	29107719
Cryptococcus_neoformans_H99	oldnew	A	-	29107720
Cryptococcus_neoformans_H99	oldnew	B	fixed	29107721
Cryptococcus_neoformans_H99	tx	A	-	29107722
Cryptococcus_neoformans_H99	tx	B	fixed	29107723
Cryptococcus_neoformans_H99	tx	B	own	29107724
Cryptococcus_neoformans_H99	cdsS	A	-	29107725
Cryptococcus_neoformans_H99	cdsS	B	fixed	29107726
Cryptococcus_neoformans_H99	cdsS	B	own	29107727
Cryptococcus_neoformans_H99	cdsB	A	-	29107728
Cryptococcus_neoformans_H99	cdsB	B	fixed	29107729
Cryptococcus_neoformans_H99	cdsB	B	own	29107730
Cryptococcus_neoformans_H99	busco	A	-	29107731
Cryptococcus_neoformans_H99	busco	B	fixed	29107732
Schizophyllum_commune_H4-8	old	A	-	29107733
Schizophyllum_commune_H4-8	old	B	fixed	29107734
Schizophyllum_commune_H4-8	oldnew	A	-	29107735
Schizophyllum_commune_H4-8	oldnew	B	fixed	29107736
Schizophyllum_commune_H4-8	tx	A	-	29107737
Schizophyllum_commune_H4-8	tx	B	fixed	29107738
Schizophyllum_commune_H4-8	tx	B	own	29107739
Schizophyllum_commune_H4-8	cdsS	A	-	29107740
Schizophyllum_commune_H4-8	cdsS	B	fixed	29107741
Schizophyllum_commune_H4-8	cdsS	B	own	29107742
Schizophyllum_commune_H4-8	cdsB	A	-	29107743
Schizophyllum_commune_H4-8	cdsB	B	fixed	29107744
Schizophyllum_commune_H4-8	cdsB	B	own	29107745
Schizophyllum_commune_H4-8	busco	A	-	29107746
Schizophyllum_commune_H4-8	busco	B	fixed	29107747
