genome	arm	step	evid	job
Cryptococcus_neoformans_H99	old	A	-	29108021
Cryptococcus_neoformans_H99	old	B	fixed	29108022
Cryptococcus_neoformans_H99	oldnew	A	-	29108023
Cryptococcus_neoformans_H99	oldnew	B	fixed	29108024
Cryptococcus_neoformans_H99	tx	A	-	29108025
Cryptococcus_neoformans_H99	tx	B	fixed	29108026
Cryptococcus_neoformans_H99	tx	B	own	29108027
Cryptococcus_neoformans_H99	cdsS	A	-	29108028
Cryptococcus_neoformans_H99	cdsS	B	fixed	29108029
Cryptococcus_neoformans_H99	cdsS	B	own	29108030
Cryptococcus_neoformans_H99	cdsB	A	-	29108031
Cryptococcus_neoformans_H99	cdsB	B	fixed	29108032
Cryptococcus_neoformans_H99	cdsB	B	own	29108033
Cryptococcus_neoformans_H99	busco	A	-	29108034
Cryptococcus_neoformans_H99	busco	B	fixed	29108035
Cryptococcus_neoformans_H99	tx2	A	-	29108036
Cryptococcus_neoformans_H99	tx2	B	fixed	29108037
Cryptococcus_neoformans_H99	se	A	-	29108038
Cryptococcus_neoformans_H99	se	B	fixed	29108039
Cryptococcus_neoformans_H99	txR1R2	A	-	29108040
Cryptococcus_neoformans_H99	txR1R2	B	fixed	29108041
Cryptococcus_neoformans_H99	txR1R2	B	own	29108042
Cryptococcus_neoformans_H99	seR1R2	A	-	29108043
Cryptococcus_neoformans_H99	seR1R2	B	fixed	29108044
Cryptococcus_neoformans_H99	seR1R2	B	own	29108045
Schizophyllum_commune_H4-8	old	A	-	29108046
Schizophyllum_commune_H4-8	old	B	fixed	29108047
Schizophyllum_commune_H4-8	oldnew	A	-	29108048
Schizophyllum_commune_H4-8	oldnew	B	fixed	29108049
Schizophyllum_commune_H4-8	tx	A	-	29108050
Schizophyllum_commune_H4-8	tx	B	fixed	29108051
Schizophyllum_commune_H4-8	tx	B	own	29108052
Schizophyllum_commune_H4-8	cdsS	A	-	29108053
Schizophyllum_commune_H4-8	cdsS	B	fixed	29108054
Schizophyllum_commune_H4-8	cdsS	B	own	29108055
Schizophyllum_commune_H4-8	cdsB	A	-	29108056
Schizophyllum_commune_H4-8	cdsB	B	fixed	29108057
Schizophyllum_commune_H4-8	cdsB	B	own	29108058
Schizophyllum_commune_H4-8	busco	A	-	29108059
Schizophyllum_commune_H4-8	busco	B	fixed	29108060
Schizophyllum_commune_H4-8	tx2	A	-	29108061
Schizophyllum_commune_H4-8	tx2	B	fixed	29108062
Schizophyllum_commune_H4-8	se	A	-	29108063
Schizophyllum_commune_H4-8	se	B	fixed	29108064
Schizophyllum_commune_H4-8	txR1R2	A	-	29108065
Schizophyllum_commune_H4-8	txR1R2	B	fixed	29108066
Schizophyllum_commune_H4-8	txR1R2	B	own	29108067
Schizophyllum_commune_H4-8	seR1R2	A	-	29108068
Schizophyllum_commune_H4-8	seR1R2	B	fixed	29108069
Schizophyllum_commune_H4-8	seR1R2	B	own	29108070
