genome	arm	evidence	exit	holdout_ref_mrnas	pred_genes	pred_single_exon_pct	base_sn	base_pr	exon_sn	exon_pr	intron_sn	intron_pr	intron_chain_sn	intron_chain_pr	transcript_sn	transcript_pr	locus_sn	locus_pr	busco_C	busco_D	busco_F	busco_M	train_models
Aspergillus_nidulans_FGSC_A4	busco	fixed	0	5014	4833	18.6	93.3	95.2	66.6	73.7	68.1	77.6	50.1	55.4	54.7	56.8	54.8	56.8	98.4	0.1	0.8	0.8	
Aspergillus_nidulans_FGSC_A4	cdsB	fixed	0	5014	4901	16.3	93.8	95.1	67.1	73.2	69.0	77.5	51.1	54.2	54.7	55.9	54.7	55.9	98.5	0.1	0.8	0.7	1123
Aspergillus_nidulans_FGSC_A4	cdsB	own	0	5014	4975	17.4	93.9	94.8	67.1	72.7	69.0	77.3	51.0	54.0	54.7	55.1	54.7	55.1	98.5	0.1	0.8	0.7	1123
Aspergillus_nidulans_FGSC_A4	cdsS	fixed	0	5014	4903	16.3	93.8	95.1	67.1	73.2	69.0	77.5	51.1	54.2	54.6	55.9	54.7	55.9	98.5	0.1	0.8	0.7	1123
Aspergillus_nidulans_FGSC_A4	cdsS	own	0	5014	4975	17.4	93.9	94.8	67.1	72.7	69.0	77.3	51.0	54.0	54.6	55.1	54.7	55.1	98.5	0.1	0.8	0.7	1123
Aspergillus_nidulans_FGSC_A4	old	fixed	0	5014	4906	16.3	93.9	95.1	67.0	73.1	68.9	77.4	51.0	54.1	54.5	55.7	54.6	55.7	98.5	0.1	0.8	0.7	1103
Aspergillus_nidulans_FGSC_A4	oldnew	fixed	0	5014	4904	16.5	93.8	95.1	67.0	73.2	68.9	77.5	51.0	54.2	54.6	55.8	54.7	55.8	98.5	0.1	0.8	0.7	1103
Aspergillus_nidulans_FGSC_A4	se	fixed	0	5014	4914	19.0	93.8	95.1	67.1	73.8	68.7	78.2	50.8	55.6	55.6	56.7	55.7	56.7	98.3	0.1	0.8	0.9	1160
Aspergillus_nidulans_FGSC_A4	tx	fixed	0	5014	4903	16.3	93.9	95.1	67.1	73.2	69.0	77.4	51.0	54.1	54.6	55.8	54.6	55.8	98.5	0.1	0.8	0.7	1122
Aspergillus_nidulans_FGSC_A4	tx	own	0	5014	4911	16.5	93.8	95.0	67.2	73.0	69.1	77.2	51.1	54.2	54.6	55.7	54.7	55.7	98.5	0.1	0.8	0.7	1122
