genome	arm	evidence	exit	holdout_ref_mrnas	pred_genes	pred_single_exon_pct	base_sn	base_pr	exon_sn	exon_pr	intron_sn	intron_pr	intron_chain_sn	intron_chain_pr	transcript_sn	transcript_pr	locus_sn	locus_pr	busco_C	busco_D	busco_F	busco_M	train_models
Aspergillus_nidulans_FGSC_A4	tx2	fixed	0	5014	4904	16.4	93.8	95.1	67.1	73.2	69.0	77.4	51.0	54.2	54.6	55.9	54.7	55.9	98.5	0.1	0.8	0.7	1122
Aspergillus_nidulans_FGSC_A4	txG	fixed	0	5014	4900	16.4	93.9	95.1	67.1	73.2	69.0	77.4	50.9	54.1	54.5	55.8	54.6	55.8	98.5	0.1	0.8	0.7	1111
Aspergillus_nidulans_FGSC_A4	txG	own	0	5014	4902	16.6	93.9	95.0	67.1	73.1	69.0	77.3	50.9	54.2	54.6	55.8	54.7	55.8	98.7	0.1	0.7	0.7	1111
Aspergillus_nidulans_FGSC_A4	txRel	fixed	0	5014	4902	16.4	93.9	95.1	67.0	73.1	68.9	77.3	50.8	54.0	54.4	55.7	54.5	55.7	98.5	0.1	0.8	0.7	1142
Aspergillus_nidulans_FGSC_A4	txRel	own	0	5014	4912	16.5	93.8	95.0	67.0	72.9	69.0	77.2	50.9	54.0	54.4	55.5	54.5	55.5	98.5	0.1	0.8	0.7	1142
Botrytis_cinerea_B05.10	busco	fixed	0	6575	5609	20.5	95.4	97.5	83.9	88.8	88.6	92.8	74.4	82.8	74.1	82.0	82.0	82.0	98.8	0.1	0.8	0.4	
Botrytis_cinerea_B05.10	cdsB	fixed	0	6575	5688	18.9	96.6	97.4	85.6	89.0	90.2	92.5	76.7	82.5	75.3	82.1	83.3	82.1	98.9	0.1	0.5	0.5	1288
Botrytis_cinerea_B05.10	cdsB	own	0	6575	5811	20.8	96.6	96.9	85.8	88.3	90.6	92.5	76.4	82.3	75.2	80.2	83.2	80.2	98.5	0.1	0.9	0.5	1288
Botrytis_cinerea_B05.10	cdsS	fixed	0	6575	5688	18.8	96.6	97.4	85.6	88.9	90.3	92.5	76.8	82.5	75.2	82.0	83.2	82.0	98.9	0.1	0.5	0.5	1288
Botrytis_cinerea_B05.10	cdsS	own	0	6575	5811	20.9	96.6	96.9	85.8	88.3	90.6	92.5	76.4	82.4	75.2	80.3	83.2	80.3	98.5	0.1	0.9	0.5	1288
Botrytis_cinerea_B05.10	old	fixed	0	6575	5681	18.8	96.6	97.4	85.5	89.1	90.1	92.6	76.8	82.6	75.3	82.2	83.3	82.2	98.9	0.1	0.5	0.5	1229
Botrytis_cinerea_B05.10	oldnew	fixed	0	6575	5684	18.8	96.6	97.4	85.5	89.0	90.1	92.6	76.7	82.4	75.2	82.0	83.1	82.0	98.9	0.1	0.5	0.5	1229
Botrytis_cinerea_B05.10	se	fixed	0	6575	5708	21.3	96.7	97.4	86.1	90.0	90.2	93.5	76.6	84.6	76.9	83.6	85.1	83.6	98.9	0.1	0.5	0.5	1296
Botrytis_cinerea_B05.10	tx	fixed	0	6575	5686	19.0	96.6	97.4	85.7	89.1	90.2	92.6	76.7	82.6	75.3	82.2	83.3	82.2	98.9	0.1	0.5	0.5	1284
Botrytis_cinerea_B05.10	tx	own	0	6575	5711	19.3	96.5	97.2	85.8	88.6	90.6	92.3	76.5	82.4	74.9	81.4	82.9	81.4	98.5	0.1	0.9	0.5	1284
Botrytis_cinerea_B05.10	tx2	fixed	0	6575	5686	18.8	96.6	97.4	85.6	89.0	90.3	92.5	76.8	82.5	75.2	82.1	83.2	82.1	98.9	0.1	0.5	0.5	1284
Botrytis_cinerea_B05.10	txG	fixed	0	6575	5688	19.0	96.6	97.4	85.6	89.0	90.2	92.5	76.6	82.5	75.3	82.1	83.3	82.1	98.8	0.1	0.7	0.5	1251
Botrytis_cinerea_B05.10	txG	own	0	6575	5695	19.1	96.7	97.3	86.0	88.9	90.7	92.4	76.8	82.7	75.3	82.0	83.3	82.0	98.7	0.1	0.7	0.7	1251
Botrytis_cinerea_B05.10	txR1	fixed	0	6575	5691	18.7	96.7	97.4	85.6	88.8	90.3	92.4	76.8	82.3	75.2	81.9	83.1	81.9	98.9	0.1	0.5	0.5	1346
Botrytis_cinerea_B05.10	txR1	own	0	6575	5717	19.0	96.7	97.3	86.3	88.9	91.1	92.5	77.3	82.8	75.5	81.9	83.6	81.9	98.5	0.1	0.9	0.5	1346
Cryptococcus_neoformans_H99	busco	fixed	0	3073	2636	4.4	95.1	98.5	89.3	94.2	92.3	97.1	73.1	82.7	72.7	80.6	78.1	80.6	96.2	0.5	1.1	2.8	
Cryptococcus_neoformans_H99	cdsB	fixed	0	3073	2690	4.1	96.2	98.4	90.1	94.4	92.8	97.2	75.1	82.9	74.5	81.0	80.1	81.0	96.3	0.5	1.1	2.6	903
Cryptococcus_neoformans_H99	cdsB	own	0	3073	2753	5.0	96.1	98.2	89.9	93.9	92.7	97.1	74.9	81.5	74.4	79.0	79.9	79.0	95.8	0.5	1.5	2.8	903
Cryptococcus_neoformans_H99	cdsS	fixed	0	3073	2691	4.1	96.2	98.4	90.1	94.4	92.8	97.2	75.0	82.7	74.4	80.9	79.9	80.9	96.3	0.5	1.1	2.6	903
Cryptococcus_neoformans_H99	cdsS	own	0	3073	2754	5.1	96.1	98.2	89.9	93.8	92.7	97.1	74.7	81.4	74.2	78.8	79.8	78.8	95.8	0.5	1.5	2.8	903
Cryptococcus_neoformans_H99	old	fixed	0	3073	2692	4.1	96.2	98.4	90.0	94.4	92.7	97.2	75.1	82.8	74.5	80.9	80.1	80.9	96.4	0.5	1.1	2.5	814
Cryptococcus_neoformans_H99	oldnew	fixed	0	3073	2694	4.1	96.2	98.4	90.1	94.4	92.7	97.2	75.2	82.8	74.6	81.0	80.1	81.0	96.4	0.5	1.1	2.5	814
Cryptococcus_neoformans_H99	se	fixed	0	3073	2696	4.9	96.3	98.4	90.1	94.4	92.7	97.2	74.8	83.0	74.6	80.9	80.1	80.9	96.4	0.5	1.1	2.5	833
Cryptococcus_neoformans_H99	seR1R2	fixed	0	3073	2696	4.9	96.3	98.4	90.1	94.5	92.7	97.2	75.2	83.4	74.9	81.2	80.5	81.2	96.4	0.5	1.1	2.5	919
Cryptococcus_neoformans_H99	seR1R2	own	0	3073	2705	4.7	96.2	98.5	90.2	94.3	92.8	97.1	75.0	82.9	74.7	80.7	80.2	80.7	95.9	0.5	1.3	2.8	919
Cryptococcus_neoformans_H99	tx	fixed	0	3073	2692	4.2	96.2	98.4	90.1	94.3	92.7	97.1	74.9	82.7	74.4	80.8	79.9	80.8	96.4	0.5	1.1	2.5	832
Cryptococcus_neoformans_H99	tx	own	0	3073	2691	3.8	96.5	98.4	90.5	94.3	93.2	97.0	75.4	82.9	74.9	81.4	80.5	81.4	96.2	0.5	1.1	2.8	832
Cryptococcus_neoformans_H99	tx2	fixed	0	3073	2692	4.2	96.2	98.4	90.1	94.4	92.7	97.1	74.9	82.7	74.4	80.8	79.9	80.8	96.4	0.5	1.1	2.5	832
Cryptococcus_neoformans_H99	txR1R2	fixed	0	3073	2691	4.1	96.2	98.4	90.1	94.4	92.7	97.2	75.2	83.0	74.6	81.1	80.2	81.1	96.4	0.5	1.1	2.5	917
Cryptococcus_neoformans_H99	txR1R2	own	0	3073	2698	4.0	96.2	98.5	90.2	94.2	92.9	97.0	75.1	82.6	74.6	80.8	80.1	80.8	95.9	0.5	1.3	2.8	917
Neurospora_crassa_OR74A	busco	fixed	0	4317	3456	23.6	88.0	98.9	69.8	82.3	74.4	88.3	62.6	75.6	62.9	74.1	66.0	74.1	97.5	0.1	2.0	0.5	
Neurospora_crassa_OR74A	buscoR1R2	fixed	0	4317	3457	23.7	88.0	98.9	69.8	82.3	74.4	88.4	62.6	75.7	63.0	74.2	66.1	74.2	97.5	0.1	2.0	0.5	
Neurospora_crassa_OR74A	buscoR1R2	own	0	4317	3482	22.3	88.0	98.8	70.9	82.7	75.4	88.4	63.8	75.2	63.7	74.4	66.8	74.4	97.5	0.1	1.7	0.8	
Neurospora_crassa_OR74A	cdsB	fixed	0	4317	3434	19.4	87.3	98.9	69.3	81.1	74.4	87.0	63.0	72.6	61.3	72.6	64.3	72.6	97.4	0.1	2.1	0.5	465
Neurospora_crassa_OR74A	cdsB	own	0	4317	3478	20.3	87.2	98.7	69.0	80.2	74.3	86.7	62.2	71.6	60.5	70.8	63.5	70.8	97.2	0.1	2.4	0.4	465
Neurospora_crassa_OR74A	cdsS	fixed	0	4317	3435	19.1	87.3	98.9	69.2	80.9	74.4	86.9	62.9	72.3	61.0	72.3	64.0	72.3	97.2	0.1	2.1	0.7	465
Neurospora_crassa_OR74A	cdsS	own	0	4317	3480	20.3	87.2	98.7	69.0	80.2	74.4	86.7	62.2	71.6	60.6	70.9	63.5	70.9	97.2	0.1	2.4	0.4	465
Neurospora_crassa_OR74A	old	fixed	0	4317	3430	18.7	87.1	98.8	68.5	80.3	73.9	86.6	62.5	71.6	60.3	71.6	63.3	71.6	97.4	0.1	2.0	0.7	418
Neurospora_crassa_OR74A	oldnew	fixed	0	4317	3432	18.9	87.1	98.8	68.6	80.5	74.0	86.8	62.6	71.9	60.5	71.8	63.5	71.8	97.4	0.1	2.0	0.7	418
Neurospora_crassa_OR74A	se	fixed	0	4317	3435	23.1	86.8	98.9	68.9	82.1	73.7	88.8	62.2	75.1	62.1	73.6	65.1	73.6	97.4	0.1	2.0	0.7	510
Neurospora_crassa_OR74A	seR1R2	fixed	0	4317	3444	23.5	87.7	98.9	70.1	83.2	74.6	89.5	63.1	76.4	63.3	74.9	66.4	74.9	97.4	0.1	2.0	0.7	740
Neurospora_crassa_OR74A	seR1R2	own	0	4317	3474	22.2	87.9	98.9	71.3	83.5	75.8	89.4	64.3	76.0	64.0	75.0	67.1	75.0	97.5	0.1	1.7	0.8	740
Neurospora_crassa_OR74A	tx	fixed	0	4317	3435	19.2	87.3	98.9	69.3	81.1	74.4	86.9	63.0	72.5	61.3	72.6	64.3	72.6	97.4	0.1	2.1	0.5	465
Neurospora_crassa_OR74A	tx	own	0	4317	3447	19.7	87.0	98.8	69.2	80.6	74.6	86.8	62.5	72.1	60.8	71.8	63.8	71.8	97.6	0.1	2.0	0.4	465
Neurospora_crassa_OR74A	tx2	fixed	0	4317	3436	19.1	87.3	98.9	69.2	80.9	74.4	86.9	63.0	72.3	61.0	72.3	64.0	72.3	97.4	0.1	2.1	0.5	465
Neurospora_crassa_OR74A	txG	fixed	0	4317	3447	19.1	87.6	98.8	69.2	80.6	74.4	86.6	62.8	71.9	60.9	71.9	63.9	71.9	97.2	0.1	2.1	0.7	441
Neurospora_crassa_OR74A	txG	own	0	4317	3448	18.7	87.5	98.8	69.4	80.4	74.9	86.3	62.8	71.6	60.7	71.6	63.6	71.6	97.8	0.1	1.8	0.4	441
Neurospora_crassa_OR74A	txID90	fixed	0	4317	3447	18.9	87.9	98.8	69.7	81.2	74.9	87.0	63.7	72.7	61.5	72.6	64.5	72.6	97.5	0.1	2.0	0.5	739
Neurospora_crassa_OR74A	txID90	own	0	4317	3486	19.8	87.6	98.7	70.1	80.9	75.6	87.1	63.8	72.8	61.6	71.9	64.6	71.9	97.4	0.3	2.0	0.7	739
Neurospora_crassa_OR74A	txR1	fixed	0	4317	3440	18.8	87.8	98.8	69.7	81.2	74.9	87.1	63.5	72.6	61.4	72.7	64.4	72.7	97.5	0.1	2.0	0.5	676
Neurospora_crassa_OR74A	txR1	own	0	4317	3473	18.5	88.0	98.8	70.8	81.7	76.1	87.4	64.6	72.9	62.4	73.1	65.4	73.1	97.4	0.1	1.8	0.8	676
Neurospora_crassa_OR74A	txR1R2	fixed	0	4317	3437	19.1	88.0	98.9	69.8	81.5	75.2	87.5	63.6	73.0	61.6	73.0	64.6	73.0	97.4	0.1	2.0	0.7	704
Neurospora_crassa_OR74A	txR1R2	own	0	4317	3469	18.2	88.1	98.8	71.2	82.0	76.4	87.6	65.0	73.1	62.7	73.6	65.8	73.6	97.5	0.1	1.7	0.8	704
Neurospora_crassa_OR74A	txRel	fixed	0	4317	3449	19.2	88.0	98.8	69.7	81.0	75.0	86.8	63.4	72.7	61.5	72.6	64.5	72.6	97.5	0.1	2.0	0.5	861
Neurospora_crassa_OR74A	txRel	own	0	4317	3500	19.6	88.1	98.7	71.2	81.6	76.3	87.3	64.8	73.6	62.7	72.9	65.8	72.9	98.2	0.3	1.5	0.4	861
Schizophyllum_commune_H4-8	busco	fixed	0	7226	5469	4.7	82.0	94.1	69.8	79.6	76.9	85.0	42.3	48.6	37.2	49.2	37.4	49.2	97.5	1.3	1.1	1.5	
Schizophyllum_commune_H4-8	cdsB	fixed	0	7226	5049	6.2	62.1	94.5	47.6	73.8	54.1	85.6	28.4	35.9	25.0	35.8	25.2	35.8	79.0	0.9	9.5	11.5	109
Schizophyllum_commune_H4-8	cdsB	own	0	7226	5059	6.3	62.1	94.4	47.6	73.7	54.1	85.5	28.3	35.7	25.0	35.6	25.1	35.6	79.2	0.9	9.5	11.3	109
Schizophyllum_commune_H4-8	cdsS	fixed	0	7226	5050	6.2	62.1	94.5	47.6	73.8	54.1	85.6	28.3	35.8	25.0	35.7	25.1	35.7	79.4	0.9	9.1	11.5	109
Schizophyllum_commune_H4-8	cdsS	own	0	7226	5060	6.3	62.1	94.4	47.6	73.7	54.1	85.6	28.3	35.8	25.0	35.6	25.1	35.6	79.3	0.9	9.4	11.3	109
Schizophyllum_commune_H4-8	old	fixed	0	7226	4751	2.0	63.9	94.9	56.4	78.1	63.6	86.3	34.0	43.8	29.1	44.2	29.2	44.2	86.9	0.9	5.8	7.3	552
Schizophyllum_commune_H4-8	oldnew	fixed	0	7226	4962	6.6	61.0	94.4	46.6	73.6	53.0	85.7	27.7	35.8	24.4	35.5	24.5	35.5	79.4	0.9	9.1	11.5	87
Schizophyllum_commune_H4-8	se	fixed	0	7226	4978	6.4	61.4	94.5	47.0	73.8	53.5	85.7	28.2	36.2	24.8	36.0	24.9	36.0	79.6	0.9	9.1	11.3	92
Schizophyllum_commune_H4-8	seR1R2	fixed	0	7226	5275	5.4	68.1	94.2	54.2	75.5	60.8	85.1	32.5	39.0	28.6	39.2	28.8	39.2	85.0	1.2	6.7	8.3	157
Schizophyllum_commune_H4-8	seR1R2	own	0	7226	5288	5.4	68.1	94.2	54.2	75.4	60.8	85.1	32.6	39.0	28.7	39.3	28.9	39.3	84.8	1.2	7.1	8.0	157
Schizophyllum_commune_H4-8	tx	fixed	0	7226	4978	6.4	61.4	94.5	47.0	73.8	53.5	85.6	28.1	36.2	24.8	36.0	24.9	36.0	79.4	0.9	9.1	11.5	92
Schizophyllum_commune_H4-8	tx	own	0	7226	4984	6.4	61.5	94.5	47.1	73.8	53.5	85.6	28.2	36.3	24.9	36.0	25.0	36.0	79.6	0.9	9.1	11.3	92
Schizophyllum_commune_H4-8	tx2	fixed	0	7226	4978	6.5	61.4	94.5	47.0	73.8	53.4	85.6	28.1	36.2	24.8	36.0	24.9	36.0	79.6	0.9	9.1	11.3	92
Schizophyllum_commune_H4-8	txR1R2	fixed	0	7226	5274	5.4	68.1	94.2	54.2	75.5	60.8	85.1	32.5	39.0	28.6	39.2	28.8	39.2	85.0	1.2	7.0	8.0	157
Schizophyllum_commune_H4-8	txR1R2	own	0	7226	5288	5.4	68.1	94.2	54.2	75.4	60.9	85.1	32.6	39.1	28.7	39.3	28.9	39.3	85.1	1.2	7.0	7.9	157
