genome	arm	rep	step	evid	job
Neurospora_crassa_OR74A	busco4	1	A	-	29112760
Neurospora_crassa_OR74A	busco4	1	B	fixed	29112761
Neurospora_crassa_OR74A	busco4	2	A	-	29112762
Neurospora_crassa_OR74A	busco4	2	B	fixed	29112763
Neurospora_crassa_OR74A	busco4	3	A	-	29112764
Neurospora_crassa_OR74A	busco4	3	B	fixed	29112765
Aspergillus_nidulans_FGSC_A4	busco4	1	A	-	29112766
Aspergillus_nidulans_FGSC_A4	busco4	1	B	fixed	29112767
Aspergillus_nidulans_FGSC_A4	busco4	2	A	-	29112768
Aspergillus_nidulans_FGSC_A4	busco4	2	B	fixed	29112769
Aspergillus_nidulans_FGSC_A4	busco4	3	A	-	29112770
Aspergillus_nidulans_FGSC_A4	busco4	3	B	fixed	29112771
Botrytis_cinerea_B05.10	busco4	1	A	-	29112772
Botrytis_cinerea_B05.10	busco4	1	B	fixed	29112773
Botrytis_cinerea_B05.10	busco4	2	A	-	29112774
Botrytis_cinerea_B05.10	busco4	2	B	fixed	29112775
Botrytis_cinerea_B05.10	busco4	3	A	-	29112776
Botrytis_cinerea_B05.10	busco4	3	B	fixed	29112777
Cryptococcus_neoformans_H99	busco4	1	A	-	29112778
Cryptococcus_neoformans_H99	busco4	1	B	fixed	29112779
Cryptococcus_neoformans_H99	busco4	2	A	-	29112780
Cryptococcus_neoformans_H99	busco4	2	B	fixed	29112781
Cryptococcus_neoformans_H99	busco4	3	A	-	29112782
Cryptococcus_neoformans_H99	busco4	3	B	fixed	29112783
