ASMID,SPECIES_IN,STRAIN,BIOPROJECT,NCBI_TAXONID,BUSCO_LINEAGE,PHYLUM,SUBPHYLUM,CLASS,SUBCLASS,ORDER,FAMILY,GENUS,SPECIES,TRANSL_TABLE,LOCUSTAG
GCF_010015735.1_Aaoar1,Aaosphaeria arxii CBS 175.79,CBS 175.79,PRJNA234399,1450172,dikarya,Ascomycota,,Dothideomycetes,,Pleosporales,,Aaosphaeria,Aaosphaeria arxii,1,FF5840CF
GCA_022813625.1_ASM2281362v1,Aaosphaeria pasadenensis,FJI-L9-BK-P1,PRJNA800051,3025424,dikarya,Ascomycota,,Dothideomycetes,,Pleosporales,,Aaosphaeria,Aaosphaeria pasadenensis,1,F2EE6837
GCA_022606235.1_Abobie1,Abortiporus biennis,CIRM-BRFM 1778,PRJNA444028,137743,dikarya,Basidiomycota,,Agaricomycetes,,Polyporales,Podoscyphaceae,Abortiporus,Abortiporus biennis,1,F6291E57
GCA_047301825.1_ASM4730182v1,Abortiporus biennis,LGAM 436,PRJNA1117344,137743,dikarya,Basidiomycota,,Agaricomycetes,,Polyporales,Podoscyphaceae,Abortiporus,Abortiporus biennis,1,F73ADB4F
GCA_977092135.1_gzAbsCyli1,Absidia cylindrospora,,PRJEB65317;PRJEB95971;PRJNA533106,213030,mucoromycota,Mucoromycota,,Mucoromycetes,,Mucorales,Cunninghamellaceae,Absidia,Absidia cylindrospora,1,FE9C2CC8
GCA_900079185.1_AG_v1,Absidia glauca,CBS 101.48 substr. RVII-324 met,PRJEB13349,4829,mucoromycota,Mucoromycota,,Mucoromycetes,,Mucorales,Cunninghamellaceae,Absidia,Absidia glauca,1,F07B100A
GCA_019677225.1_ASM1967722v1,Absidia healeyae,UoMAU1,PRJNA630489,2733465,mucoromycota,Mucoromycota,,Mucoromycetes,,Mucorales,Cunninghamellaceae,Absidia,Absidia healeyae,1,FD115048
GCA_002105175.1_Absrep1,Absidia repens,NRRL 1336,PRJNA330702,90262,mucoromycota,Mucoromycota,,Mucoromycetes,,Mucorales,Cunninghamellaceae,Absidia,Absidia repens,1,FEBF3DD9
GCA_019677255.1_ASM1967725v1,Absidia sp. UoMAU379,UoMAU379,PRJNA630491,2735258,mucoromycota,Mucoromycota,,Mucoromycetes,,Mucorales,Cunninghamellaceae,Absidia,Absidia sp. UoMAU379,1,F35F2201
GCA_050656845.1_ASM5065684v1,Absidia sp. YW-2025a,CGMCC 3.27810,PRJNA1262716,3423207,mucoromycota,Mucoromycota,,Mucoromycetes,,Mucorales,Cunninghamellaceae,Absidia,Absidia sp. YW-2025a,1,FAF47261
GCA_050656855.1_ASM5065685v1,Absidia sp. YW-2025b,CGMCC 3.27811,PRJNA1262904,3423208,mucoromycota,Mucoromycota,,Mucoromycetes,,Mucorales,Cunninghamellaceae,Absidia,Absidia sp. YW-2025b,1,F3FB4D95
GCA_964256675.1_public_SRR14721923_metabat2_bin.2,Acanthothecis fontana,,PRJEB77567,2569847,dikarya,Ascomycota,,Lecanoromycetes,,Ostropales,Graphidaceae,Acanthothecis,Acanthothecis fontana,1,FAE180BF
GCF_003144295.1_Acain1,Acaromyces ingoldii,MCA 4198,PRJNA247834,215250,dikarya,Basidiomycota,,Exobasidiomycetes,,Exobasidiales,Cryptobasidiaceae,Acaromyces,Acaromyces ingoldii,1,F6F9F3CD
GCA_964256185.1_private_T1882_concoct_bin.24,Acarospora aff. strigata,,PRJEB77567,2871812,dikarya,Ascomycota,,Lecanoromycetes,,Acarosporales,Acarosporaceae,Acarospora,Acarospora aff. strigata,1,F4323B52
GCA_022814355.1_ASM2281435v1,Acarospora aff. strigata,T1882,PRJNA795879,2871812,dikarya,Ascomycota,,Lecanoromycetes,,Acarosporales,Acarosporaceae,Acarospora,Acarospora aff. strigata,1,F2E7168E
GCA_025617375.2_glAcaSoci1.1,Acarospora socialis,JNA_AS_CCGP158,PRJNA851476,1307805,dikarya,Ascomycota,,Lecanoromycetes,,Acarosporales,Acarosporaceae,Acarospora,Acarospora socialis,1,FA57834A
GCA_964255005.1_public_SRR14722090_metabat2_bin.14,Acarospora sp. Tripp_6053_NY-2858381,,PRJEB77567,2841863,dikarya,Ascomycota,,Lecanoromycetes,,Acarosporales,Acarosporaceae,Acarospora,Acarospora sp. Tripp_6053_NY-2858381,1,FCDEE62D
GCA_004114255.1_ASM411425v1,Acaulopage tetraceros,T-All,PRJNA451036,1172177,fungi,Zoopagomycota,,Zoopagomycetes,,Zoopagales,Zoopagaceae,Acaulopage,Acaulopage tetraceros,1,F46AF962
GCA_910592055.1_Acaulospora_colombiana_CL356,Acaulospora colombiana,CL356,PRJEB45340,27376,fungi,Glomeromycota,,Glomeromycetes,,Diversisporales,Acaulosporaceae,Acaulospora,Acaulospora colombiana,1,F7D7056F
GCA_910591835.1_Acaulospora_morrowiae_CL551,Acaulospora morrowiae,CL551,PRJEB45340,94023,fungi,Glomeromycota,,Glomeromycetes,,Diversisporales,Acaulosporaceae,Acaulospora,Acaulospora morrowiae,1,FD1E6533
GCA_014904845.1_Acema1,Acephala macrosclerotiorum,EW76-UTF0540,PRJNA334316,886606,dikarya,Ascomycota,,Leotiomycetes,,Helotiales,Mollisiaceae,Acephala,Acephala macrosclerotiorum,1,F74D2E4C
GCA_031001845.1_ASM3100184v1,Achaetomiella virescens,148.68,PRJNA945858,1934374,dikarya,Ascomycota,,Sordariomycetes,,Sordariales,Chaetomiaceae,Achaetomiella,Achaetomiella virescens,1,FE89BD6F
GCA_033296875.1_Achma1,Achaetomium macrosporum,CBS 532.94,PRJNA441724,79813,dikarya,Ascomycota,,Sordariomycetes,,Sordariales,Chaetomiaceae,Achaetomium,Achaetomium macrosporum,1,F0443DCA
GCA_030579395.1_ASM3057939v1,Aciculoconidium aculeatum,NRRL YB-4298,PRJNA736342,43968,dikarya,Ascomycota,,Pichiomycetes,,Serinales,Debaryomycetaceae,Aciculoconidium,Aciculoconidium aculeatum,12,F6D375A1
GCA_000222935.2_AciTa_1.0,Aciculosporium take MAFF-241224,MAFF-241224,PRJNA67241,1036760,dikarya,Ascomycota,,Sordariomycetes,,Hypocreales,Clavicipitaceae,Aciculosporium,Aciculosporium take,1,F4FC39BC
GCA_019670975.1_ASM1967097v1,Acidiella bohemica,SYSU C17045,PRJNA725650,1176733,dikarya,Ascomycota,,Dothideomycetes,,Mycosphaerellales,Teratosphaeriaceae,Acidiella,Acidiella bohemica,1,F686C401
GCA_001592465.1_Acidomyces_richmondensis_BFW_v1.0,Acidomyces richmondensis BFW,BFW,PRJNA207869,766039,dikarya,Ascomycota,,Dothideomycetes,,Mycosphaerellales,Teratosphaeriaceae,Acidomyces,Acidomyces sp. richmondensis,1,F17C9178
