ASMID,SPECIES_IN,STRAIN,BIOPROJECT,NCBI_TAXONID,BUSCO_LINEAGE,PHYLUM,SUBPHYLUM,CLASS,SUBCLASS,ORDER,FAMILY,GENUS,SPECIES,TRANSL_TABLE,LOCUSTAG
GCA_003545705.1_ASM354570v1,Acidomyces sp. richmondensis,FRIK2901,PRJNA486357,245562,dikarya,Ascomycota,,Dothideomycetes,,Mycosphaerellales,Teratosphaeriaceae,Acidomyces,Acidomyces sp. richmondensis,1,F65D1F27
GCA_001572075.1_ASM157207v1,Acidomyces sp. richmondensis,meta,PRJNA248220;PRJNA248226,245562,dikarya,Ascomycota,,Dothideomycetes,,Mycosphaerellales,Teratosphaeriaceae,Acidomyces,Acidomyces sp. richmondensis,1,F9098BC1
GCA_054490815.1_RUAS_VINSTROM,Acremonium polychromum,NFCCI 6138,PRJNA1338585,1036751,dikarya,Ascomycota,,Sordariomycetes,,Hypocreales,Bionectriaceae,Acremonium,Acremonium polychromum,1,F3CD8118
GCA_020087035.1_ASM2008703v1,Acremonium sp. FKII-L8-BK-P5,FKII-L8-BK-P5,PRJNA644637,2778101,dikarya,Ascomycota,,Sordariomycetes,,Hypocreales,Bionectriaceae,Acremonium,Acremonium sp. FKII-L8-BK-P5,1,F6B21F09
GCA_028476805.1_ASM2847680v1,Acrocalymma vagum,A21,PRJNA921830,1589764,dikarya,Ascomycota,,Dothideomycetes,,Pleosporales,Acrocalymmaceae,Acrocalymma,Acrocalymma vagum,1,F289AF5C
GCA_033807595.1_ASM3380759v1,Acrodontium crateriforme,169a,PRJNA1034788,150365,dikarya,Ascomycota,,Dothideomycetes,,Mycosphaerellales,Teratosphaeriaceae,Acrodontium,Acrodontium crateriforme,1,F1CE3959
GCA_016098155.1_UCR_MambBC1055_1.0,Actinomortierella ambigua,BC1065,PRJNA463334,1343610,fungi,Mortierellomycota,,Mortierellomycetes,,Mortierellales,Mortierellaceae,Actinomortierella,Actinomortierella ambigua,1,F9D4E4C8
GCA_015502565.1_UCR_MambBC1291,Actinomortierella ambigua,BC1291,PRJNA463333,1343610,fungi,Mortierellomycota,,Mortierellomycetes,,Mortierellales,Mortierellaceae,Actinomortierella,Actinomortierella ambigua,1,F4317B24
GCA_015849275.1_UCR_MambNRRL28271_1.0,Actinomortierella ambigua,NRRL 28271,PRJNA340820,1343610,fungi,Mortierellomycota,,Mortierellomycetes,,Mortierellales,Mortierellaceae,Actinomortierella,Actinomortierella ambigua,1,F664D58F
GCA_016098105.1_UCR_MwolfiiNRRL6351_1.0,Actinomortierella wolfii,NRRL 6351,PRJNA340479,90253,fungi,Mortierellomycota,,Mortierellomycetes,,Mortierellales,Mortierellaceae,Actinomortierella,Actinomortierella wolfii,1,FAB251FE
GCA_016098135.1_UCR_MwolfiiNRRL66265_1.0,Actinomortierella wolfii,NRRL 66265,PRJNA340481,90253,fungi,Mortierellomycota,,Mortierellomycetes,,Mortierellales,Mortierellaceae,Actinomortierella,Actinomortierella wolfii,1,F574EFC1
GCA_026027325.1_ASM2602732v1,Actinomucor elegans,CJ-6,PRJNA848933,64647,mucoromycota,Mucoromycota,,Mucoromycetes,,Mucorales,Mucoraceae,Actinomucor,Actinomucor elegans,1,FD969266
GCA_001599635.1_JCM_22485_assembly_v001,Actinomucor elegans,JCM 22485,PRJDB3556;PRJDB3646,64647,mucoromycota,Mucoromycota,,Mucoromycetes,,Mucorales,Mucoraceae,Actinomucor,Actinomucor elegans,1,F7B78768
GCA_004216415.1_S18-22,Aeminium ludgeri,E14,PRJNA520871,2518135,dikarya,Ascomycota,,Dothideomycetes,,Mycosphaerellales,Aeminiaceae,Aeminium,Aeminium ludgeri,1,FD68B63E
GCA_041722915.1_BD655-Tylopilus-cordonbleu-nom-prov,aff. Porphyrellus sp. UT-M0000030,UT-M0000030,PRJNA1022813,3134630,dikarya,Basidiomycota,,Agaricomycetes,,Boletales,Boletaceae,,aff. Porphyrellus sp. UT-M0000030,1,F7128CE3
GCA_041722675.1_BD885,aff. Porphyrellus sp. UT-M0000367,UT-M0000367,PRJNA1022813,3134631,dikarya,Basidiomycota,,Agaricomycetes,,Boletales,Boletaceae,,aff. Porphyrellus sp. UT-M0000367,1,F1E1EE23
GCA_038094355.1_BD703-Stobilomyces-lepidellus,Afroboletus lepidellus,UT-M0000099,PRJNA1022813,3095450,dikarya,Basidiomycota,,Agaricomycetes,,Boletales,Boletaceae,Afroboletus,Afroboletus lepidellus,1,F9CCCC79
GCA_002718315.1_ASM271831v1,Agaricales sp. HM26-F1,HM26-F1,PRJNA388831,2607230,dikarya,Basidiomycota,,Agaricomycetes,,Agaricales,,,Agaricales sp. HM26-F1,1,F165E458
GCA_943193715.1_gfAgaBisp1.1,Agaricus bisporus,,PRJEB40665;PRJEB43510;PRJEB43745;PRJEB52215;PRJEB53009;PRJNA533106,5341,dikarya,Basidiomycota,,Agaricomycetes,,Agaricales,Agaricaceae,Agaricus,Agaricus bisporus,1,FC3CD921
GCA_041430195.1_ASM4143019v1,Agaricus bisporus,A10_9,PRJNA1077645,5341,dikarya,Basidiomycota,,Agaricomycetes,,Agaricales,Agaricaceae,Agaricus,Agaricus bisporus,1,F878B385
GCA_043381075.1_ASM4338107v1,Agaricus bisporus,A13-20,PRJNA1077645,5341,dikarya,Basidiomycota,,Agaricomycetes,,Agaricales,Agaricaceae,Agaricus,Agaricus bisporus,1,F37090CD
GCA_046056105.1_ASM4605610v1,Agaricus bisporus,A33_49,PRJNA1077645,5341,dikarya,Basidiomycota,,Agaricomycetes,,Agaricales,Agaricaceae,Agaricus,Agaricus bisporus,1,F38F738D
GCA_046056185.1_ASM4605618v1,Agaricus bisporus,A33_62,PRJNA1077645,5341,dikarya,Basidiomycota,,Agaricomycetes,,Agaricales,Agaricaceae,Agaricus,Agaricus bisporus,1,F51025C7
GCA_043380955.1_ASM4338095v1,Agaricus bisporus,A58_19,PRJNA1077645,5341,dikarya,Basidiomycota,,Agaricomycetes,,Agaricales,Agaricaceae,Agaricus,Agaricus bisporus,1,F1F1C4F5
GCA_037953735.1_ASM3795373v1,Agaricus bisporus,A7_31,PRJNA1077645,5341,dikarya,Basidiomycota,,Agaricomycetes,,Agaricales,Agaricaceae,Agaricus,Agaricus bisporus,1,FA84B8F1
GCA_008271545.1_ASM827154v1,Agaricus bisporus,AB58,PRJNA529780,5341,dikarya,Basidiomycota,,Agaricomycetes,,Agaricales,Agaricaceae,Agaricus,Agaricus bisporus,1,FB863B2D
GCA_055470795.1_ASM5547079v1,Agaricus bisporus,AB7,PRJNA1212797,5341,dikarya,Basidiomycota,,Agaricomycetes,,Agaricales,Agaricaceae,Agaricus,Agaricus bisporus,1,F69B4357
GCA_006491665.1_MU_Agar_1,Agaricus bisporus var. bisporus,ARP23,PRJNA544931,192523,dikarya,Basidiomycota,,Agaricomycetes,,Agaricales,Agaricaceae,Agaricus,Agaricus bisporus,1,F8793099
GCA_014872705.1_ASM1487270v1,Agaricus bisporus var. burnettii,H119_p4,PRJNA635555,192524,dikarya,Basidiomycota,,Agaricomycetes,,Agaricales,Agaricaceae,Agaricus,Agaricus bisporus,1,FA6AE42A
GCA_001682475.1_ASM168247v1,Agaricus bisporus var. bisporus,H39,PRJNA61005,192523,dikarya,Basidiomycota,,Agaricomycetes,,Agaricales,Agaricaceae,Agaricus,Agaricus bisporus,1,FFAED62A
GCF_000300575.1_Agabi_varbisH97_2,Agaricus bisporus var. bisporus H97,H97,PRJNA61005,936046,dikarya,Basidiomycota,,Agaricomycetes,,Agaricales,Agaricaceae,Agaricus,Agaricus bisporus,1,F2B1A1A1
GCF_000300555.1_Agabi_varbur_1,Agaricus bisporus var. burnettii JB137-S8,JB137-s8,PRJNA61007,597362,dikarya,Basidiomycota,,Agaricomycetes,,Agaricales,Agaricaceae,Agaricus,Agaricus bisporus,1,F5B6F0B4
GCA_006228365.1_ASM622836v1,Agaricus bisporus,KMCC00540,PRJNA534383,5341,dikarya,Basidiomycota,,Agaricomycetes,,Agaricales,Agaricaceae,Agaricus,Agaricus bisporus,1,F41D9D90
GCA_030246685.1_ASM3024668v1,Agaricus bitorquis,BH01,PRJNA946023,5343,dikarya,Basidiomycota,,Agaricomycetes,,Agaricales,Agaricaceae,Agaricus,Agaricus bitorquis,1,F8F2286A
GCA_029719445.1_ASM2971944v1,Agaricus blazei,JA-15036,PRJNA532471,79798,dikarya,Basidiomycota,,Agaricomycetes,,Agaricales,Agaricaceae,Agaricus,Agaricus blazei,1,FF9D1BC6
GCA_022315185.1_ASM2231518v1,Agaricus sinodeliciosus,ZRL20160001-S65,PRJNA744025,1550288,dikarya,Basidiomycota,,Agaricomycetes,,Agaricales,Agaricaceae,Agaricus,Agaricus sinodeliciosus,1,FA5C54A1
GCA_029945375.1_Asub-V01,Agaricus subrufescens,ABL 49,PRJNA926637,87252,dikarya,Basidiomycota,,Agaricomycetes,,Agaricales,Agaricaceae,Agaricus,Agaricus subrufescens,1,F50AC181
GCA_029232285.1_Ca_Agmasoma_carcini_1,Agmasoma carcini nom. nud.,v1,PRJNA888958,2984836,microsporidia,Microsporidia,,,,,Thelohaniidae,Agmasoma,Agmasoma carcini nom. nud.,1,F4684146
GCA_029231695.1_Cm_Agmasoma_carcini_1,Agmasoma carcini nom. nud.,v2,PRJNA888961,2984836,microsporidia,Microsporidia,,,,,Thelohaniidae,Agmasoma,Agmasoma carcini nom. nud.,1,FAA64C3D
GCA_041475395.1_ASM4147539v1,Agroathelia delphinii,SD,PRJNA1031343,180424,dikarya,Basidiomycota,,Agaricomycetes,,Amylocorticiales,Amylocorticiaceae,Agroathelia,Agroathelia delphinii,1,F05F955B
GCA_036172465.1_UNINA_Arolf_CCF1,Agroathelia rolfsii,CCF1,PRJNA1052013,39291,dikarya,Basidiomycota,,Agaricomycetes,,Amylocorticiales,Amylocorticiaceae,Agroathelia,Agroathelia rolfsii,1,F9A7AB2E
GCA_018343915.1_ASM1834391v1,Agroathelia rolfsii,GP3,PRJNA635225,39291,dikarya,Basidiomycota,,Agaricomycetes,,Amylocorticiales,Amylocorticiaceae,Agroathelia,Agroathelia rolfsii,1,FD80AAA3
GCA_052928445.1_ASM5292844v1,Agroathelia rolfsii,LC-1,PRJNA1313194,39291,dikarya,Basidiomycota,,Agaricomycetes,,Amylocorticiales,Amylocorticiaceae,Agroathelia,Agroathelia rolfsii,1,F2E397F8
GCA_000961905.2_AthRolfv2.0,Agroathelia rolfsii,MR10,PRJNA259929,39291,dikarya,Basidiomycota,,Agaricomycetes,,Amylocorticiales,Amylocorticiaceae,Agroathelia,Agroathelia rolfsii,1,F49E3615
GCA_002940785.1_ASM294078v1,Agroathelia rolfsii,Sr-RCBB,PRJNA271831,39291,dikarya,Basidiomycota,,Agaricomycetes,,Amylocorticiales,Amylocorticiaceae,Agroathelia,Agroathelia rolfsii,1,F389213C
GCA_018343895.1_ASM1834389v1,Agroathelia rolfsii,ZY,PRJNA635226,39291,dikarya,Basidiomycota,,Agaricomycetes,,Amylocorticiales,Amylocorticiaceae,Agroathelia,Agroathelia rolfsii,1,F7CB2411
GCA_027627235.1_Agrocybe_chaxingu_MP-N11_reassembly,Agrocybe chaxingu,MP-N11,PRJNA855555,84603,dikarya,Basidiomycota,,Agaricomycetes,,Agaricales,Agrocybaceae,Agrocybe,Agrocybe chaxingu,1,F3B668AA
GCA_015484485.1_Agrped1,Agrocybe pediades,AH 40210,PRJNA410408,84607,dikarya,Basidiomycota,,Agaricomycetes,,Agaricales,Agrocybaceae,Agrocybe,Agrocybe pediades,1,FCB97543
GCA_013053245.1_LU_AGP_1.0,Agrocybe pediades,CBS 102.39,PRJNA496353,84607,dikarya,Basidiomycota,,Agaricomycetes,,Agaricales,Agrocybaceae,Agrocybe,Agrocybe pediades,1,F8E2FCA9
GCA_051996695.1_ASM5199669v1,Agrocybe pediades,ZRL20220683_2,PRJNA1223616,84607,dikarya,Basidiomycota,,Agaricomycetes,,Agaricales,Agrocybaceae,Agrocybe,Agrocybe pediades,1,F878FA2F
GCA_964017145.1_gfAgrPrae1.1,Agrocybe praecox,,PRJEB40665;PRJEB43510;PRJEB43745;PRJEB63448;PRJEB74180;PRJNA533106,71668,dikarya,Basidiomycota,,Agaricomycetes,,Agaricales,Agrocybaceae,Agrocybe,Agrocybe praecox,1,F6D8FC91
GCA_051996675.1_ASM5199667v1,Agrocybe striatipes,ZRL20211296,PRJNA1223616,3018807,dikarya,Basidiomycota,,Agaricomycetes,,Agaricales,Agrocybaceae,Agrocybe,Agrocybe striatipes,1,FAAAEEC5
GCA_022814335.1_ASM2281433v1,Agyrium rufum,Spribille 39798,PRJNA795879,443868,dikarya,Ascomycota,,Lecanoromycetes,,Pertusariales,Pertusariaceae,Agyrium,Agyrium rufum,1,FDE1693B
GCA_051529075.1_YNP63,Akanthomyces attenuatus,MUC8126,PRJNA1074702,2259046,dikarya,Ascomycota,,Sordariomycetes,,Hypocreales,Cordycipitaceae,Akanthomyces,Akanthomyces attenuatus,1,F0E6B10C
GCA_030411515.1_ASM3041151v1,Akanthomyces dipterigenus,MBC 259,PRJNA879330,132109,dikarya,Ascomycota,,Sordariomycetes,,Hypocreales,Cordycipitaceae,Akanthomyces,Akanthomyces dipterigenus,1,F671B47F
GCA_030779985.1_ASM3077998v1,Akanthomyces dipterigenus,MBC 561,PRJNA879330,132109,dikarya,Ascomycota,,Sordariomycetes,,Hypocreales,Cordycipitaceae,Akanthomyces,Akanthomyces dipterigenus,1,F8CCA6CF
GCA_030781665.1_ASM3078166v1,Akanthomyces dipterigenus,MBC 608,PRJNA879330,132109,dikarya,Ascomycota,,Sordariomycetes,,Hypocreales,Cordycipitaceae,Akanthomyces,Akanthomyces dipterigenus,1,F363506E
GCA_030782645.1_ASM3078264v1,Akanthomyces dipterigenus,MBC 628,PRJNA879330,132109,dikarya,Ascomycota,,Sordariomycetes,,Hypocreales,Cordycipitaceae,Akanthomyces,Akanthomyces dipterigenus,1,FD0BE588
GCA_030781925.1_ASM3078192v1,Akanthomyces dipterigenus,MBC 678,PRJNA879330,132109,dikarya,Ascomycota,,Sordariomycetes,,Hypocreales,Cordycipitaceae,Akanthomyces,Akanthomyces dipterigenus,1,FD6D61A6
GCA_030783805.1_ASM3078380v1,Akanthomyces dipterigenus,MBC 685,PRJNA879330,132109,dikarya,Ascomycota,,Sordariomycetes,,Hypocreales,Cordycipitaceae,Akanthomyces,Akanthomyces dipterigenus,1,FA3C414C
GCA_030783725.1_ASM3078372v1,Akanthomyces dipterigenus,MBC 690,PRJNA879330,132109,dikarya,Ascomycota,,Sordariomycetes,,Hypocreales,Cordycipitaceae,Akanthomyces,Akanthomyces dipterigenus,1,F4E3E841
GCA_030783745.1_ASM3078374v1,Akanthomyces dipterigenus,MBC 691,PRJNA879330,132109,dikarya,Ascomycota,,Sordariomycetes,,Hypocreales,Cordycipitaceae,Akanthomyces,Akanthomyces dipterigenus,1,F5B2064E
GCA_030783385.1_ASM3078338v1,Akanthomyces dipterigenus,MBC 701,PRJNA879330,132109,dikarya,Ascomycota,,Sordariomycetes,,Hypocreales,Cordycipitaceae,Akanthomyces,Akanthomyces dipterigenus,1,F96731B7
GCA_030783265.1_ASM3078326v1,Akanthomyces dipterigenus,MBC 708,PRJNA879330,132109,dikarya,Ascomycota,,Sordariomycetes,,Hypocreales,Cordycipitaceae,Akanthomyces,Akanthomyces dipterigenus,1,FD54340F
GCA_030784025.1_ASM3078402v1,Akanthomyces dipterigenus,MBC 741,PRJNA879330,132109,dikarya,Ascomycota,,Sordariomycetes,,Hypocreales,Cordycipitaceae,Akanthomyces,Akanthomyces dipterigenus,1,F39AEB6F
GCA_051527285.1_YNP42,Akanthomyces dipterigenus,MUC9702,PRJNA1074702,132109,dikarya,Ascomycota,,Sordariomycetes,,Hypocreales,Cordycipitaceae,Akanthomyces,Akanthomyces dipterigenus,1,FE322439
GCA_016170065.1_ASM1617006v1,Akanthomyces lecanii,CJL01,PRJNA577318,2714763,dikarya,Ascomycota,,Sordariomycetes,,Hypocreales,Cordycipitaceae,Akanthomyces,Akanthomyces lecanii,1,F7E04D06
GCA_051527755.1_YNP1,Akanthomyces lecanii,DSM 111009,PRJNA1074702,2714763,dikarya,Ascomycota,,Sordariomycetes,,Hypocreales,Cordycipitaceae,Akanthomyces,Akanthomyces lecanii,1,F5726538
GCA_030411575.1_ASM3041157v1,Akanthomyces lecanii,MBC 123,PRJNA879330,2714763,dikarya,Ascomycota,,Sordariomycetes,,Hypocreales,Cordycipitaceae,Akanthomyces,Akanthomyces lecanii,1,FBEE31E0
GCA_032354155.1_ASM3235415v1,Akanthomyces lecanii,MBC 153,PRJNA879330,2714763,dikarya,Ascomycota,,Sordariomycetes,,Hypocreales,Cordycipitaceae,Akanthomyces,Akanthomyces lecanii,1,FDB8C33A
GCA_030772815.1_ASM3077281v1,Akanthomyces lecanii,MBC 159,PRJNA879330,2714763,dikarya,Ascomycota,,Sordariomycetes,,Hypocreales,Cordycipitaceae,Akanthomyces,Akanthomyces lecanii,1,F139E062
GCA_030780265.1_ASM3078026v1,Akanthomyces lecanii,MBC 542,PRJNA879330,2714763,dikarya,Ascomycota,,Sordariomycetes,,Hypocreales,Cordycipitaceae,Akanthomyces,Akanthomyces lecanii,1,FC0E3266
GCA_030781825.1_ASM3078182v1,Akanthomyces lecanii,MBC 603,PRJNA879330,2714763,dikarya,Ascomycota,,Sordariomycetes,,Hypocreales,Cordycipitaceae,Akanthomyces,Akanthomyces lecanii,1,F1933DCF
GCA_030783985.1_ASM3078398v1,Akanthomyces lecanii,MBC 729,PRJNA879330,2714763,dikarya,Ascomycota,,Sordariomycetes,,Hypocreales,Cordycipitaceae,Akanthomyces,Akanthomyces lecanii,1,F91BEAF4
GCA_030785975.1_ASM3078597v1,Akanthomyces lecanii,MBC 801,PRJNA879330,2714763,dikarya,Ascomycota,,Sordariomycetes,,Hypocreales,Cordycipitaceae,Akanthomyces,Akanthomyces lecanii,1,F5F88676
GCA_030789525.1_ASM3078952v1,Akanthomyces lecanii,MBC 901,PRJNA879330,2714763,dikarya,Ascomycota,,Sordariomycetes,,Hypocreales,Cordycipitaceae,Akanthomyces,Akanthomyces lecanii,1,F91807BE
GCA_051529055.1_YNP64,Akanthomyces lecanii,MUC8115,PRJNA1074702,2714763,dikarya,Ascomycota,,Sordariomycetes,,Hypocreales,Cordycipitaceae,Akanthomyces,Akanthomyces lecanii,1,FA706FE9
GCA_001636795.1_LEL_1.0,Akanthomyces lecanii RCEF 1005,RCEF 1005,PRJNA72733,1081108,dikarya,Ascomycota,,Sordariomycetes,,Hypocreales,Cordycipitaceae,Akanthomyces,Akanthomyces lecanii,1,F5D69F67
GCA_001653215.1_ASM165321v1,Akanthomyces lecanii,UM487,PRJNA311919,2714763,dikarya,Ascomycota,,Sordariomycetes,,Hypocreales,Cordycipitaceae,Akanthomyces,Akanthomyces lecanii,1,F681F069
GCA_054134475.1_Lecanicillium_lecanii_V198499_v1,Akanthomyces lecanii,V198499,PRJNA1312986,2714763,dikarya,Ascomycota,,Sordariomycetes,,Hypocreales,Cordycipitaceae,Akanthomyces,Akanthomyces lecanii,1,F9F1D029
GCA_040955805.1_AKA_AC3,Akanthomyces muscarius,AC3,PRJNA1059628,2231603,dikarya,Ascomycota,,Sordariomycetes,,Hypocreales,Cordycipitaceae,Akanthomyces,Akanthomyces muscarius,1,FF0B17B2
GCA_051527555.1_YNP2,Akanthomyces muscarius,DSM 3411,PRJNA1074702,2231603,dikarya,Ascomycota,,Sordariomycetes,,Hypocreales,Cordycipitaceae,Akanthomyces,Akanthomyces muscarius,1,F5E3707A
GCA_051529015.1_YNP65,Akanthomyces muscarius,MUC9713,PRJNA1074702,2231603,dikarya,Ascomycota,,Sordariomycetes,,Hypocreales,Cordycipitaceae,Akanthomyces,Akanthomyces muscarius,1,F2C832B2
GCF_028009165.1_ASM2800916v1,Akanthomyces muscarius,Ve6,PRJNA777543,2231603,dikarya,Ascomycota,,Sordariomycetes,,Hypocreales,Cordycipitaceae,Akanthomyces,Akanthomyces muscarius,1,FEE3DA2F
GCA_051528755.1_YNP78,Akanthomyces sp. G78,G78,PRJNA1074702,3120208,dikarya,Ascomycota,,Sordariomycetes,,Hypocreales,Cordycipitaceae,Akanthomyces,Akanthomyces sp. G78,1,F12A2166
GCA_030778065.2_ASM3077806v2,Akanthomyces uredinophilus,MBC 350,PRJNA879330,2487154,dikarya,Ascomycota,,Sordariomycetes,,Hypocreales,Cordycipitaceae,Akanthomyces,Akanthomyces uredinophilus,1,F9BECA7B
GCA_030783525.2_ASM3078352v2,Akanthomyces uredinophilus,MBC 695,PRJNA879330,2487154,dikarya,Ascomycota,,Sordariomycetes,,Hypocreales,Cordycipitaceae,Akanthomyces,Akanthomyces uredinophilus,1,F2A84A8E
GCA_003314395.1_ASM331439v1,Albatrellus ellisii,MG60,PRJNA454572,80570,dikarya,Basidiomycota,,Agaricomycetes,,Russulales,Albatrellaceae,Albatrellus,Albatrellus ellisii,1,F7689288
