ASMID,ORIG SPECIES,MODIFIED SPECIES,ORIG STRAIN,MODIFIED STRAIN
GCF_010015735.1_Aaoar1,Aaosphaeria arxii,Aaosphaeria arxii,CBS 175.79,CBS 175.79
GCA_022813625.1_ASM2281362v1,Aaosphaeria pasadenensis,Aaosphaeria pasadenensis,FJI-L9-BK-P1,FJI-L9-BK-P1
GCA_022606235.1_Abobie1,Abortiporus biennis,Abortiporus biennis,CIRM-BRFM 1778,CIRM-BRFM 1778
GCA_047301825.1_ASM4730182v1,Abortiporus biennis,Abortiporus biennis,LGAM 436,LGAM 436
GCA_977092135.1_gzAbsCyli1,Absidia cylindrospora,Absidia cylindrospora,,
GCA_900079185.1_AG_v1,Absidia glauca,Absidia glauca,CBS 101.48 substr. RVII-324 met-,CBS 101.48 substr. RVII-324 met
GCA_019677225.1_ASM1967722v1,Absidia healeyae,Absidia healeyae,UoMAU1,UoMAU1
GCA_002105175.1_Absrep1,Absidia repens,Absidia repens,NRRL 1336,NRRL 1336
GCA_019677255.1_ASM1967725v1,Absidia sp. UoMAU379,Absidia sp. UoMAU379,UoMAU379,UoMAU379
GCA_050656845.1_ASM5065684v1,Absidia sp. YW-2025a,Absidia sp. YW-2025a,CGMCC 3.27810,CGMCC 3.27810
GCA_050656855.1_ASM5065685v1,Absidia sp. YW-2025b,Absidia sp. YW-2025b,CGMCC 3.27811,CGMCC 3.27811
GCA_964256675.1_public_SRR14721923_metabat2_bin.2,Acanthothecis fontana,Acanthothecis fontana,,
GCF_003144295.1_Acain1,Acaromyces ingoldii,Acaromyces ingoldii,MCA 4198,MCA 4198
GCA_964256185.1_private_T1882_concoct_bin.24,Acarospora aff. strigata,Acarospora aff. strigata,,
GCA_022814355.1_ASM2281435v1,Acarospora aff. strigata,Acarospora aff. strigata,T1882,T1882
GCA_025617375.2_glAcaSoci1.1,Acarospora socialis,Acarospora socialis,JNA_AS_CCGP158,JNA_AS_CCGP158
GCA_964255005.1_public_SRR14722090_metabat2_bin.14,Acarospora sp. Tripp_6053_NY-2858381,Acarospora sp. Tripp_6053_NY-2858381,,
GCA_004114255.1_ASM411425v1,Acaulopage tetraceros,Acaulopage tetraceros,T-All,T-All
GCA_910592055.1_Acaulospora_colombiana_CL356,Acaulospora colombiana,Acaulospora colombiana,CL356,CL356
GCA_910591835.1_Acaulospora_morrowiae_CL551,Acaulospora morrowiae,Acaulospora morrowiae,CL551,CL551
GCA_014904845.1_Acema1,Acephala macrosclerotiorum,Acephala macrosclerotiorum,EW76-UTF0540,EW76-UTF0540
GCA_031001845.1_ASM3100184v1,Achaetomiella virescens,Achaetomiella virescens,148.68,148.68
GCA_033296875.1_Achma1,Achaetomium macrosporum,Achaetomium macrosporum,CBS 532.94,CBS 532.94
GCA_030579395.1_ASM3057939v1,Aciculoconidium aculeatum,Aciculoconidium aculeatum,NRRL YB-4298,NRRL YB-4298
GCA_000222935.2_AciTa_1.0,Aciculosporium take,Aciculosporium take,MAFF-241224,MAFF-241224
GCA_019670975.1_ASM1967097v1,Acidiella bohemica,Acidiella bohemica,SYSU C17045,SYSU C17045
GCA_001592465.1_Acidomyces_richmondensis_BFW_v1.0,Acidomyces sp. 'richmondensis',Acidomyces sp. richmondensis,BFW,BFW
GCA_003545705.1_ASM354570v1,Acidomyces sp. 'richmondensis',Acidomyces sp. richmondensis,FRIK2901,FRIK2901
GCA_001572075.1_ASM157207v1,Acidomyces sp. 'richmondensis',Acidomyces sp. richmondensis,meta,meta
GCA_054490815.1_RUAS_VINSTROM,Acremonium polychromum,Acremonium polychromum,NFCCI 6138,NFCCI 6138
GCA_020087035.1_ASM2008703v1,Acremonium sp. FKII-L8-BK-P5,Acremonium sp. FKII-L8-BK-P5,FKII-L8-BK-P5,FKII-L8-BK-P5
GCA_028476805.1_ASM2847680v1,Acrocalymma vagum,Acrocalymma vagum,A21,A21
GCA_033807595.1_ASM3380759v1,Acrodontium crateriforme,Acrodontium crateriforme,169a,169a
GCA_016098155.1_UCR_MambBC1055_1.0,Actinomortierella ambigua,Actinomortierella ambigua,BC1065,BC1065
GCA_015502565.1_UCR_MambBC1291,Actinomortierella ambigua,Actinomortierella ambigua,BC1291,BC1291
GCA_015849275.1_UCR_MambNRRL28271_1.0,Actinomortierella ambigua,Actinomortierella ambigua,NRRL 28271,NRRL 28271
GCA_016098105.1_UCR_MwolfiiNRRL6351_1.0,Actinomortierella wolfii,Actinomortierella wolfii,NRRL 6351,NRRL 6351
GCA_016098135.1_UCR_MwolfiiNRRL66265_1.0,Actinomortierella wolfii,Actinomortierella wolfii,NRRL 66265,NRRL 66265
GCA_026027325.1_ASM2602732v1,Actinomucor elegans,Actinomucor elegans,CJ-6,CJ-6
GCA_001599635.1_JCM_22485_assembly_v001,Actinomucor elegans,Actinomucor elegans,JCM 22485,JCM 22485
GCA_004216415.1_S18-22,Aeminium ludgeri,Aeminium ludgeri,E14,E14
GCA_038094355.1_BD703-Stobilomyces-lepidellus,Afroboletus lepidellus,Afroboletus lepidellus,UT-M0000099,UT-M0000099
GCA_002718315.1_ASM271831v1,Agaricales sp. HM26-F1,Agaricales sp. HM26-F1,HM26-F1,HM26-F1
GCA_943193715.1_gfAgaBisp1.1,Agaricus bisporus,Agaricus bisporus,,
GCA_041430195.1_ASM4143019v1,Agaricus bisporus,Agaricus bisporus,A10_9,A10_9
GCA_043381075.1_ASM4338107v1,Agaricus bisporus,Agaricus bisporus,A13-20,A13-20
GCA_046056105.1_ASM4605610v1,Agaricus bisporus,Agaricus bisporus,A33_49,A33_49
GCA_046056185.1_ASM4605618v1,Agaricus bisporus,Agaricus bisporus,A33_62,A33_62
GCA_043380955.1_ASM4338095v1,Agaricus bisporus,Agaricus bisporus,A58_19,A58_19
GCA_037953735.1_ASM3795373v1,Agaricus bisporus,Agaricus bisporus,A7_31,A7_31
GCA_008271545.1_ASM827154v1,Agaricus bisporus,Agaricus bisporus,AB58,AB58
GCA_055470795.1_ASM5547079v1,Agaricus bisporus,Agaricus bisporus,AB7,AB7
GCA_006228365.1_ASM622836v1,Agaricus bisporus,Agaricus bisporus,KMCC00540,KMCC00540
GCA_006491665.1_MU_Agar_1,Agaricus bisporus var. bisporus,Agaricus bisporus var. bisporus,ARP23,ARP23
GCA_001682475.1_ASM168247v1,Agaricus bisporus,Agaricus bisporus,H39,H39
GCF_000300575.1_Agabi_varbisH97_2,Agaricus bisporus,Agaricus bisporus,H97,H97
GCA_014872705.1_ASM1487270v1,Agaricus bisporus,Agaricus bisporus,H119_p4,H119_p4
GCF_000300555.1_Agabi_varbur_1,Agaricus bisporus,Agaricus bisporus,JB137-s8,JB137-s8
GCA_030246685.1_ASM3024668v1,Agaricus bitorquis,Agaricus bitorquis,BH01,BH01
GCA_029719445.1_ASM2971944v1,Agaricus blazei,Agaricus blazei,JA-15036,JA-15036
GCA_022315185.1_ASM2231518v1,Agaricus sinodeliciosus,Agaricus sinodeliciosus,ZRL20160001-S65,ZRL20160001-S65
GCA_029945375.1_Asub-V01,Agaricus subrufescens,Agaricus subrufescens,ABL 49,ABL 49
GCA_029232285.1_Ca_Agmasoma_carcini_1,Agmasoma sp. JBojko-2022a,Agmasoma sp. JBojko-2022a,v1,v1
GCA_029231695.1_Cm_Agmasoma_carcini_1,Agmasoma sp. JBojko-2022a,Agmasoma sp. JBojko-2022a,v2,v2
GCA_041475395.1_ASM4147539v1,Agroathelia delphinii,Agroathelia delphinii,SD,SD
GCA_036172465.1_UNINA_Arolf_CCF1,Agroathelia rolfsii,Agroathelia rolfsii,CCF1,CCF1
GCA_018343915.1_ASM1834391v1,Agroathelia rolfsii,Agroathelia rolfsii,GP3,GP3
GCA_052928445.1_ASM5292844v1,Agroathelia rolfsii,Agroathelia rolfsii,LC-1,LC-1
GCA_000961905.2_AthRolfv2.0,Agroathelia rolfsii,Agroathelia rolfsii,MR10,MR10
GCA_002940785.1_ASM294078v1,Agroathelia rolfsii,Agroathelia rolfsii,Sr-RCBB,Sr-RCBB
GCA_018343895.1_ASM1834389v1,Agroathelia rolfsii,Agroathelia rolfsii,ZY,ZY
GCA_027627235.1_Agrocybe_chaxingu_MP-N11_reassembly,Agrocybe chaxingu,Agrocybe chaxingu,MP-N11,MP-N11
GCA_015484485.1_Agrped1,Agrocybe pediades,Agrocybe pediades,AH 40210,AH 40210
GCA_013053245.1_LU_AGP_1.0,Agrocybe pediades,Agrocybe pediades,CBS 102.39,CBS 102.39
GCA_051996695.1_ASM5199669v1,Agrocybe pediades,Agrocybe pediades,ZRL20220683_2,ZRL20220683_2
GCA_964017145.1_gfAgrPrae1.1,Agrocybe praecox,Agrocybe praecox,,
GCA_051996675.1_ASM5199667v1,Agrocybe striatipes,Agrocybe striatipes,ZRL20211296,ZRL20211296
GCA_022814335.1_ASM2281433v1,Agyrium rufum,Agyrium rufum,Spribille 39798,Spribille 39798
GCA_051529075.1_YNP63,Akanthomyces attenuatus,Akanthomyces attenuatus,MUC8126,MUC8126
GCA_030411515.1_ASM3041151v1,Akanthomyces dipterigenus,Akanthomyces dipterigenus,MBC 259,MBC 259
GCA_030779985.1_ASM3077998v1,Akanthomyces dipterigenus,Akanthomyces dipterigenus,MBC 561,MBC 561
GCA_030781665.1_ASM3078166v1,Akanthomyces dipterigenus,Akanthomyces dipterigenus,MBC 608,MBC 608
GCA_030782645.1_ASM3078264v1,Akanthomyces dipterigenus,Akanthomyces dipterigenus,MBC 628,MBC 628
GCA_030781925.1_ASM3078192v1,Akanthomyces dipterigenus,Akanthomyces dipterigenus,MBC 678,MBC 678
GCA_030783805.1_ASM3078380v1,Akanthomyces dipterigenus,Akanthomyces dipterigenus,MBC 685,MBC 685
GCA_030783725.1_ASM3078372v1,Akanthomyces dipterigenus,Akanthomyces dipterigenus,MBC 690,MBC 690
GCA_030783745.1_ASM3078374v1,Akanthomyces dipterigenus,Akanthomyces dipterigenus,MBC 691,MBC 691
GCA_030783385.1_ASM3078338v1,Akanthomyces dipterigenus,Akanthomyces dipterigenus,MBC 701,MBC 701
GCA_030783265.1_ASM3078326v1,Akanthomyces dipterigenus,Akanthomyces dipterigenus,MBC 708,MBC 708
GCA_030784025.1_ASM3078402v1,Akanthomyces dipterigenus,Akanthomyces dipterigenus,MBC 741,MBC 741
GCA_051527285.1_YNP42,Akanthomyces dipterigenus,Akanthomyces dipterigenus,MUC9702,MUC9702
GCA_016170065.1_ASM1617006v1,Akanthomyces lecanii,Akanthomyces lecanii,CJL01,CJL01
GCA_051527755.1_YNP1,Akanthomyces lecanii,Akanthomyces lecanii,DSM 111009,DSM 111009
GCA_030411575.1_ASM3041157v1,Akanthomyces lecanii,Akanthomyces lecanii,MBC 123,MBC 123
GCA_032354155.1_ASM3235415v1,Akanthomyces lecanii,Akanthomyces lecanii,MBC 153,MBC 153
GCA_030772815.1_ASM3077281v1,Akanthomyces lecanii,Akanthomyces lecanii,MBC 159,MBC 159
GCA_030780265.1_ASM3078026v1,Akanthomyces lecanii,Akanthomyces lecanii,MBC 542,MBC 542
GCA_030781825.1_ASM3078182v1,Akanthomyces lecanii,Akanthomyces lecanii,MBC 603,MBC 603
GCA_030783985.1_ASM3078398v1,Akanthomyces lecanii,Akanthomyces lecanii,MBC 729,MBC 729
GCA_030785975.1_ASM3078597v1,Akanthomyces lecanii,Akanthomyces lecanii,MBC 801,MBC 801
GCA_030789525.1_ASM3078952v1,Akanthomyces lecanii,Akanthomyces lecanii,MBC 901,MBC 901
GCA_051529055.1_YNP64,Akanthomyces lecanii,Akanthomyces lecanii,MUC8115,MUC8115
GCA_001653215.1_ASM165321v1,Akanthomyces lecanii,Akanthomyces lecanii,UM487,UM487
GCA_054134475.1_Lecanicillium_lecanii_V198499_v1,Akanthomyces lecanii,Akanthomyces lecanii,V198499,V198499
GCA_001636795.1_LEL_1.0,Akanthomyces lecanii,Akanthomyces lecanii,RCEF 1005,RCEF 1005
GCA_040955805.1_AKA_AC3,Akanthomyces muscarius,Akanthomyces muscarius,AC3,AC3
GCA_051527555.1_YNP2,Akanthomyces muscarius,Akanthomyces muscarius,DSM 3411,DSM 3411
GCA_051529015.1_YNP65,Akanthomyces muscarius,Akanthomyces muscarius,MUC9713,MUC9713
GCF_028009165.1_ASM2800916v1,Akanthomyces muscarius,Akanthomyces muscarius,Ve6,Ve6
GCA_051528755.1_YNP78,Akanthomyces sp. G78,Akanthomyces sp. G78,G78,G78
GCA_030778065.2_ASM3077806v2,Akanthomyces uredinophilus,Akanthomyces uredinophilus,MBC 350,MBC 350
GCA_030783525.2_ASM3078352v2,Akanthomyces uredinophilus,Akanthomyces uredinophilus,MBC 695,MBC 695
GCA_003314395.1_ASM331439v1,Albatrellus ellisii,Albatrellus ellisii,MG60,MG60
GCA_003314695.1_ASM331469v1,Albatrellus sp. MG142,Albatrellus sp. MG142,MG142,MG142
GCA_930272555.1_Myrothecium_verrucaria_DSM_2087_genome,Albifimbria verrucaria,Albifimbria verrucaria,DSM 2087,DSM 2087
GCA_020081605.1_ASM2008160v1,Albifimbria verrucaria,Albifimbria verrucaria,IMI 368023,IMI 368023
GCA_021442215.1_ASM2144221v1,Albifimbria verrucaria,Albifimbria verrucaria,Mv01,Mv01
GCA_051623215.1_EHU_AYaman_Ill_Nano,Albophoma yamanashiensis,Albophoma yamanashiensis,EHU_M98,EHU_M98
GCA_001600555.1_JCM_11844_assembly_v001,Albophoma yamanashiensis,Albophoma yamanashiensis,JCM 11844,JCM 11844
GCA_043388365.1_UoE_Agrylli_1,Albopleistophora grylli,Albopleistophora grylli,EB-2024a,EB-2024a
GCA_905337325.1_GTX0161_lecanoromycete,Alectoria fallacina,Alectoria fallacina,,
GCA_964257205.1_private_VT19_concoct_bin.7,Alectoria ochroleuca,Alectoria ochroleuca,,
GCA_964255965.1_private_X12_concoct_bin.4,Alectoria sarmentosa,Alectoria sarmentosa,,
GCA_009733775.1_ASM973377v1,Alectoria sarmentosa,Alectoria sarmentosa,MAF-Lich 21536,MAF-Lich 21536
GCA_024752435.1_ASM2475243v1,Allantophomopsis cytisporea,Allantophomopsis cytisporea,ATCC 66955,ATCC 66955
GCA_024752465.1_ASM2475246v1,Allantophomopsis lycopodina,Allantophomopsis lycopodina,ATCC 66958,ATCC 66958
GCA_030581615.1_ASM3058161v1,Alloascoidea africana,Alloascoidea africana,NRRL Y-6762-3,NRRL Y-6762-3
GCA_001600815.1_JCM_7604_assembly_v001,Alloascoidea hylecoeti,Alloascoidea hylecoeti,JCM 7604,JCM 7604
GCA_030555715.1_ASM3055571v1,Alloascoidea hylecoeti,Alloascoidea hylecoeti,NRRL Y-17634,NRRL Y-17634
GCA_030565225.1_ASM3056522v1,Allodekkera sacchari,Allodekkera sacchari,CBS 14167,CBS 14167
GCA_027604705.1_ASM2760470v1,Allomyces arbusculus,Allomyces arbusculus,Burma 1F,Burma 1F
GCA_027604645.1_ASM2760464v1,Allomyces javanicus,Allomyces javanicus,California 12,California 12
GCA_000151295.1_A_macrogynus_V3,Allomyces macrogynus,Allomyces macrogynus,ATCC 38327,ATCC 38327
GCA_053542345.1_ASM5354234v1,Alternaria alstroemeriae,Alternaria alstroemeriae,L6,L6
GCA_037044435.1_ASM3704443v1,Alternaria alstroemeriae,Alternaria alstroemeriae,LH_A124,LH_A124
GCA_036971565.1_ALTB1129b1.0,Alternaria alternarina,Alternaria alternarina,TB-1129,TB-1129
GCA_050711485.1_ASM5071148v1,Alternaria alternata,Alternaria alternata,AEH-2221,AEH-2221
GCA_050710795.1_ASM5071079v1,Alternaria alternata,Alternaria alternata,AEH-2368,AEH-2368
GCA_050710675.1_ASM5071067v1,Alternaria alternata,Alternaria alternata,AEH-2430,AEH-2430
GCA_050710565.1_ASM5071056v1,Alternaria alternata,Alternaria alternata,AEH-2437,AEH-2437
GCA_049724695.1_ASM4972469v1,Alternaria alternata,Alternaria alternata,AEH-3014,AEH-3014
GCA_049724635.1_ASM4972463v1,Alternaria alternata,Alternaria alternata,AEH-3049,AEH-3049
GCA_001443195.1_ASM144319v1,Alternaria alternata,Alternaria alternata,ATCC 34957,ATCC 34957
GCA_047716545.1_ASM4771654v1,Alternaria alternata,Alternaria alternata,ATCC 66981,ATCC 66981
GCA_023079285.1_ASM2307928v1,Alternaria alternata,Alternaria alternata,Altal1,Altal1
GCA_001696825.1_ASM169682v1,Alternaria alternata,Alternaria alternata,B2a,B2a
GCA_014154925.1_ASM1415492v1,Alternaria alternata,Alternaria alternata,B3,B3
GCA_022344995.1_ASM2234499v1,Alternaria alternata,Alternaria alternata,BC2-RLR-17S,BC2-RLR-17S
GCA_022344985.1_ASM2234498v1,Alternaria alternata,Alternaria alternata,C11,C11
GCA_022344955.1_ASM2234495v1,Alternaria alternata,Alternaria alternata,C14,C14
GCA_022344925.1_ASM2234492v1,Alternaria alternata,Alternaria alternata,C19,C19
GCA_022344905.1_ASM2234490v1,Alternaria alternata,Alternaria alternata,C20,C20
GCA_022344885.1_ASM2234488v1,Alternaria alternata,Alternaria alternata,C21,C21
GCA_022344895.1_ASM2234489v1,Alternaria alternata,Alternaria alternata,C22,C22
GCA_022344875.1_ASM2234487v1,Alternaria alternata,Alternaria alternata,C24,C24
GCA_022344855.1_ASM2234485v1,Alternaria alternata,Alternaria alternata,C25,C25
GCA_022344825.1_ASM2234482v1,Alternaria alternata,Alternaria alternata,C4,C4
GCA_022344835.1_ASM2234483v1,Alternaria alternata,Alternaria alternata,C5,C5
GCA_022344775.1_ASM2234477v1,Alternaria alternata,Alternaria alternata,C6,C6
GCA_966194745.1_CS013_annot_assembly,Alternaria alternata,Alternaria alternata,CS013,CS013
GCA_966194815.1_CS017_annot_assembly,Alternaria alternata,Alternaria alternata,CS017,CS017
GCA_966193915.1_CS026_annot_assembly,Alternaria alternata,Alternaria alternata,CS026,CS026
GCA_966194805.1_CS038_annot_assembly,Alternaria alternata,Alternaria alternata,CS038,CS038
GCA_966194885.1_CS057_annot_assembly,Alternaria alternata,Alternaria alternata,CS057,CS057
GCA_966194895.1_CS085_annot_assembly,Alternaria alternata,Alternaria alternata,CS085,CS085
GCA_966194365.1_CS091_annot_assembly,Alternaria alternata,Alternaria alternata,CS091,CS091
GCA_966194965.1_CS092_annot_assembly,Alternaria alternata,Alternaria alternata,CS092,CS092
GCA_966194395.1_CS106_annot_assembly,Alternaria alternata,Alternaria alternata,CS106,CS106
