ASMID,ORIG SPECIES,MODIFIED SPECIES,ORIG STRAIN,MODIFIED STRAIN
GCA_966194915.1_CS126_annot_assembly,Alternaria alternata,Alternaria alternata,CS126,CS126
GCA_966194375.1_CS133_annot_assembly,Alternaria alternata,Alternaria alternata,CS133,CS133
GCA_966193295.1_CS134_annot_assembly,Alternaria alternata,Alternaria alternata,CS134,CS134
GCA_966194415.1_CS139_annot_assembly,Alternaria alternata,Alternaria alternata,CS139,CS139
GCA_966192815.1_CS152_annot_assembly,Alternaria alternata,Alternaria alternata,CS152,CS152
GCA_966193275.1_CS185_annot_assembly,Alternaria alternata,Alternaria alternata,CS185,CS185
GCA_966192775.1_CS311_annot_assembly,Alternaria alternata,Alternaria alternata,CS311,CS311
GCA_966192785.1_CS313_annot_assembly,Alternaria alternata,Alternaria alternata,CS313,CS313
GCA_966192515.1_CS314_annot_assembly,Alternaria alternata,Alternaria alternata,CS314,CS314
GCA_966192955.1_CS330_annot_assembly,Alternaria alternata,Alternaria alternata,CS330,CS330
GCA_966192795.1_CS339_annot_assembly,Alternaria alternata,Alternaria alternata,CS339,CS339
GCA_966193015.1_CS371_annot_assembly,Alternaria alternata,Alternaria alternata,CS371,CS371
GCA_966192595.1_CS403_annot_assembly,Alternaria alternata,Alternaria alternata,CS403,CS403
GCA_022344765.1_ASM2234476v1,Alternaria alternata,Alternaria alternata,D3,D3
GCA_022344745.1_ASM2234474v1,Alternaria alternata,Alternaria alternata,D4,D4
GCA_020736775.1_ASM2073677v1,Alternaria alternata,Alternaria alternata,DET2001,DET2001
GCA_020736745.1_ASM2073674v1,Alternaria alternata,Alternaria alternata,DET2010,DET2010
GCA_020736755.1_ASM2073675v1,Alternaria alternata,Alternaria alternata,DET2019,DET2019
GCA_029891365.1_ASM2989136v1,Alternaria alternata,Alternaria alternata,DZ,DZ
GCA_055769715.1_ASM5576971v1,Alternaria alternata,Alternaria alternata,EC252,EC252
GCA_055769695.1_ASM5576969v1,Alternaria alternata,Alternaria alternata,EC300,EC300
GCA_055769815.1_ASM5576981v1,Alternaria alternata,Alternaria alternata,EC344,EC344
GCA_051107915.1_ASM5110791v1,Alternaria alternata,Alternaria alternata,EC5,EC5
GCA_051107895.1_ASM5110789v1,Alternaria alternata,Alternaria alternata,EC7,EC7
GCA_051107855.1_ASM5110785v1,Alternaria alternata,Alternaria alternata,EC724,EC724
GCA_051107955.1_ASM5110795v1,Alternaria alternata,Alternaria alternata,EC730,EC730
GCA_051107835.1_ASM5110783v1,Alternaria alternata,Alternaria alternata,EC783,EC783
GCA_051107875.1_ASM5110787v1,Alternaria alternata,Alternaria alternata,EC86,EC86
GCA_022344705.1_ASM2234470v1,Alternaria alternata,Alternaria alternata,EGS_44-110,EGS_44-110
GCA_022344695.1_ASM2234469v1,Alternaria alternata,Alternaria alternata,EGS_44-159,EGS_44-159
GCA_016097525.1_ASM1609752v1,Alternaria alternata,Alternaria alternata,EV-MIL-31,EV-MIL-31
GCA_004154755.1_ASM415475v1,Alternaria alternata,Alternaria alternata,FERA 1177,FERA 1177
GCA_022344665.1_ASM2234466v1,Alternaria alternata,Alternaria alternata,H1,H1
GCA_022344655.1_ASM2234465v1,Alternaria alternata,Alternaria alternata,H10,H10
GCA_022344635.1_ASM2234463v1,Alternaria alternata,Alternaria alternata,H11,H11
GCA_022344625.1_ASM2234462v1,Alternaria alternata,Alternaria alternata,H13,H13
GCA_022344615.1_ASM2234461v1,Alternaria alternata,Alternaria alternata,H15,H15
GCA_022344575.1_ASM2234457v1,Alternaria alternata,Alternaria alternata,H18,H18
GCA_022344545.1_ASM2234454v1,Alternaria alternata,Alternaria alternata,H19,H19
GCA_022344555.1_ASM2234455v1,Alternaria alternata,Alternaria alternata,H20,H20
GCA_022344495.1_ASM2234449v1,Alternaria alternata,Alternaria alternata,H23,H23
GCA_022344505.1_ASM2234450v1,Alternaria alternata,Alternaria alternata,H3,H3
GCA_011420255.1_NIBR_JS-0527_1.0,Alternaria alternata,Alternaria alternata,JS-0527,JS-0527
GCA_009650635.1_ASM965063v1,Alternaria alternata,Alternaria alternata,JS-1623,JS-1623
GCA_020736765.1_ASM2073676v1,Alternaria alternata,Alternaria alternata,KAS5516,KAS5516
GCA_040783835.1_ASM4078383v1,Alternaria alternata,Alternaria alternata,KAS5743,KAS5743
GCA_046563045.1_ASM4656304v1,Alternaria alternata,Alternaria alternata,Karbala-1,Karbala-1
GCA_054051525.1_ASM5405152v1,Alternaria alternata,Alternaria alternata,LG038,LG038
GCA_004634295.1_ASM463429v1,Alternaria alternata,Alternaria alternata,MOD1-FUNGI5,MOD1-FUNGI5
GCA_020736535.1_Altalt1,Alternaria alternata,Alternaria alternata,MPI-PUGE-AT-0064,MPI-PUGE-AT-0064
GCA_009932595.1_AaP1.0,Alternaria alternata,Alternaria alternata,NAP07,NAP07
GCA_039700845.1_ASM3970084v1,Alternaria alternata,Alternaria alternata,P02PL2,P02PL2
GCA_039700775.1_ASM3970077v1,Alternaria alternata,Alternaria alternata,P04PR2,P04PR2
GCA_018104255.1_ASM1810425v1,Alternaria alternata,Alternaria alternata,PF1,PF1
GCA_011420445.1_ASM1142044v1,Alternaria alternata,Alternaria alternata,PN1,PN1
GCA_011420565.1_ASM1142056v1,Alternaria alternata,Alternaria alternata,PN2,PN2
GCA_966193245.1_RS002_annot_assembly,Alternaria alternata,Alternaria alternata,RS002,RS002
GCA_966192895.1_RS007_annot_assembly,Alternaria alternata,Alternaria alternata,RS007,RS007
GCA_966193055.1_RS026_annot_assembly,Alternaria alternata,Alternaria alternata,RS026,RS026
GCA_966194425.1_RS048_annot_assembly,Alternaria alternata,Alternaria alternata,RS048,RS048
GCA_966195285.1_RS052_annot_assembly,Alternaria alternata,Alternaria alternata,RS052,RS052
GCA_966194405.1_RS071_annot_assembly,Alternaria alternata,Alternaria alternata,RS071,RS071
GCA_966195275.1_RS102_annot_assembly,Alternaria alternata,Alternaria alternata,RS102,RS102
GCF_001642055.1_Altal1,Alternaria alternata,Alternaria alternata,SRC1lrK2f,SRC1lrK2f
GCA_022344485.1_ASM2234448v1,Alternaria alternata,Alternaria alternata,X1,X1
GCA_022344465.1_ASM2234446v1,Alternaria alternata,Alternaria alternata,X11,X11
GCA_022344435.1_ASM2234443v1,Alternaria alternata,Alternaria alternata,X12,X12
GCA_022344415.1_ASM2234441v1,Alternaria alternata,Alternaria alternata,X15,X15
GCA_022344405.1_ASM2234440v1,Alternaria alternata,Alternaria alternata,X16,X16
GCA_022344365.1_ASM2234436v1,Alternaria alternata,Alternaria alternata,X6,X6
GCA_022344355.1_ASM2234435v1,Alternaria alternata,Alternaria alternata,X7,X7
GCA_022344335.1_ASM2234433v1,Alternaria alternata,Alternaria alternata,X8,X8
GCA_022344295.1_ASM2234429v1,Alternaria alternata,Alternaria alternata,X9,X9
GCA_049859505.1_XJAU_Aal2021_1.1,Alternaria alternata,Alternaria alternata,XJAU_2021,XJAU_2021
GCA_054126945.1_ASM5412694v1,Alternaria alternata,Alternaria alternata,XJaa,XJaa
GCA_055084135.1_ASM5508413v1,Alternaria alternata,Alternaria alternata,Y-2,Y-2
GCA_022344325.1_ASM2234432v1,Alternaria alternata,Alternaria alternata,Y1,Y1
GCA_022344265.1_ASM2234426v1,Alternaria alternata,Alternaria alternata,Y10,Y10
GCA_022344255.1_ASM2234425v1,Alternaria alternata,Alternaria alternata,Y12,Y12
GCA_022344225.1_ASM2234422v1,Alternaria alternata,Alternaria alternata,Y13,Y13
GCA_022344235.1_ASM2234423v1,Alternaria alternata,Alternaria alternata,Y14,Y14
GCA_022344205.1_ASM2234420v1,Alternaria alternata,Alternaria alternata,Y15,Y15
GCA_022344135.1_ASM2234413v1,Alternaria alternata,Alternaria alternata,Y16,Y16
GCA_022344125.1_ASM2234412v1,Alternaria alternata,Alternaria alternata,Y17,Y17
GCA_022344165.1_ASM2234416v1,Alternaria alternata,Alternaria alternata,Y2,Y2
GCA_022344145.1_ASM2234414v1,Alternaria alternata,Alternaria alternata,Y3,Y3
GCA_022344155.1_ASM2234415v1,Alternaria alternata,Alternaria alternata,Y4,Y4
GCA_022345335.1_ASM2234533v1,Alternaria alternata,Alternaria alternata,Y7,Y7
GCA_020085065.1_ASM2008506v1,Alternaria alternata,Alternaria alternata,Y784-BC03,Y784-BC03
GCA_022345305.1_ASM2234530v1,Alternaria alternata,Alternaria alternata,Y8,Y8
GCA_022345275.1_ASM2234527v1,Alternaria alternata,Alternaria alternata,Y9,Y9
GCA_022345265.1_ASM2234526v1,Alternaria alternata,Alternaria alternata,Z1,Z1
GCA_022345285.1_ASM2234528v1,Alternaria alternata,Alternaria alternata,Z10,Z10
GCA_022345245.1_ASM2234524v1,Alternaria alternata,Alternaria alternata,Z11,Z11
GCA_022345235.1_ASM2234523v1,Alternaria alternata,Alternaria alternata,Z12,Z12
GCA_022345165.1_ASM2234516v1,Alternaria alternata,Alternaria alternata,Z13,Z13
GCA_022345175.1_ASM2234517v1,Alternaria alternata,Alternaria alternata,Z14,Z14
GCA_022345185.1_ASM2234518v1,Alternaria alternata,Alternaria alternata,Z15,Z15
GCA_022355435.1_ASM2235543v1,Alternaria alternata,Alternaria alternata,Z2,Z2
GCA_022345155.1_ASM2234515v1,Alternaria alternata,Alternaria alternata,Z3,Z3
GCA_022345105.1_ASM2234510v1,Alternaria alternata,Alternaria alternata,Z4,Z4
