SPECIES,STRAIN,N_KEPT,ASMIDS
Fusarium graminearum,PH-1,2,GCA_020991245.1_ASM2099124v1 GCF_000240135.3_ASM24013v3
Hanseniaspora sp. CRUB 1602,CRUB 1602,2,GCA_004919795.1_ASM491979v1 GCA_030573575.1_ASM3057357v1
Hanseniaspora thailandica,ZIM 2325,2,GCA_004919915.1_ASM491991v1 GCA_030573475.1_ASM3057347v1
Saccharomyces cerevisiae,CEN.PK113-7D,2,GCA_002571405.2_ASM257140v2 GCA_000269885.1_ASM26988v1
Schizothecium sp. GE-2024i,PSN831_mat,2,GCA_050707155.1_ASM5070715v1 GCA_050707135.1_ASM5070713v1
Talaromyces proteolyticus,NRRL 3378,2,GCA_055862385.1_ASM5586238v1 GCA_982258805.1_Tp_3378_genome
