ASMID,REASON
GCA_029267275.1_ASM2926727v1,All contigs too small
GCA_982397245.1_T46-F,Entirely Bacteria
GCA_000091065.2_ASM9106v2,Too Small for Yeast genome
GCA_975850065.1_BH_BASALT_bin502_ASM_v1,Too Small MAG
GCA_900018355.1_Em_KVL-14-118,Too small
GCA_000166915.1_ASM16691v1,Too small A.terreus
GCA_030573675.1_ASM3057367v1,duplicated - this is Y1000 one replaced by a better JGI one
GCA_943181505.1_UFV02.1,Too small (800kb)
GCA_041722395.1_DLT08-094,Too small (114kb)
GCA_038089135.1_TH11141-Guyana-eduloid,Too small (500kb)
GCA_001013415.1_ASM101341v1,Too small (5Mb)
GCA_029232285.1_Ca_Agmasoma_carcini_1,Microsporidia
GCA_029231695.1_Cm_Agmasoma_carcini_1,Microsporidia
GCA_043388365.1_UoE_Agrylli_1,Microsporidia
GCA_030386735.1_Fv_Alternosema1,Microsporidia
GCA_001875675.1_ASM187567v1,Microsporidia
GCA_000313815.1_ASM31381v1,Microsporidia
GCA_000385855.2_Annc_alge_PRA109_V4,Microsporidia
GCA_000385875.2_Annc_alge_insect_USDA_JJB_V2,Microsporidia
GCA_007674295.1_ASM767429v1,Microsporidia
GCA_014805555.1_ASM1480555v1,Microsporidia
GCA_052576015.1_ASM5257601v1,Microsporidia
GCA_052575995.1_ASM5257599v1,Microsporidia
GCA_014805705.1_ASM1480570v1,Microsporidia
GCA_016256075.1_ASM1625607v1,Microsporidia
GCA_016255985.1_ASM1625598v1,Microsporidia
GCA_038502045.1_ASM3850204v1,Microsporidia
GCA_026692725.1_CIBA_Ehp_1.1,Microsporidia
GCA_003709115.1_ASM370911v1,Microsporidia
GCA_023079535.1_ASM2307953v1,Microsporidia
GCA_002081675.1_ASM208167v1,Microsporidia
GCA_000230595.3_Edha_aedis_V4b,Microsporidia
GCA_027571585.1_ASM2757158v1,Microsporidia
GCA_000221285.2_Ence_cuni_EC1_V1,Microsporidia
GCA_000221265.2_Ence_cuni_EC2_V1,Microsporidia
GCA_000221245.2_Ence_cuni_EC3_V1,Microsporidia
GCA_001078035.1_ECIIIL,Microsporidia
GCF_000091225.2_ASM9122v2,Microsporidia
GCA_029215505.1_ASM2921550v1,Microsporidia
GCA_024399255.1_ASM2439925v1,Microsporidia
GCA_018342045.1_Swiss_hellem_version_1,Microsporidia
GCF_000277815.2_ASM27781v3,Microsporidia
GCA_024399295.1_ASM2439929v1,Microsporidia
GCA_051312775.1_ASM5131277v1,Microsporidia
GCA_051312795.1_ASM5131279v1,Microsporidia
GCA_051312815.1_ASM5131281v1,Microsporidia
GCF_000146465.1_ASM14646v1,Microsporidia
GCF_000280035.1_ASM28003v2,Microsporidia
GCA_038659295.1_ASM3865929v1,Microsporidia
GCF_000209485.1_ASM20948v1,Microsporidia
GCA_024243835.1_ebre_JUm2551,Microsporidia
GCA_002087915.1_ASM208791v1,Microsporidia
GCA_052576065.1_ASM5257606v1,Microsporidia
GCA_052575965.1_ASM5257596v1,Microsporidia
GCA_004325065.1_BEOM2_v1,Microsporidia
GCA_004325035.1_ASM432503v1,Microsporidia
GCA_022605425.2_FIOER33_v3,Microsporidia
GCA_004325075.1_ILG3_v1,Microsporidia
GCA_000180835.1_ASM18083v1,Microsporidia
GCA_002087885.1_ASM208788v1,Microsporidia
GCA_002087875.1_ASM208787v1,Microsporidia
GCA_003600395.1_ASM360039v1,Microsporidia
