ASMID,REASON
GCA_032191455.1_ICIPE_MspMB_1.0,Microsporidia
GCA_049634765.1_KEMRI_ICIPE_Tes0708gam,Microsporidia
GCA_049634785.1_KEMRI_ICIPE_Tes094gam,Microsporidia
GCA_050230985.1_KEMRI_ICIPE_ABN394,Microsporidia
GCA_056153265.1_UG_MB_1.1,Microsporidia
GCA_052576055.1_ASM5257605v1,Microsporidia
GCF_000760515.2_UGP1.1,Microsporidia
GCA_000250695.1_Nema_parisii_ERTm2_V1,Microsporidia
GCF_000738915.1_Nema_sp_1_ERTm6_V2,Microsporidia
GCA_024243925.1_naus_JUm2520,Microsporidia
GCA_024243895.1_naus_JUm2796,Microsporidia
GCA_024243705.1_naus_LUAm26,Microsporidia
GCA_024243685.1_naus_LUAm27,Microsporidia
GCA_024243815.1_naus_LUAm28,Microsporidia
GCF_001642395.1_ASM164239v1,Microsporidia
GCF_024244095.1_nhom_JUm1504,Microsporidia
GCF_021653875.1_ASM2165387v1,Microsporidia
GCF_024244105.1_nmin_JUm1510,Microsporidia
GCA_024243795.1_npar_JUm1248,Microsporidia
GCA_024243715.1_npar_JUm1762,Microsporidia
GCA_024243675.1_npar_JUm2106,Microsporidia
GCA_024243695.1_npar_JUm2132,Microsporidia
GCA_024243875.1_npar_LUAm12,Microsporidia
GCA_024243855.1_npar_LUAm13,Microsporidia
GCF_000250985.1_Nema_parisii_ERTm1_V3,Microsporidia
GCA_000190615.1_Nema_parisii_ERTm3_V1,Microsporidia
GCA_024244115.1_ncid_AWRm77,Microsporidia
GCA_024244055.1_niro_AWRm78,Microsporidia
GCA_024243935.1_niro_AWRm79,Microsporidia
GCA_024244045.1_nokw_AWRm80,Microsporidia
GCA_001642415.1_ASM164241v1,Microsporidia
GCA_024244035.1_nfer_LUAm1,Microsporidia
GCA_024244025.1_nfer_LUAm2,Microsporidia
GCA_024243985.1_nfer_LUAm3,Microsporidia
GCA_046563025.1_PP3_Na_1,Microsporidia
GCA_046563065.1_PS1_Na_1,Microsporidia
GCA_000383075.1_NosBomCQ1_v1.0,Microsporidia
GCA_015832245.1_ASM1583224v1,Microsporidia
GCA_028335825.1_nosMus_AU001_v1,Microsporidia
GCA_046563365.1_FR26_Nr_1,Microsporidia
GCA_046562965.1_FP01_Nw_1,Microsporidia
GCA_046562995.1_FV49_Nw_1,Microsporidia
GCA_049996435.1_ASM4999643v1,Microsporidia
GCA_004325055.1_Ordospora_FISK_v1,Microsporidia
GCA_004324935.1_Ordospora_GBEP_v1,Microsporidia
GCA_052575955.1_ASM5257595v1,Microsporidia
GCA_004324945.1_Ordospora_NOV7_v1,Microsporidia
GCF_000803265.1_ASM80326v1,Microsporidia
GCF_021821965.1_FI-F-10_v._1,Microsporidia
GCA_024243955.1_peph_JUm1396,Microsporidia
GCA_023647555.1_nphi_JUm1505,Microsporidia
GCA_001432165.1_ASM143216v1,Microsporidia
GCA_001887945.1_ASM188794v1,Microsporidia
GCA_011076955.1_ASM1107695v1,Microsporidia
GCA_011076965.1_ASM1107696v1,Microsporidia
GCA_011076975.1_ASM1107697v1,Microsporidia
GCA_011074935.1_ASM1107493v1,Microsporidia
GCA_011074965.1_ASM1107496v1,Microsporidia
GCA_011074945.1_ASM1107494v1,Microsporidia
GCA_011074975.1_ASM1107497v1,Microsporidia
GCA_001888035.1_ASM188803v1,Microsporidia
GCA_001887975.1_ASM188797v1,Microsporidia
GCA_000430065.1_Sprlop1.0,Microsporidia
GCA_000316135.1_ASM31613v1,Microsporidia
GCA_004000155.1_ASM400015v1,Microsporidia
GCA_000447185.1_NapisBRLv01,Microsporidia
GCA_036780745.1_ASM3678074v1,Microsporidia
GCA_004919615.1_Ncer_3.0,Microsporidia
GCF_000988165.1_ASM98816v1,Microsporidia
GCF_000182985.1_ASM18298v1,Microsporidia
GCF_036630325.1_ASM3663032v1,Microsporidia
GCF_000192795.1_Vavr_culi_floridensis_V1,Microsporidia
GCF_000231115.1_Vitt_corn_V1,Microsporidia
GCA_000174375.1_ASM17437v1,Duplicate for strain and worse N50
GCA_001691765.1_ASM169176v1,Duplicate for strain and worse N50
GCA_024678945.1_ASM2467894v1,Duplicate for strain and worse N50
GCA_000952835.1_ASM95283v1,Duplicate for strain and worse N50
GCA_000230395.2_ASPNI_v3.0,Duplicate for strain and worse N50
GCA_000269785.2_AspOry3042,Duplicate for strain and worse N50
GCA_000166915.1_ASM16691v1,Duplicate for strain and worse N50
GCA_018344385.1_ASM1834438v1,Duplicate for strain and worse N50
GCA_000149865.1_BD_JEL423,Duplicate for strain and worse N50
GCA_000338975.1_CocheC5_3,Duplicate for strain and worse N50
GCA_000259595.1_AWRI1499_v1.0,Duplicate for strain and worse N50
GCA_000775455.1_Cand_albi_L26_V2,Duplicate for strain and worse N50
GCA_000775525.1_Cand_albi_P75063_V1,Duplicate for strain and worse N50
GCF_000182965.3_ASM18296v3,Duplicate for strain and worse N50
GCF_000006335.3_ASM633v3,Duplicate for strain and worse N50
GCA_003675505.1_ATCC42720_1,Duplicate for strain and worse N50
GCA_902085965.1_CLO192961,Duplicate for strain and worse N50
GCF_000149035.1_C_graminicola_M1_001_V1,Duplicate for strain and worse N50
GCA_000313795.2_ASM31379v2,Duplicate for strain and worse N50
GCA_035927225.1_ASM3592722v1,Duplicate for strain and worse N50
GCA_000786445.1_R265.1,Duplicate for strain and worse N50
GCA_000835765.1_Cryp_gatt_CBS10090_V1,Duplicate for strain and worse N50
GCF_000185945.1_ASM18594v1,Duplicate for strain and worse N50
GCA_003011985.1_ASM301198v1,Duplicate for strain and worse N50
GCA_002215885.1_Cryp_neof_125_91_V1,Duplicate for strain and worse N50
GCA_002222215.1_Cryp_neof_grubii_A5-35-17_V1,Duplicate for strain and worse N50
GCA_002222225.1_Cryp_neof_Serotype_A_V1,Duplicate for strain and worse N50
GCA_000149365.1_ASM14936v1,Duplicate for strain and worse N50
GCA_000800865.1_Dbark_strain23_V1,Duplicate for strain and worse N50
GCA_001453885.1_ASM145388v1,Duplicate for strain and worse N50
GCA_000149865.1_BD_JEL423,Duplicate for strain and worse N50
GCA_000149885.1_BD_JEL423,Duplicate for strain and worse N50
GCA_000274205.1_ASM27420v1,Duplicate for strain and worse N50
GCA_000313795.2_ASM31379v2,Duplicate for strain and worse N50
GCA_000448605.1_Gfisch_v1.0,Duplicate for strain and worse N50
GCA_000500515.1_ASM50051v1,Duplicate for strain and worse N50
GCA_000587865.1_ASM58786v1,Duplicate for strain and worse N50
GCA_000592845.1_Chaebol_26,Duplicate for strain and worse N50
GCA_000767305.1_Coabse_1,Duplicate for strain and worse N50
GCA_001276585.1_ASM127658v1,Duplicate for strain and worse N50
GCA_001456365.1_ASM145636v1,Duplicate for strain and worse N50
GCA_001696165.1_ASM169616v1,Duplicate for strain and worse N50
GCA_002818885.1_ASM281888v1,Duplicate for strain and worse N50
GCA_002911485.1_ASM291148v1,Duplicate for strain and worse N50
GCA_007375425.1_ASM737542v1,Duplicate for strain and worse N50
GCA_007375435.1_ASM737543v1,Duplicate for strain and worse N50
GCA_008830235.1_Trire2_S1,Duplicate for strain and worse N50
GCA_008830245.1_Trire2_S2,Duplicate for strain and worse N50
GCA_008830255.1_Trire2_S3,Duplicate for strain and worse N50
GCA_008830265.1_Trire2_S4,Duplicate for strain and worse N50
GCA_011006735.1_ASM1100673v1,Duplicate for strain and worse N50
GCA_011006805.1_ASM1100680v1,Duplicate for strain and worse N50
GCA_011006815.1_ASM1100681v1,Duplicate for strain and worse N50
GCA_011006825.1_ASM1100682v1,Duplicate for strain and worse N50
GCA_011006835.1_ASM1100683v1,Duplicate for strain and worse N50
GCA_011006845.1_ASM1100684v1,Duplicate for strain and worse N50
GCA_016881235.1_ASM1688123v1,Duplicate for strain and worse N50
GCA_020081445.1_ASM2008144v1,Duplicate for strain and worse N50
GCA_020089775.1_ASM2008977v1,Duplicate for strain and worse N50
GCA_020089805.1_ASM2008980v1,Duplicate for strain and worse N50
GCA_020089815.1_ASM2008981v1,Duplicate for strain and worse N50
GCA_020089825.1_ASM2008982v1,Duplicate for strain and worse N50
GCA_000091065.2_ASM9106v2,Duplicate for strain and worse N50
GCA_000149305.1_RO3,Duplicate for strain and worse N50
GCA_000149365.1_ASM14936v1,Duplicate for strain and worse N50
GCA_000166915.1_ASM16691v1,Duplicate for strain and worse N50
GCA_000240685.2_ASM24068v2,Duplicate for strain and worse N50
GCA_000259595.1_AWRI1499_v1.0,Duplicate for strain and worse N50
GCA_000313795.2_ASM31379v2,Duplicate for strain and worse N50
GCA_000767305.1_Coabse_1,Duplicate for strain and worse N50
GCA_000775455.1_Cand_albi_L26_V2,Duplicate for strain and worse N50
GCA_000775525.1_Cand_albi_P75063_V1,Duplicate for strain and worse N50
GCA_001276585.1_ASM127658v1,Duplicate for strain and worse N50
GCA_001456365.1_ASM145636v1,Duplicate for strain and worse N50
GCA_001689345.1_ASM168934v1,Duplicate for strain and worse N50
GCA_001696165.1_ASM169616v1,Duplicate for strain and worse N50
GCA_002911485.1_ASM291148v1,Duplicate for strain and worse N50
GCA_003011985.1_ASM301198v1,Duplicate for strain and worse N50
GCA_007375425.1_ASM737542v1,Duplicate for strain and worse N50
GCA_007375435.1_ASM737543v1,Duplicate for strain and worse N50
GCA_008830235.1_Trire2_S1,Duplicate for strain and worse N50
GCA_008830245.1_Trire2_S2,Duplicate for strain and worse N50
GCA_008830255.1_Trire2_S3,Duplicate for strain and worse N50
GCA_008830265.1_Trire2_S4,Duplicate for strain and worse N50
GCA_009805665.1_ASM980566v1,Duplicate for strain and worse N50
GCA_011006735.1_ASM1100673v1,Duplicate for strain and worse N50
GCA_011006805.1_ASM1100680v1,Duplicate for strain and worse N50
GCA_011006815.1_ASM1100681v1,Duplicate for strain and worse N50
GCA_011006825.1_ASM1100682v1,Duplicate for strain and worse N50
GCA_011006835.1_ASM1100683v1,Duplicate for strain and worse N50
GCA_011006845.1_ASM1100684v1,Duplicate for strain and worse N50
GCA_011074935.1_ASM1107493v1,Duplicate for strain and worse N50
GCA_011074945.1_ASM1107494v1,Duplicate for strain and worse N50
GCA_011074965.1_ASM1107496v1,Duplicate for strain and worse N50
GCA_011074975.1_ASM1107497v1,Duplicate for strain and worse N50
GCA_011076955.1_ASM1107695v1,Duplicate for strain and worse N50
GCA_011076965.1_ASM1107696v1,Duplicate for strain and worse N50
GCA_011076975.1_ASM1107697v1,Duplicate for strain and worse N50
GCA_016881235.1_ASM1688123v1,Duplicate for strain and worse N50
GCA_020081445.1_ASM2008144v1,Duplicate for strain and worse N50
GCA_020089775.1_ASM2008977v1,Duplicate for strain and worse N50
GCA_020089805.1_ASM2008980v1,Duplicate for strain and worse N50
GCA_020089815.1_ASM2008981v1,Duplicate for strain and worse N50
GCA_020089825.1_ASM2008982v1,Duplicate for strain and worse N50
GCA_022229305.1_ASM2222930v1,Duplicate for strain and worse N50
GCA_003547305.1_ASM354730v1,Duplicate for strain and worse N50
GCA_000087365.2_ASM8736v2,Duplicate for strain and worse N50
GCA_000091065.2_ASM9106v2,Duplicate for strain and worse N50
GCA_000091085.2_ASM9108v2,Duplicate for strain and worse N50
GCA_000149305.1_RO3,Duplicate for strain and worse N50
GCA_000149365.1_ASM14936v1,Duplicate for strain and worse N50
GCA_000182075.2_ASM18207v2,Duplicate for strain and worse N50
GCA_000192375.1_Saccharomyces_cerevisiae_Y10-2.0,Duplicate for strain and worse N50
GCA_000192455.1_Saccharomyces_cerevisiae_CBS7960-2.0,Duplicate for strain and worse N50
GCA_000192495.1_Saccharomyces_cerevisiae_CLIB324-2.0,Duplicate for strain and worse N50
GCA_000192515.1_Saccharomyces_cerevisiae_YJM269-2.0,Duplicate for strain and worse N50
GCA_000192535.1_Saccharomyces_cerevisiae_FL100-1.0,Duplicate for strain and worse N50
GCA_000192555.1_Saccharomyces_cerevisiae_CLIB215-2.0,Duplicate for strain and worse N50
GCA_000209345.1_Saccharomyces_cerevisiae_CLIB382-1.0,Duplicate for strain and worse N50
GCA_001069125.1_ASM106912v1,preflight_small_fragmented
GCA_027595885.1_ASM2759588v1,funannotate_too_few_models:19
GCA_023347045.1_ASM2334704v1,preflight_small_fragmented
GCA_027596065.1_ASM2759606v1,preflight_small_fragmented
GCA_054125455.1_ASM5412545v1,preflight_small_fragmented
