ASMID,ORIG SPECIES,MODIFIED SPECIES,ORIG STRAIN,MODIFIED STRAIN
GCA_024761885.1_ASM2476188v1,Hortaea werneckii,Hortaea werneckii,EXF-153=EXF-2781,EXF-153
GCA_024761845.1_ASM2476184v1,Hortaea werneckii,Hortaea werneckii,EXF-161=EXF-2689,EXF-161
GCA_024761565.1_ASM2476156v1,Hortaea werneckii,Hortaea werneckii,EXF-269=EXF-108,EXF-269
GCF_000348985.1_ASM34898v1,Huiozyma naganishii,Huiozyma naganishii,type strain:CBS 8797,type strain CBS 8797
GCA_976943325.1_jamAngA5,Jaminaea angkorensis,Jaminaea angkorensis,CBS 10918;C5b,CBS 10918
GCF_000304475.1_Ka_CBS2517,Kazachstania africana,Kazachstania africana,type strain:CBS 2517,type strain CBS 2517
GCA_900074715.1_LAME0,Lachancea meyersii,Lachancea meyersii,,CBS 8951
GCA_900074755.1_LANO0,Lachancea nothofagi,Lachancea nothofagi,,CBS 11611
GCA_900074735.1_LAFA0,Lachancea sp. 'fantastica',Lachancea sp. fantastica,,
GCA_046255075.1_ASM4625507v1,Leptodophora sp. 'Broadleaf-Isolate-01',Leptodophora sp. Broadleaf-Isolate-01,Broadleaf-Isolate-01,Broadleaf-Isolate-01
GCA_000945115.1_Lramosa_hybrid_454_Illumina,Lichtheimia ramosa,Lichtheimia ramosa,JMRC FSU:6197,JMRC FSU 6197
GCA_047667255.1_F466,Macrophomina phaseolina,Macrophomina phaseolina,BRIP 45154; G 2020 4,BRIP 45154
GCA_047667155.1_ASM4766715v1,Macrophomina phaseolina,Macrophomina phaseolina,BRIP 70726; DA 691,BRIP 70726
GCA_047667075.1_F467,Macrophomina sp. BRIP 63780,Macrophomina sp. BRIP 63780,BRIP 63780; USQ339A,BRIP 63780
GCA_900497725.1_magCapA,Magnusiomyces capitatus,Magnusiomyces capitatus,,NRRL Y-17686
GCA_900497715.1_magIngA,Magnusiomyces ingens,Magnusiomyces ingens,,NRRL Y-17630
GCA_002818225.1_ASM281822v1,Malassezia vespertilionis,Malassezia vespertilionis,NWHC:44797-103,NWHC 44797-103
GCA_003971905.1_ASM397190v1,Moniliella sp. 'wahieum',Moniliella sp. wahieum,ATCC MYA-4962,ATCC MYA-4962
GCA_051996955.1_ASM5199695v1,Nakaseomyces glabratus,Nakaseomyces glabratus,35763_2#12,35763_2-12
GCA_051996855.1_ASM5199685v1,Nakaseomyces glabratus,Nakaseomyces glabratus,35763_2#31,35763_2-31
GCA_051996735.1_ASM5199673v1,Nakaseomyces glabratus,Nakaseomyces glabratus,35763_2#50,35763_2-50
GCF_000237345.1_ASM23734v1,Naumovozyma castellii,Naumovozyma castellii,type strain:CBS 4309,type strain CBS 4309
GCF_000227115.2_ASM22711v2,Naumovozyma dairenensis,Naumovozyma dairenensis,type strain:CBS 421,type strain CBS 421
GCA_050613775.1_Neocon1,Neocallimastix sp. 'constans',Neocallimastix sp. constans,G3,G3
GCA_000497085.1_PVAR5_assembly01,Paecilomyces variotii,Paecilomyces variotii,,No. 5
GCA_056247915.1_Pb03,Paracoccidioides sp. 'americana',Paracoccidioides sp. americana,Pb03,Pb03
GCA_056247895.1_Pb28934,Paracoccidioides sp. 'americana',Paracoccidioides sp. americana,Pb28934,Pb28934
GCA_000938895.1_PP.v1,Parasitella parasitica,Parasitella parasitica,CBS 412.66 substr. NGI-315 ade-,CBS 412.66 substr. NGI-315 ade
GCA_014839975.1_PcamFM013r2_polished,Penicillium camemberti,Penicillium camemberti,FM013=LCP06093,FM013
GCA_015586365.1_ASM1558636v1,Penicillium chrysogenum,Penicillium chrysogenum,IIF2*SW-F2,IIF2-SW-F2
GCA_013138035.1_ASM1313803v1,Penicillium sp. str. #12,Penicillium sp. str. 12,#12,12
GCA_051820765.1_ASM5182076v1,Phaeoisaria parallela,Phaeoisaria parallela,MR 4108 = CBS 153 403 holotype,MR 4108
GCF_001638985.1_Phybl2,Phycomyces blakesleeanus,Phycomyces blakesleeanus,NRRL 1555 -,NRRL 1555
GCA_051996985.1_ASM5199698v1,Pichia norvegensis,Pichia norvegensis,35763_2#13,35763_2-13
GCA_030558305.1_ASM3055830v1,Pichia phayaonensis,Pichia phayaonensis,NBRC 108868;AB557865,NBRC 108868
GCA_030569635.1_ASM3056963v1,Pichia thaimueangensis,Pichia thaimueangensis,NBRC 101967;AB264009,NBRC 101967
GCA_018127085.1_P2C.v1.0,Pneumocystis sp. 'macacae',Pneumocystis sp. macacae,P2C,P2C
GCA_017654855.1_PaWa137m,Podospora anserina,Podospora anserina,Wa137-,Wa137
GCF_000226545.1_ASM22654v1,Podospora anserina,Podospora anserina,S mat+,S mat
GCA_017354895.1_ASM1735489v1,Podospora comata,Podospora comata,Wa139-,Wa139
GCA_050708095.1_ASM5070809v1,Podospora tetraspora,Podospora tetraspora,PSN669_mat-,PSN669_mat
GCA_050707535.1_ASM5070753v1,Podospora tetraspora,Podospora tetraspora,PSN775_mat+,PSN775_mat
GCA_050707415.1_ASM5070741v1,Podospora tetraspora,Podospora tetraspora,PSN778_mat+,PSN778_mat
GCA_041722655.1_BD845-Porphyrellus-aff-excedens,Porphyrellus sp. 'aff. excedens' UT-M0000382,Porphyrellus sp. aff. excedens UT-M0000382,UT-M0000382,UT-M0000382
GCA_028028555.1_ASM2802855v1,Pseudopestalotiopsis chinensis,Pseudopestalotiopsis chinensis,AH-3-21*,AH-3-21
GCA_027604835.1_ASM2760483v1,Psilocybe subaeruginosa,Psilocybe subaeruginosa,BRIP:74427,BRIP 74427
GCA_027604875.1_ASM2760487v1,Psilocybe subaeruginosa,Psilocybe subaeruginosa,BRIP:74429,BRIP 74429
GCA_027604855.1_ASM2760485v1,Psilocybe subaeruginosa,Psilocybe subaeruginosa,BRIP:74430,BRIP 74430
GCA_027604815.1_ASM2760481v1,Psilocybe subaeruginosa,Psilocybe subaeruginosa,BRIP:74431,BRIP 74431
GCA_027604765.1_ASM2760476v1,Psilocybe subaeruginosa,Psilocybe subaeruginosa,BRIP:74432,BRIP 74432
GCA_027604795.1_ASM2760479v1,Psilocybe subaeruginosa,Psilocybe subaeruginosa,BRIP:74433,BRIP 74433
GCA_002900275.1_PucStrE137Aminus_diploid_v1.0,Puccinia striiformis f. sp. tritici,Puccinia striiformis f. sp. tritici,104 E137 A-,104 E137 A
GCF_021901695.1_Pst134E36_v1_pri,Puccinia striiformis f. sp. tritici,Puccinia striiformis f. sp. tritici,134E16A+17+33+,134E16A1733
GCA_026170125.1_Rep1-bas4#11,Pyricularia oryzae,Pyricularia oryzae,Rep1-bas4#11,Rep1-bas4-11
GCA_026170135.1_Rep1-bas4#2,Pyricularia oryzae,Pyricularia oryzae,Rep1-bas4#2,Rep1-bas4-2
GCA_026170115.1_Rep1-bas4#3,Pyricularia oryzae,Pyricularia oryzae,Rep1-bas4#3,Rep1-bas4-3
GCA_025473295.1_ASM2547329v1,Pyricularia oryzae,Pyricularia oryzae,Rep1-buf1#10,Rep1-buf1-10
GCA_025473575.1_ASM2547357v1,Pyricularia oryzae,Pyricularia oryzae,Rep1-buf1#2,Rep1-buf1-2
GCA_025473445.1_ASM2547344v1,Pyricularia oryzae,Pyricularia oryzae,Rep1-buf1#4,Rep1-buf1-4
GCA_025473435.1_ASM2547343v1,Pyricularia oryzae,Pyricularia oryzae,Rep1-buf1#5,Rep1-buf1-5
GCA_025473275.1_ASM2547327v1,Pyricularia oryzae,Pyricularia oryzae,Rep1-buf1#6,Rep1-buf1-6
GCA_025473265.1_ASM2547326v1,Pyricularia oryzae,Pyricularia oryzae,Rep4-buf1#1,Rep4-buf1-1
GCA_025473255.1_ASM2547325v1,Pyricularia oryzae,Pyricularia oryzae,Rep4-buf1#13,Rep4-buf1-13
GCA_025473285.1_ASM2547328v1,Pyricularia oryzae,Pyricularia oryzae,Rep4-buf1#5,Rep4-buf1-5
GCA_905219645.1_AG8,Rhizoctonia solani,Rhizoctonia solani,type strain: AG8-Rh-89-,type strain AG8-Rh-89
GCA_002897155.2_Rir_HGAP_ii_V2.1,Rhizophagus irregularis DAOM 181602=DAOM 197198,Rhizophagus irregularis DAOM 181602=DAOM 197198,DAOM 181602=DAOM 197198,DAOM 181602
GCA_013036665.1_ASM1303666v1,Rhodotorula mucilaginosa,Rhodotorula mucilaginosa,IIF2*SW-B1,IIF2-SW-B1
GCA_013036445.1_ASM1303644v1,Rhodotorula mucilaginosa,Rhodotorula mucilaginosa,IIF2*SW-F1,IIF2-SW-F1
GCA_021209875.1_ASM2120987v1,Rosellinia necatrix,Rosellinia necatrix,R18_UHMW+HMW,R18_UHMWHMW
GCA_002571405.2_ASM257140v2,Saccharomyces cerevisiae,Saccharomyces cerevisiae,CEN.PK113-7D; CBS 8340,CEN.PK113-7D
GCA_030034845.1_ASM3003484v1,Saccharomyces cerevisiae,Saccharomyces cerevisiae,LL2013_040 MATalpha ho::kanMX4 ade2::hphNT1,LL2013_040 MATalpha ho kanMX4 ade2 hphNT1
GCA_030034815.1_ASM3003481v1,Saccharomyces cerevisiae,Saccharomyces cerevisiae,LL2013_054 MATalpha ho::natMX4 ade2::hphNT1,LL2013_054 MATalpha ho natMX4 ade2 hphNT1
GCA_918239655.1_yHAB335,Saccharomyces cerevisiae,Saccharomyces cerevisiae,SX35.1=14,SX35.1
GCA_905220315.1_ScPE_H4_f,Saccharomyces cerevisiae,Saccharomyces cerevisiae,,PE-2
GCA_918272125.1_yHAB336,Saccharomyces mikatae,Saccharomyces mikatae,SDPGP3=15,SDPGP3
GCA_030035055.1_ASM3003505v1,Saccharomyces paradoxus,Saccharomyces paradoxus,LL2011_001 MATa ho::kanMX4 ade2::hphNT1,LL2011_001 MATa ho kanMX4 ade2 hphNT1
GCA_030035175.1_ASM3003517v1,Saccharomyces paradoxus,Saccharomyces paradoxus,LL2011_004 MATalpha ho::kanMX4 ade2::hphNT1,LL2011_004 MATalpha ho kanMX4 ade2 hphNT1
GCA_030035145.1_ASM3003514v1,Saccharomyces paradoxus,Saccharomyces paradoxus,LL2011_009 MATalpha ho::natMX4 ade2::hphNT1,LL2011_009 MATalpha ho natMX4 ade2 hphNT1
GCA_030035085.1_ASM3003508v1,Saccharomyces paradoxus,Saccharomyces paradoxus,LL2011_012 MATa ho::kanMX4 ade2::hphNT1,LL2011_012 MATa ho kanMX4 ade2 hphNT1
GCA_030034935.1_ASM3003493v1,Saccharomyces paradoxus,Saccharomyces paradoxus,LL2012_021 MATalpha ho::natMX4 ade2::hphNT1,LL2012_021 MATalpha ho natMX4 ade2 hphNT1
GCA_030034965.1_ASM3003496v1,Saccharomyces paradoxus,Saccharomyces paradoxus,LL2012_028 MATalpha ho::kanMX4 ade2::hphNT1,LL2012_028 MATalpha ho kanMX4 ade2 hphNT1
GCA_030035115.1_ASM3003511v1,Saccharomyces paradoxus,Saccharomyces paradoxus,MSH-587-1 MATa ho::natMX4 ade2::hphNT1,MSH-587-1 MATa ho natMX4 ade2 hphNT1
GCA_030035025.1_ASM3003502v1,Saccharomyces paradoxus,Saccharomyces paradoxus,MSH-604 MATa ho::natMX4 ade2::hphNT1,MSH-604 MATa ho natMX4 ade2 hphNT1
GCA_030034995.1_ASM3003499v1,Saccharomyces paradoxus,Saccharomyces paradoxus,UWOPS-91-202 MATa ho::kanMX4 ade2::hphNT1,UWOPS-91-202 MATa ho kanMX4 ade2 hphNT1
GCA_030034905.1_ASM3003490v1,Saccharomyces paradoxus,Saccharomyces paradoxus,YPS644 MATalpha ho::kanMX4 ade2::hphNT1,YPS644 MATalpha ho kanMX4 ade2 hphNT1
GCA_030034875.1_ASM3003487v1,Saccharomyces paradoxus,Saccharomyces paradoxus,YPS744 MATalpha ho::natMX4 ade2::hphNT1,YPS744 MATalpha ho natMX4 ade2 hphNT1
GCA_918251765.1_yHAB60,Saccharomyces uvarum,Saccharomyces uvarum,"CRUB 1588,7",CRUB 1588-7
GCF_000002945.2_ASM294v3,Schizosaccharomyces pombe,Schizosaccharomyces pombe,972h-,972h
GCA_050705245.1_ASM5070524v1,Schizothecium sp. GE-2024g,Schizothecium sp. GE-2024g,IMI320477_mat+,IMI320477_mat
GCA_050709075.1_ASM5070907v1,Schizothecium sp. GE-2024h,Schizothecium sp. GE-2024h,PSN350_mat-,PSN350_mat
GCA_050709055.1_ASM5070905v1,Schizothecium sp. GE-2024h,Schizothecium sp. GE-2024h,PSN351_mat-,PSN351_mat
GCA_050708135.1_ASM5070813v1,Schizothecium sp. GE-2024h,Schizothecium sp. GE-2024h,PSN682_mat-,PSN682_mat
GCA_050707915.1_ASM5070791v1,Schizothecium sp. GE-2024h,Schizothecium sp. GE-2024h,PSN706_mat-,PSN706_mat
GCA_050707655.1_ASM5070765v1,Schizothecium sp. GE-2024h,Schizothecium sp. GE-2024h,PSN711_mat-,PSN711_mat
GCA_050708635.1_ASM5070863v1,Schizothecium sp. GE-2024i,Schizothecium sp. GE-2024i,PSN572_mat-,PSN572_mat
GCA_050707155.1_ASM5070715v1,Schizothecium sp. GE-2024i,Schizothecium sp. GE-2024i,PSN831_mat+,PSN831_mat
GCA_050707135.1_ASM5070713v1,Schizothecium sp. GE-2024i,Schizothecium sp. GE-2024i,PSN831_mat-,PSN831_mat
GCA_050708255.1_ASM5070825v1,Schizothecium sp. GE-2024n,Schizothecium sp. GE-2024n,PSN663_mat-,PSN663_mat
GCA_039834505.1_ASM3983450v1,Sclerotinia sclerotiorum,Sclerotinia sclerotiorum,#321,321
GCA_006535965.1_ASM653596v1,Spizellomyces sp. 'palustris',Spizellomyces sp. palustris,CBS 455.65,CBS 455.65
GCA_000230245.1_ASM23024v1,Sporisorium reilianum,Sporisorium reilianum,,SRZ2
GCA_046114455.1_ASM4611445v1,Sporothrix sp. FH-2023a,Sporothrix sp. FH-2023a,CBS:147636,CBS 147636
GCA_000812845.1_ASM81284v1,Stagonosporopsis tanaceti,Stagonosporopsis tanaceti,CBS 131484;CBS 131485;TAS 55503;DAR 70020,CBS 131484
GCA_030563285.1_ASM3056328v1,Starmerella khaoyaiensis,Starmerella khaoyaiensis,NBRC 104213;DQ400367,NBRC 104213
GCA_030566975.1_ASM3056697v1,Starmerella potacharoeniae,Starmerella potacharoeniae,NBRC 106439;AB537437,NBRC 106439
GCA_030578495.1_ASM3057849v1,Starmerella sirachaensis,Starmerella sirachaensis,NBRC 108605;AB617909,NBRC 108605
GCA_982258805.1_Tp_3378_genome,Talaromyces proteolyticus,Talaromyces proteolyticus,NRRL:3378,NRRL 3378
GCA_020091625.1_ASM2009162v1,Termitomyces sp. 'cryptogamus',Termitomyces sp. cryptogamus,P5,P5
GCA_018857285.1_ASM1885728v1,Termitomyces sp. Mi166#008,Termitomyces sp. Mi166-008,Mi166#008,Mi166-008
GCF_000236905.1_ASM23690v1,Tetrapisispora phaffii,Tetrapisispora phaffii,type strain:CBS 4417,type strain CBS 4417
GCF_000243375.1_ASM24337v1,Torulaspora delbrueckii,Torulaspora delbrueckii,type strain:CBS 1146,type strain CBS 1146
GCA_048987705.1_ASM4898770v1,Trichophyton mentagrophytes,Trichophyton mentagrophytes,PG--10MUR,PG-10MUR
GCA_048987915.1_ASM4898791v1,Trichophyton mentagrophytes,Trichophyton mentagrophytes,PG--11338,PG-11338
GCA_048987745.1_ASM4898774v1,Trichophyton mentagrophytes,Trichophyton mentagrophytes,PG--9FER,PG-9FER
GCA_030581495.1_ASM3058149v1,Wickerhamomyces xylosicus,Wickerhamomyces xylosicus,NBRC 108869;AB557867,NBRC 108869
GCA_030572035.1_ASM3057203v1,Yamadazyma takamatsuzukensis,Yamadazyma takamatsuzukensis,NBRC 104391;AB365470,NBRC 104391
GCA_030578535.1_ASM3057853v1,Yamadazyma tumulicola,Yamadazyma tumulicola,NBRC 104392;AB365463,NBRC 104392
GCA_000442885.1_ZYBA0,Zygosaccharomyces bailii,Zygosaccharomyces bailii,CLIB 213 = CBS 680,CLIB 213
GCA_900099495.1_ZT1A5_complete_assembly,Zymoseptoria tritici,Zymoseptoria tritici,,ST99CH_1A5
GCA_900184115.1_ST99CH_1E4,Zymoseptoria tritici,Zymoseptoria tritici,,ST99CH_1E4
GCA_900184105.1_ST99CH_3D1,Zymoseptoria tritici,Zymoseptoria tritici,,ST99CH_3D1
GCA_900091695.1_Zt_ST99CH_3D7,Zymoseptoria tritici,Zymoseptoria tritici,,ST99CH_3D7
GCA_000412225.2_ASM41222v2,_Ashbya_ aceris,Ashbya aceris,,
GCA_947297635.1_2786_Candida_aaseri,_Candida_ aaseri,Candida aaseri,,
GCA_023623315.1_ASM2362331v1,_Candida_ aaseri,Candida aaseri,B8007,B8007
GCA_030582305.1_ASM3058230v1,_Candida_ aaseri,Candida aaseri,NRRL YB-3897,NRRL YB-3897
GCA_002068075.1_cb02,_Candida_ aaseri,Candida aaseri,SH-14,SH-14
GCA_030558135.1_ASM3055813v1,_Candida_ adriatica,Candida adriatica,CBS 12504,CBS 12504
GCA_030572135.1_ASM3057213v1,_Candida_ alai,Candida alai,NRRL Y-27739,NRRL Y-27739
GCA_030569055.1_ASM3056905v1,_Candida_ andamanensis,Candida andamanensis,CBS 10859,CBS 10859
GCA_963924425.1_CAAN1,_Candida_ anglica,Candida anglica,28E1s-12,28E1s-12
GCA_963924405.1_CAAN4,_Candida_ anglica,Candida anglica,29B2s-10,29B2s-10
GCA_963924415.1_CAAN2,_Candida_ anglica,Candida anglica,29E1s-10,29E1s-10
GCA_054123955.1_ASM5412395v1,_Candida_ anglica,Candida anglica,AOP28_C2_surf_bin_7,AOP28_C2_surf_bin_7
GCA_030557785.1_ASM3055778v1,_Candida_ anglica,Candida anglica,NRRL Y-27079,NRRL Y-27079
GCA_019775655.1_ASM1977565v1,_Candida_ anglica,Candida anglica,VS III C KN 3,VS III C KN 3
GCA_963924395.1_CAAN3,_Candida_ anglica,Candida anglica,Y-27079,Y-27079
GCA_030566955.1_ASM3056695v1,_Candida_ anutae,Candida anutae,NRRL Y-27374,NRRL Y-27374
GCA_030567675.1_ASM3056767v1,_Candida_ arabinofermentans,Candida arabinofermentans,NRRL YB-2248,NRRL YB-2248
GCA_001661425.1_Canar1,_Candida_ arabinofermentans,Candida arabinofermentans,NRRL YB-2248,NRRL YB-2248
GCA_030581555.1_ASM3058155v1,_Candida_ argentea,Candida argentea,CBS 12358,CBS 12358
GCA_030674335.1_ASM3067433v1,_Candida_ ascalaphidarum,Candida ascalaphidarum,NRRL Y-27908,NRRL Y-27908
GCA_030566905.1_ASM3056690v1,_Candida_ aurita,Candida aurita,CBS 9724,CBS 9724
GCA_975850065.1_BH_BASALT_bin502_ASM_v1,_Candida_ awuae,Candida awuae,,
GCA_030563725.1_ASM3056372v1,_Candida_ awuae,Candida awuae,CBS 11011,CBS 11011
GCA_030561725.1_ASM3056172v1,_Candida_ bentonensis,Candida bentonensis,NRRL YB-2364,NRRL YB-2364
GCA_030564525.1_ASM3056452v1,_Candida_ berthetii,Candida berthetii,NRRL Y-17644,NRRL Y-17644
GCA_024734315.1_ASM2473431v1,_Candida_ blankii,Candida blankii,ABL,ABL
GCA_030573285.1_ASM3057328v1,_Candida_ blankii,Candida blankii,NRRL Y-17068,NRRL Y-17068
GCA_030581595.1_ASM3058159v1,_Candida_ blattariae,Candida blattariae,NRRL Y-27703,NRRL Y-27703
GCA_964186685.1_AIST350v1,_Candida_ boidinii,Candida boidinii,,
GCA_037935595.1_ASM3793559v1,_Candida_ boidinii,Candida boidinii,CICC#33029,CICC-33029
GCA_002007985.1_ASM200798v1,_Candida_ boidinii,Candida boidinii,Cb18,Cb18
GCA_002008075.1_ASM200807v1,_Candida_ boidinii,Candida boidinii,DBVPG6799,DBVPG6799
GCA_002008095.1_ASM200809v1,_Candida_ boidinii,Candida boidinii,DBVPG7578,DBVPG7578
GCA_002008085.1_ASM200808v1,_Candida_ boidinii,Candida boidinii,DBVPG8035,DBVPG8035
GCA_037041165.1_ASM3704116v1,_Candida_ boidinii,Candida boidinii,F119-09A,F119-09A
GCA_001442605.1_ASM144260v1,_Candida_ boidinii,Candida boidinii,GF002,GF002
GCA_001599335.1_JCM_9604_assembly_v001,_Candida_ boidinii,Candida boidinii,JCM 9604,JCM 9604
GCA_023629675.1_ASM2362967v1,_Candida_ boidinii,Candida boidinii,M7017B,M7017B
GCA_030267585.1_ASM3026758v1,_Candida_ boidinii,Candida boidinii,NBRC 10035,NBRC 10035
GCA_030267865.1_ASM3026786v1,_Candida_ boidinii,Candida boidinii,NBRC 101490,NBRC 101490
GCA_030267665.1_ASM3026766v1,_Candida_ boidinii,Candida boidinii,NBRC 10240,NBRC 10240
GCA_030267845.1_ASM3026784v1,_Candida_ boidinii,Candida boidinii,NBRC 10329,NBRC 10329
GCA_030267825.1_ASM3026782v1,_Candida_ boidinii,Candida boidinii,NBRC 10574,NBRC 10574
GCA_030267685.1_ASM3026768v1,_Candida_ boidinii,Candida boidinii,NBRC 1967,NBRC 1967
GCA_002008015.1_ASM200801v1,_Candida_ boidinii,Candida boidinii,NDK27A1,NDK27A1
GCA_003243125.1_ASM324312v1,_Candida_ boidinii,Candida boidinii,NRRL Y-2332,NRRL Y-2332
GCA_002007995.1_ASM200799v1,_Candida_ boidinii,Candida boidinii,TOMC-Y13,TOMC-Y13
GCA_002008065.1_ASM200806v1,_Candida_ boidinii,Candida boidinii,TOMC-Y47,TOMC-Y47
GCA_002008025.1_ASM200802v1,_Candida_ boidinii,Candida boidinii,UNISS-Cb60,UNISS-Cb60
GCA_002864065.1_ASM286406v1,_Candida_ boidinii,Candida boidinii,Y01308,Y01308
GCA_029581775.1_ASM2958177v1,_Candida_ boleticola,Candida boleticola,CBS 7847,CBS 7847
GCA_030570215.1_ASM3057021v1,_Candida_ boleticola,Candida boleticola,NRRL Y-17080T,NRRL Y-17080T
GCA_030563665.1_ASM3056366v1,_Candida_ broadrunensis,Candida broadrunensis,CBS 11838,CBS 11838
GCA_030571035.1_ASM3057103v1,_Candida_ buinensis,Candida buinensis,NRRL Y-11706T,NRRL Y-11706T
GCA_030568635.1_ASM3056863v1,_Candida_ caryicola,Candida caryicola,NRRL YB-1499,NRRL YB-1499
GCA_030574835.1_ASM3057483v1,_Candida_ cerambycidarum,Candida cerambycidarum,NRRL Y-27706,NRRL Y-27706
GCA_030573195.1_ASM3057319v1,_Candida_ chilensis,Candida chilensis,NRRL Y-17141,NRRL Y-17141
GCA_030571295.1_ASM3057129v1,_Candida_ citri,Candida citri,CBS 11858,CBS 11858
GCA_030572275.1_ASM3057227v1,_Candida_ conglobata,Candida conglobata,NRRL Y-1504,NRRL Y-1504
GCA_030566895.1_ASM3056689v1,_Candida_ coquimbonensis,Candida coquimbonensis,CBS 12348,CBS 12348
