ASMID,ORIG SPECIES,MODIFIED SPECIES,ORIG STRAIN,MODIFIED STRAIN
GCA_900079185.1_AG_v1,Absidia glauca,Absidia glauca,CBS 101.48 substr. RVII-324 met-,CBS 101.48 substr. RVII-324 met
GCA_001592465.1_Acidomyces_richmondensis_BFW_v1.0,Acidomyces sp. 'richmondensis',Acidomyces sp. richmondensis,BFW,BFW
GCA_003545705.1_ASM354570v1,Acidomyces sp. 'richmondensis',Acidomyces sp. richmondensis,FRIK2901,FRIK2901
GCA_001572075.1_ASM157207v1,Acidomyces sp. 'richmondensis',Acidomyces sp. richmondensis,meta,meta
GCA_024321975.1_ASM2432197v1,Alternaria sp. 'sect. Undifilum',Alternaria sp. sect. Undifilum,W740-01,W740-01
GCA_000497225.1_AmaJack1.0,Amanita jacksonii,Amanita jacksonii,,TRTC168611
GCA_051944865.1_ASM5194486v1,Ampelomyces sp. BRIP_72097,Ampelomyces sp. BRIP_72097,BRIP:72097,BRIP 72097
GCA_019976455.1_ASM1997645v1,Aspergillus sp. 'subgen. Cremei',Aspergillus sp. subgen. Cremei,IBT 35662,IBT 35662
GCA_051996935.1_ASM5199693v1,Candida orthopsilosis,Candida orthopsilosis,35763_2#27,35763_2-27
GCA_051996775.1_ASM5199677v1,Candida orthopsilosis,Candida orthopsilosis,35763_2#47,35763_2-47
GCA_051996715.1_ASM5199671v1,Candida orthopsilosis,Candida orthopsilosis,36186_2#56,36186_2-56
GCA_056747355.1_ASM5674735v1,Candida parapsilosis,Candida parapsilosis,35763_2#2,35763_2-2
GCA_963989715.1_canParSR23v1,Candida parapsilosis,Candida parapsilosis,SR23;CBS 7157,SR23
GCA_015039395.1_CerAGI,Ceratobasidium sp. AG-I,Ceratobasidium sp. AG-I,anastomosis group I; DN8442,anastomosis group I
GCA_012932095.1_ASM1293209v1,Ceratobasidium theobromae,Ceratobasidium theobromae,Gudang 4;Tawau Sabah,Gudang 4
GCA_000482085.2_C_metacorallifera_KoLRI002260_v2,Cladonia metacorallifera,Cladonia metacorallifera,,KoLRI002260
GCA_902827195.2_C_rosea_IK726,Clonostachys rosea,Clonostachys rosea,,f. rosea IK726
GCA_027579295.1_UCR_CofoNRRL5531T_1.0,Coemansia sp. 'formosensis',Coemansia sp. formosensis,NRRL 5531,NRRL 5531
GCA_003243855.1_ASM324385v1,Colletotrichum gloeosporioides,Colletotrichum gloeosporioides,SMCG1#C,SMCG1-C
GCA_016772295.1_ASM1677229v1,Coprinopsis cinerea,Coprinopsis cinerea,A43mut B43mut pab1-1 #326,A43mut B43mut pab1-1 -326
GCF_000182895.1_CC3,Coprinopsis cinerea,Coprinopsis cinerea,okayama7#130,okayama7-130
GCA_036971435.1_ASM3697143v1,Dactylellina sp. 'tibetensis',Dactylellina sp. tibetensis,SQ 2179,SQ 2179
GCA_025716815.1_Dicele1,Dichotomocladium elegans,Dichotomocladium elegans,RSA 919-,RSA 919
GCA_051996825.1_ASM5199682v1,Diutina rugosa,Diutina rugosa,35763_2#41,35763_2-41
GCA_011750725.1_ASM1175072v1,Drepanopeziza brunnea f. sp. 'monogermtubi',Drepanopeziza brunnea f. sp. monogermtubi,NL1,NL1
GCF_022702325.1_ASM2270232v1,Drepanopeziza brunnea f. sp. 'multigermtubi',Drepanopeziza brunnea f. sp. multigermtubi,214-2,214-2
GCF_000235365.1_ASM23536v1,Eremothecium cymbalariae,Eremothecium cymbalariae,DBVPG#7215,DBVPG-7215
GCF_000240135.3_ASM24013v3,Fusarium graminearum,Fusarium graminearum,PH-1; NRRL 31084,PH-1
GCA_002233875.1_Folag_005,Fusarium oxysporum f. sp. lagenariae,Fusarium oxysporum f. sp. lagenariae,Lag:1-1,Lag 1-1
GCA_002234135.1_Folag_004,Fusarium oxysporum,Fusarium oxysporum,Lag:3-1,Lag 3-1
GCA_014885045.1_ASM1488504v1,Fusarium sp. 'flavolapis',Fusarium sp. flavolapis,MK7,MK7
GCA_040802825.1_ASM4080282v1,Gyromitra sp. 'persicula',Gyromitra sp. persicula,MICH346493,MICH346493
GCA_036287555.1_ASM3628755v1,Hanseniaspora guilliermondii,Hanseniaspora guilliermondii,CBS:18551,CBS 18551
GCA_030573555.1_ASM3057355v1,Hanseniaspora hatyaiensis,Hanseniaspora hatyaiensis,ZIM 2327;ST-476,ZIM 2327
GCA_003708765.1_ASM370876v1,Hanseniaspora hatyaiensis,Hanseniaspora hatyaiensis,ZIM2327 Neza Cadez; ST-476,ZIM2327 Neza Cadez
GCA_003708365.1_ASM370836v1,Hanseniaspora singularis,Hanseniaspora singularis,ZIM2326 Neza Cadez; ST-244,ZIM2326 Neza Cadez
GCA_030573575.1_ASM3057357v1,Hanseniaspora sp. CRUB 1602,Hanseniaspora sp. CRUB 1602,CRUB 1602;ZIM 2538,CRUB 1602
GCA_030573475.1_ASM3057347v1,Hanseniaspora thailandica,Hanseniaspora thailandica,ZIM 2325;ST-464,ZIM 2325
GCF_000315915.1_ASM31591v1,Henningerozyma blattae,Henningerozyma blattae,type strain:CBS 6284,type strain CBS 6284
