ASMID,SPECIES,NCBI_TAXONID,STRAIN,PHYLUM,SUBPHYLUM,CLASS,SUBCLASS,ORDER,FAMILY,GENUS,SPECIES_RANK
GCA_059548135.1_ASM5954813v1,Basidiobolus sp. ARSEF 270,3395435,ARSEF 270,Basidiomycota,Agaricomycotina,Exobasidiomycetes,,Basidiobolales,Basidiobolaceae,Basidiobolus,270
GCA_059548115.1_ASM5954811v1,Basidiobolus sp. ARSEF 9891,3395438,ARSEF 9891,Basidiomycota,Agaricomycotina,Exobasidiomycetes,,Basidiobolales,Basidiobolaceae,Basidiobolus,9891
GCA_059548095.1_ASM5954809v1,Basidiobolus sp. ARSEF 9894,3395440,ARSEF 9894,Basidiomycota,Agaricomycotina,Exobasidiomycetes,,Basidiobolales,Basidiobolaceae,Basidiobolus,9894
GCA_059548075.1_ASM5954807v1,Basidiobolus sp. ARSEF 9899,3395442,ARSEF 9899,Basidiomycota,Agaricomycotina,Exobasidiomycetes,,Basidiobolales,Basidiobolaceae,Basidiobolus,9899
GCA_059548055.1_ASM5954805v1,Basidiobolus sp. ARSEF 9900,3395443,ARSEF 9900,Basidiomycota,Agaricomycotina,Exobasidiomycetes,,Basidiobolales,Basidiobolaceae,Basidiobolus,9900
GCA_059548035.1_ASM5954803v1,Basidiobolus sp. ARSEF 9901,3395444,ARSEF 9901,Basidiomycota,Agaricomycotina,Exobasidiomycetes,,Basidiobolales,Basidiobolaceae,Basidiobolus,9901
GCA_059548015.1_ASM5954801v1,Basidiobolus sp. ARSEF 9903,3395445,ARSEF 9903,Basidiomycota,Agaricomycotina,Exobasidiomycetes,,Basidiobolales,Basidiobolaceae,Basidiobolus,9903
GCA_059547955.1_ASM5954795v1,Basidiobolus sp. ARSEF 9908,3395447,ARSEF 9908,Basidiomycota,Agaricomycotina,Exobasidiomycetes,,Basidiobolales,Basidiobolaceae,Basidiobolus,9908
GCA_059547975.1_ASM5954797v1,Basidiobolus sp. ARSEF 9909,3395448,ARSEF 9909,Basidiomycota,Agaricomycotina,Exobasidiomycetes,,Basidiobolales,Basidiobolaceae,Basidiobolus,9909
GCA_059547995.1_ASM5954799v1,Basidiobolus sp. ARSEF 9912,3395449,ARSEF 9912,Basidiomycota,Agaricomycotina,Exobasidiomycetes,,Basidiobolales,Basidiobolaceae,Basidiobolus,9912
GCA_059547875.1_ASM5954787v1,Basidiobolus sp. B 8.4,3395453,B 8.4,Basidiomycota,Agaricomycotina,Exobasidiomycetes,,Basidiobolales,Basidiobolaceae,Basidiobolus,8.4
GCA_059547935.1_ASM5954793v1,Basidiobolus sp. MH 6.3,3395450,MH 6.3,Basidiomycota,Agaricomycotina,Exobasidiomycetes,,Basidiobolales,Basidiobolaceae,Basidiobolus,6.3
GCA_059547895.1_ASM5954789v1,Basidiobolus sp. MH 8.1,3395451,MH 8.1,Basidiomycota,Agaricomycotina,Exobasidiomycetes,,Basidiobolales,Basidiobolaceae,Basidiobolus,8.1
GCA_059547915.1_ASM5954791v1,Basidiobolus sp. MH 9.1,3395452,MH 9.1,Basidiomycota,Agaricomycotina,Exobasidiomycetes,,Basidiobolales,Basidiobolaceae,Basidiobolus,9.1
