# Candidate exclusion list bootstrapped from misc/samples.csv.prechange vs samples.csv
# Format: <ASMID>\t<reason>   (lines starting with # are comments)
# 128 true removals + 14 dedup removals = 142 total

## --- dedup: another assembly with the same GCA/GCF accession is kept ---
GCA_000401615.1_K1_trimmed_clc_assembly_flt.fa	dedup: accession GCA_000401615.1 kept under another ASMID	# Blumeria hordei K1 | K1
GCA_000401675.1_A6_trimmed_clc_assembly_flt.fa	dedup: accession GCA_000401675.1 kept under another ASMID	# Blumeria hordei A6 | A6
GCA_001179765.1_Mycena-l100.fa	dedup: accession GCA_001179765.1 kept under another ASMID	# Crepidotus sp. BD-2015 | 
GCA_003547095.1_Glomus_Soap2_v3.1.nr.fa	dedup: accession GCA_003547095.1 kept under another ASMID	# Diversispora epigaea | IT104
GCA_026260285.1_Colsa1.clean.fa	dedup: accession GCA_026260285.1 kept under another ASMID	# Colletotrichum sansevieriae | FPH2021-6
GCA_032881745.1_JA119_contigs_nh.fasta	dedup: accession GCA_032881745.1 kept under another ASMID	# Pyricularia oryzae | UFVPY119
GCA_046862025.1_E5301_clcbio_scaffolds.fasta	dedup: accession GCA_046862025.1 kept under another ASMID	# Epichloe typhina | E5301Bp
GCA_046863585.1_NFe7.Masurca.scaffolds.renamed.fasta	dedup: accession GCA_046863585.1 kept under another ASMID	# Epichloe bromicola | NFe7
GCA_047301935.1_E6358Bt-2_Denovo_Mas339_Scaffolds.fasta	dedup: accession GCA_047301935.1 kept under another ASMID	# Epichloe festucae | E6358-2
GCA_047301975.1_E6359Mp-2_Denovo_Mas339_Scaffolds.fasta	dedup: accession GCA_047301975.1 kept under another ASMID	# Epichloe bromicola | E6359-2
GCA_050656755.1_HCTi.v1.0.fasta	dedup: accession GCA_050656755.1 kept under another ASMID	# Pyricularia oryzae | 95085 HCT
GCA_051397355.1_GA10_6-scaf.final.scaffolds.fasta	dedup: accession GCA_051397355.1 kept under another ASMID	# Aspergillus parasiticus | GA10_6_ap24
GCA_056747115.1_Psh_NP85002_hap2_assembly.fasta	dedup: accession GCA_056747115.1 kept under another ASMID	# Puccinia striiformis f. sp. hordei | NP85002
GCA_900069095.1_Tubaria_l100.fa	dedup: accession GCA_900069095.1 kept under another ASMID	# Tubaria furfuracea | 

## --- true removals: accession dropped entirely (curation) ---
GCA_000091065.2_ASM9106v2	curation	# Saccharomyces cerevisiae | strain=S288C
GCA_000149365.1_ASM14936v1	curation	# Saccharomyces cerevisiae RM11-1a | strain=RM11-1a
GCA_000149865.1_BD_JEL423	curation	# Batrachochytrium dendrobatidis JEL423 | strain=JEL423
GCA_000166915.1_ASM16691v1	curation	# Aspergillus terreus ATCC 20542 | strain=ATCC 20542
GCA_000166975.1_ASM16697v1	curation	# Saccharomyces mikatae IFO 1815 | strain=IFO 1815
GCA_000169275.1_ASM16927v1	curation	# Malassezia restricta CBS 7877 | strain=CBS 7877
GCA_000174375.1_ASM17437v1	curation	# Alternaria brassicicola ATCC 96836 | strain=ATCC 96836
GCA_000182075.2_ASM18207v2	curation	# Saccharomyces cerevisiae M22 | strain=M22
GCA_000192375.1_Saccharomyces_cerevisiae_Y10-2.0	curation	# Saccharomyces cerevisiae Y10 | strain=Y10
GCA_000192455.1_Saccharomyces_cerevisiae_CBS7960-2.0	curation	# Saccharomyces cerevisiae CBS 7960 | strain=CBS 7960
GCA_000192495.1_Saccharomyces_cerevisiae_CLIB324-2.0	curation	# Saccharomyces cerevisiae CLIB324 | strain=CLIB324
GCA_000192515.1_Saccharomyces_cerevisiae_YJM269-2.0	curation	# Saccharomyces cerevisiae YJM269 | strain=YJM269
GCA_000192535.1_Saccharomyces_cerevisiae_FL100-1.0	curation	# Saccharomyces cerevisiae FL100 | strain=FL100
GCA_000192555.1_Saccharomyces_cerevisiae_CLIB215-2.0	curation	# Saccharomyces cerevisiae CLIB215 | strain=CLIB215
GCA_000209345.1_Saccharomyces_cerevisiae_CLIB382-1.0	curation	# Saccharomyces cerevisiae CLIB382 | strain=CLIB382
GCA_000222805.1_FOB1	curation	# Fusarium oxysporum f. sp. conglutinans Fo5176 | strain=Fo5176
GCA_000230395.2_ASPNI_v3.0	curation	# Aspergillus niger ATCC 1015 | strain=ATCC 1015
GCA_000240685.2_ASM24068v2	curation	# Mortierella alpina ATCC 32222 | strain=ATCC 32222
GCA_000259595.1_AWRI1499_v1.0	curation	# Brettanomyces bruxellensis AWRI1499 | strain=AWRI1499
GCA_000269785.2_AspOry3042	curation	# Aspergillus oryzae 3.042 | strain=3.042
GCA_000313795.2_ASM31379v2	curation	# Colletotrichum higginsianum | strain=IMI 349063
GCA_000315255.1_B14_02	curation	# Fusarium fujikuroi B14 | strain=B14
GCA_000338975.1_CocheC5_3	curation	# Bipolaris maydis C5 | strain=C5
GCA_000498135.1_FJ81278_genome_assembly	curation	# Pyricularia oryzae FJ81278 | strain=FJ81278
GCA_000591435.1_MR2010_11_27	curation	# Metarhizium robertsii | strain=ARSEF 2575
GCA_000766175.2_ASM76617v2	curation	# Saccharomyces cerevisiae | strain=YPS163
GCA_000766475.2_ASM76647v2	curation	# Saccharomyces cerevisiae | strain=W303
GCA_000775455.1_Cand_albi_L26_V2	curation	# Candida albicans L26 | strain=L26
GCA_000775525.1_Cand_albi_P75063_V1	curation	# Candida albicans P75063 | strain=P75063
