GCA_000174375.1_ASM17437v1,Alternaria brassicicola ATCC 96836,ATCC 96836,PRJNA34523,622360,dikarya,Ascomycota,,Dothideomycetes,,Pleosporales,Pleosporaceae,Alternaria,Alternaria brassicicola,1,FFD1FD70
GCA_001691765.1_ASM169176v1,Amanita muscaria var. guessowii Koide BX008,Koide BX008,PRJNA236758,1457510,dikarya,Basidiomycota,,Agaricomycetes,,Agaricales,Amanitaceae,Amanita,Amanita muscaria,1,F7B861A8
GCA_024678945.1_ASM2467894v1,Aspergillus flavus,NRRL3357,PRJNA639008,5059,dikarya,Ascomycota,,Eurotiomycetes,,Eurotiales,Aspergillaceae,Aspergillus,Aspergillus flavus,1,F4CAF20D
GCA_000952835.1_ASM95283v1,Aspergillus flavus AF70,AF70,PRJNA217045,1392242,dikarya,Ascomycota,,Eurotiomycetes,,Eurotiales,Aspergillaceae,Aspergillus,Aspergillus flavus,1,F1295669
GCA_000230395.2_ASPNI_v3.0,Aspergillus niger ATCC 1015,ATCC 1015,PRJNA15785,380704,dikarya,Ascomycota,,Eurotiomycetes,,Eurotiales,Aspergillaceae,Aspergillus,Aspergillus niger,1,FD5811E0
GCA_000269785.2_AspOry3042,Aspergillus oryzae 3.042,3.042,PRJNA88495,1160506,dikarya,Ascomycota,,Eurotiomycetes,,Eurotiales,Aspergillaceae,Aspergillus,Aspergillus oryzae,1,FB0DE7AF
GCA_000166915.1_ASM16691v1,Aspergillus terreus ATCC 20542,ATCC 20542,PRJNA187,285217,dikarya,Ascomycota,,Eurotiomycetes,,Eurotiales,Aspergillaceae,Aspergillus,Aspergillus terreus,1,F88BC8AD
GCA_018344385.1_ASM1834438v1,Babjeviella inositovora,NRRL Y-12698,PRJNA647756,45609,dikarya,Ascomycota,,Pichiomycetes,,Serinales,,Babjeviella,Babjeviella inositovora,1,FE823811
GCA_000149865.1_BD_JEL423,Batrachochytrium dendrobatidis JEL423,JEL423,PRJNA13653;PRJNA176382,403673,fungi,Chytridiomycota,,Chytridiomycetes,,Rhizophydiales,,Batrachochytrium,Batrachochytrium dendrobatidis,1,F04BCA43
GCA_000338975.1_CocheC5_3,Bipolaris maydis C5,C5,PRJNA42739,701091,dikarya,Ascomycota,,Dothideomycetes,,Pleosporales,Pleosporaceae,Bipolaris,Bipolaris maydis,1,F5E0ABE6
GCA_000259595.1_AWRI1499_v1.0,Brettanomyces bruxellensis AWRI1499,AWRI1499,PRJNA78661,1124627,dikarya,Ascomycota,,Pichiomycetes,,Pichiales,Pichiaceae,Brettanomyces,Brettanomyces bruxellensis,1,F5A456CA
GCA_000775455.1_Cand_albi_L26_V2,Candida albicans L26,L26,PRJNA193498;PRJNA75211,1094982,dikarya,Ascomycota,,Pichiomycetes,,Serinales,Debaryomycetaceae,Candida,Candida albicans,12,FFF26F7E
GCA_000775525.1_Cand_albi_P75063_V1,Candida albicans P75063,P75063,PRJNA193498;PRJNA75241,1094997,dikarya,Ascomycota,,Pichiomycetes,,Serinales,Debaryomycetaceae,Candida,Candida albicans,12,FA38824E
GCF_000182965.3_ASM18296v3,Candida albicans SC5314,SC5314,PRJNA10701,237561,dikarya,Ascomycota,,Pichiomycetes,,Serinales,Debaryomycetaceae,Candida,Candida albicans,12,FAF69C23
GCF_000006335.3_ASM633v3,Candida tropicalis MYA-3404,MYA-3404,PRJNA13675;PRJNA176382,294747,dikarya,Ascomycota,,Pichiomycetes,,Serinales,Debaryomycetaceae,Candida,Candida tropicalis,12,FE432CEC
GCA_003675505.1_ATCC42720_1,Clavispora lusitaniae,ATCC 42720,PRJNA433226;PRJNA948351,36911,dikarya,Ascomycota,,Pichiomycetes,,Serinales,Metschnikowiaceae,Clavispora,Clavispora lusitaniae,12,F4F81666
GCA_902085965.1_CLO192961,Clonostachys rosea,,PRJEB32493,29856,dikarya,Ascomycota,,Sordariomycetes,,Hypocreales,Bionectriaceae,Clonostachys,Clonostachys rosea,1,F18CF595
5699,5700d5681
GCF_000149035.1_C_graminicola_M1_001_V1,Colletotrichum graminicola M1.001,M1.001,PRJNA37879,645133,dikarya,Ascomycota,,Sordariomycetes,,Glomerellales,Glomerellaceae,Colletotrichum,Colletotrichum graminicola,1,F53EBAD9
GCA_000313795.2_ASM31379v2,Colletotrichum higginsianum,IMI 349063,PRJNA47061,80884,dikarya,Ascomycota,,Sordariomycetes,,Glomerellales,Glomerellaceae,Colletotrichum,Colletotrichum higginsianum,1,FE179869
GCA_035927225.1_ASM3592722v1,Cryomyces antarcticus,CCFEE 534,PRJNA666634,329879,dikarya,Ascomycota,,Dothideomycetes,,,,Cryomyces,Cryomyces antarcticus,1,F73C8514
GCA_000786445.1_R265.1,Cryptococcus deuterogattii,R265,PRJEB5464,1859096,dikarya,Basidiomycota,,Tremellomycetes,,Tremellales,Cryptococcaceae,Cryptococcus,Cryptococcus deuterogattii,1,F1887E30
GCA_000835765.1_Cryp_gatt_CBS10090_V1,Cryptococcus deuterogattii CBS 10090,CBS 10090,PRJNA174567;PRJNA176382;PRJNA191323;PRJNA291740,1296101,dikarya,Basidiomycota,,Tremellomycetes,,Tremellales,Cryptococcaceae,Cryptococcus,Cryptococcus deuterogattii,1,F8EF1495
